years,TMAX,TMIN,t90,t95,t100
1947,32.37313432835821,20.646766169154226,0,0,0
1948,42.862021857923494,23.69808743169399,0,0,0
1949,42.16849315068493,25.399543378995435,0,0,0
1950,41.843835616438355,24.564383561643837,0,0,0
1951,41.55068493150685,25.5986301369863,0,0,0
1952,43.20446265938069,27.51092896174864,0,0,0
1953,43.42625570776257,28.381506849315063,0,0,0
1954,42.1799086757991,27.68036529680366,0,0,0
1955,40.04566210045663,26.324200913241995,0,0,0
1956,39.02322404371585,24.6511839708561,0,0,0
1957,45.35388127853883,29.222374429223752,0,0,0
1958,43.47168949771692,27.47853881278539,0,0,0
1959,42.76118721461189,25.426484018264834,0,0,0
1960,44.22950819672133,28.293715846994527,0,0,0
1961,40.40776255707761,24.009360730593617,0,0,0
1962,41.90890410958904,26.539041095890415,0,0,0
1963,42.72100456621003,28.083561643835623,0,0,0
1964,39.69977231329688,24.442759562841527,0,0,0
1965,41.049999999999976,27.11958904109589,0,0,0
1966,40.934135681669915,25.786529680365298,0,0,0
1967,42.974881495977385,27.299857577734297,0,0,0
1968,42.74425904241477,27.0728044496487,0,0,0
1969,44.12960426179607,26.715497934333555,0,0,0
1970,42.21554794520545,27.134308545335923,0,0,0
1971,38.42604558303186,22.662215204886436,0,0,0
1972,40.280132708821235,23.51529404111371,0,0,0
1973,40.86073059360731,24.663105022831054,0,0,0
1974,43.03913242009132,26.207351598173524,0,0,0
1975,40.137899543379,24.099771689497715,0,0,0
1976,42.85724043715845,26.80414389799638,0,0,0
1977,44.22566210045662,28.06557077625571,0,0,0
1978,44.29648401826485,28.488036529680386,0,0,0
1979,43.31534246575339,28.23424657534247,0,0,0
1980,41.36498178506377,26.593169398907126,0,0,0
1981,44.282876712328765,29.311643835616437,0,0,0
1982,39.87031963470319,24.29817351598173,0,0,0
1983,42.69977168949772,27.766438356164382,0,0,0
1984,43.533014571949,28.64207650273224,0,0,0
1985,41.76666666666666,27.137899543378992,0,0,0
1986,43.52397260273973,29.832420091324202,0,0,0
1987,43.81917808219178,30.192465753424656,0,0,0
1988,43.19171220400729,29.931010928961747,0,0,0
1989,41.62534246575343,27.50068493150685,0,0,0
1990,41.74794520547945,26.68470319634703,0,0,0
1991,42.615753424657534,28.68082191780822,0,0,0
1992,40.877459016393445,26.642486338797813,0,0,0
1993,45.76881930854532,30.73575994781475,1,1,1
1994,43.15168949771688,28.012367906066537,1,1,1
1995,43.517234181343746,29.09889106327461,0,0,0
1996,41.9870934166016,25.956336195680453,0,0,0
1997,44.809615133724755,29.54965427266795,0,0,0
1998,43.68900521852578,29.8541943900848,0,0,0
1999,41.35746901500325,26.968232224396615,0,0,0
2000,45.29731990080353,30.25006209637359,0,0,0
2001,45.35055496254127,30.798937812567964,0,0,0
2002,46.721758469840665,32.64254515651776,0,0,0
2003,45.5100066524039,30.950295617624395,0,0,0
2004,45.79295470012683,30.306604430784766,0,0,0
2005,45.77999916749916,30.993982604153842,0,0,0
2006,42.149567346432775,27.44731623466516,1,1,1
2007,42.85112016039292,28.465866812478435,0,0,0
2008,40.55630184966325,26.862219780539956,0,0,0
2009,43.55166475547016,28.662915146229018,0,0,0
2010,43.60227748212036,29.540110185275395,0,0,0
2011,42.576730267449456,27.7499335139746,0,0,0
2012,40.99241915871013,25.881739651514227,0,0,0
2013,44.13156066536206,29.5560485975212,0,0,0
2014,46.51047092177233,31.635743024099213,0,0,0
2015,46.0304189874053,31.47866174920972,0,0,0
2016,47.829411253591594,33.26355361396346,0,0,0
2017,43.76559946902412,28.84653611228953,0,0,0
2018,45.99647018126468,31.369831188598326,0,0,0
