years,TMAX,TMIN,t90,t95,t100
1947,67.01492537313433,45.62686567164179,1,0,0
1948,79.88342440801458,56.55191256830601,120,76,23
1949,79.18264840182651,57.45844748858449,114,56,5
1950,80.41187214611874,56.68127853881279,105,52,5
1951,81.18904109589045,57.242922374429206,118,79,36
1952,79.8360655737705,56.73770491803279,100,56,21
1953,80.8118721461187,57.556621004566196,123,76,16
1954,82.88036529680372,58.38904109589036,128,87,32
1955,81.06073059360726,58.08036529680362,144,51,3
1956,82.56010928961749,57.49089253187617,151,92,34
1957,78.57808219178084,57.731963470319656,100,68,21
1958,77.74566210045664,55.84520547945206,108,74,14
1959,78.42009132420091,56.305936073059364,111,50,0
1960,77.49134790528242,56.86156648451726,100,35,6
1961,77.84474885844752,56.606849315068516,98,11,1
1962,79.28082191780825,57.30456621004566,103,56,19
1963,80.34885844748868,57.366210045662065,134,81,19
1964,78.7695810564663,57.54553734061931,98,56,4
1965,77.65753424657534,58.40821917808219,95,43,0
1966,77.17671232876712,56.6986301369863,83,21,1
1967,79.27534246575343,57.8,88,48,12
1968,75.96584699453553,56.243169398907106,74,17,0
1969,78.05753424657534,57.56712328767123,105,53,7
1970,77.13424657534246,57.104109589041094,82,33,2
1971,80.28767123287672,59.04109589041096,99,42,2
1972,78.68032786885246,58.24590163934426,99,22,0
1973,77.28767123287672,57.608219178082194,79,12,0
1974,77.94520547945206,57.74520547945205,77,16,3
1975,77.95068493150686,57.136986301369866,63,6,0
1976,76.28415300546447,56.05191256830601,66,10,0
1977,79.18904109589042,58.23835616438356,116,52,4
1978,76.95342465753424,57.221917808219175,93,50,2
1979,76.26027397260275,56.29041095890411,87,6,0
1980,79.68306010928961,58.21584699453552,115,71,18
1981,79.18630136986302,59.48219178082192,105,35,1
1982,79.11780821917809,59.28493150684932,116,62,6
1983,76.16164383561645,56.24109589041096,73,17,1
1984,80.15027322404372,58.53825136612022,119,66,9
1985,77.8082191780822,58.6958904109589,86,48,10
1986,79.2904109589041,59.679452054794524,94,46,11
1987,78.46849315068494,58.07671232876712,87,28,0
1988,80.20765027322405,58.17486338797814,110,55,7
1989,79.38630136986302,57.83013698630137,120,65,11
1990,81.44383561643835,60.038356164383565,124,69,15
1991,78.85479452054794,59.12328767123287,105,33,3
1992,78.82513661202186,58.743169398907106,99,14,1
1993,78.64794520547945,58.08904109589041,116,61,10
1994,79.95890410958904,59.467123287671235,102,54,10
1995,79.2013698630137,58.843835616438355,99,37,3
1996,80.24863387978142,58.29644808743169,107,63,8
1997,77.48082191780821,57.75753424657534,105,26,1
1998,80.82739726027397,59.11643835616438,128,91,36
1999,82.05890410958904,58.07671232876712,111,51,15
2000,80.60792349726776,58.07103825136612,121,77,30
2001,78.63287671232877,56.86986301369863,97,56,18
2002,79.03013698630137,57.04794520547945,117,39,1
2003,79.7027397260274,57.152054794520545,105,57,4
2004,78.90391621129322,57.79690346083795,92,24,0
2005,81.20639269406388,57.218264840182684,127,85,19
2006,83.06940639269403,57.76073059360728,136,72,27
2007,78.18036529680364,56.79223744292238,85,5,0
2008,82.14162112932605,55.756375227686696,132,91,25
2009,81.06666666666666,56.80684931506849,119,85,52
2010,79.3582191780822,55.91986301369863,113,41,13
2011,83.32191780821918,57.18538812785388,153,122,74
2012,82.04189435336977,58.08105646630237,124,68,21
2013,80.1187214611872,55.94315068493151,121,70,29
2014,78.61301369863017,55.76050228310507,100,54,15
2015,78.7442922374429,57.48493150684933,102,48,8
2016,80.09039162112933,57.865664845173036,104,47,1
2017,81.29520547945205,58.00410958904109,102,57,10
2018,79.08196347031964,56.962557077625576,113,85,29
