years,TMAX,TMIN,t90,t95,t100
1947,61.97014925373134,38.656716417910445,0,0,0
1948,77.7103825136612,50.04371584699454,97,63,27
1949,77.69315068493151,51.09315068493151,104,60,24
1950,79.31780821917808,53.11232876712329,104,73,40
1951,78.94520547945206,51.586301369863016,116,74,22
1952,77.73770491803279,51.52732240437158,111,78,24
1953,77.27397260273973,50.364383561643834,86,54,19
1954,77.56712328767124,51.25205479452055,94,54,23
1955,77.4876712328767,51.10958904109589,101,64,32
1956,77.86612021857924,51.13387978142077,97,52,24
1957,77.24657534246575,52.441095890410956,105,67,27
1958,78.47671232876712,53.75342465753425,102,65,16
1959,79.33698630136986,53.56712328767123,91,61,32
1960,77.97267759562841,52.9344262295082,110,78,36
1961,76.72054794520548,52.25479452054795,97,65,34
1962,76.27123287671233,51.46849315068493,94,56,14
1963,74.59178082191781,52.05205479452055,76,37,10
1964,77.13934426229508,51.64207650273224,98,55,22
1965,75.16986301369863,52.50684931506849,85,49,7
1966,77.31780821917808,53.30684931506849,83,62,30
1967,76.55890410958904,53.74246575342466,111,89,38
1968,78.0792349726776,54.439890710382514,105,69,32
1969,78.5068493150685,54.728767123287675,106,79,36
1970,80.1013698630137,54.90684931506849,116,81,49
1971,76.45479452054795,52.93698630136986,104,72,40
1972,76.25136612021858,53.950819672131146,97,64,27
1973,79.06575342465753,54.827397260273976,115,83,44
1974,79.27671232876712,55.846575342465755,124,84,28
1975,77.76712328767124,54.0986301369863,115,70,32
1976,78.65573770491804,55.28415300546448,77,58,27
1977,79.43287671232876,56.3013698630137,98,73,37
1978,79.23287671232876,56.58904109589041,108,77,42
1979,79.85753424657534,55.76164383561644,102,68,40
1980,78.00819672131148,54.03005464480874,92,59,33
1981,79.33698630136986,56.24931506849315,117,93,48
1982,76.86027397260274,55.64931506849315,102,62,34
1983,76.36712328767123,53.12876712328767,90,58,29
1984,77.21584699453553,51.112021857923494,108,71,30
1985,75.21369863013699,51.33150684931507,87,59,20
1986,77.6054794520548,52.364383561643834,93,61,26
1987,78.06849315068493,51.602739726027394,108,65,27
1988,79.56010928961749,51.39071038251366,107,66,40
1989,78.72328767123288,50.56438356164384,108,65,18
1990,78.2931506849315,51.465753424657535,89,58,28
1991,78.18630136986302,52.26849315068493,115,63,24
1992,78.64207650273224,53.931693989071036,115,66,22
1993,78.23561643835616,52.75616438356165,99,57,23
1994,77.98630136986301,51.5013698630137,110,86,35
1995,78.42739726027398,52.917808219178085,96,58,25
1996,78.46994535519126,52.50819672131148,107,64,37
1997,77.35342465753425,52.47123287671233,91,41,7
1998,74.26849315068493,50.33424657534247,76,52,22
1999,76.64520547945206,48.95205479452055,93,40,13
2000,77.08060109289617,51.22267759562842,98,56,17
2001,78.30958904109589,52.52602739726027,115,70,29
2002,77.68630136986302,51.97123287671233,107,69,18
2003,78.13424657534246,53.446575342465756,113,73,29
2004,77.40027322404372,52.490437158469945,102,58,15
2005,77.08904109589041,52.76986301369863,83,59,34
2006,77.21780821917808,52.820547945205476,105,64,24
2007,77.36438356164383,52.72054794520548,92,43,16
2008,78.16347905282335,53.74772313296901,117,84,24
2009,78.67100456620999,52.72762557077626,112,80,32
2010,76.70867579908675,51.59063926940643,101,58,13
2011,76.41621004566211,49.81255707762558,100,72,14
2012,79.62818761384335,51.9735883424408,127,80,24
2013,79.13378995433791,50.67237442922373,110,70,25
2014,81.73447488584476,54.25616438356165,134,83,39
2015,80.14497716894978,53.598173515981735,121,83,37
2016,80.31876138433516,53.6042805100182,120,90,42
2017,80.00296803652965,53.76986301369863,111,91,59
2018,79.76757990867578,53.04657534246577,107,80,45
