years,TMAX,TMIN,t90,t95,t100
1947,49.1421324748805,32.13905960394107,0,0,0
1948,64.42398221399839,44.350949620352424,12,4,0
1949,66.84493441310613,46.02177516068606,21,5,0
1950,64.23403391063434,43.88612871268728,7,0,0
1951,65.67430032671007,44.15203029134025,15,0,0
1952,65.56417142873687,45.07738055523683,26,4,0
1953,67.3848397678694,45.87316232652227,29,11,1
1954,66.39445549129067,44.57223353852294,23,9,0
1955,65.61739969422055,44.958895307387614,28,8,0
1956,64.89274061439724,44.868065973652676,17,1,0
1957,65.63471791577955,45.40756670110518,28,6,1
1958,62.86555546567513,43.40435664026269,7,0,0
1959,66.77948369292493,45.69324577153874,24,2,0
1960,64.02537983818753,43.578917539105085,7,0,0
1961,64.46472672989115,44.53840153632354,21,0,0
1962,64.01005328104497,43.1817827298768,14,1,0
1963,64.68811062525563,42.21724941244766,21,1,0
1964,65.9476139118287,43.81856245805769,21,2,0
1965,65.36493837333055,43.60069248463625,20,0,0
1966,64.7522881404424,43.611687208889805,34,7,0
1967,64.19606269232037,43.05203900834547,5,0,0
1968,65.24556550965096,44.14396543602753,27,3,0
1969,64.2508366495317,44.64934752822282,13,2,0
1970,65.02451168394212,44.835830974280846,17,0,0
1971,65.23561781165243,45.381487477514874,4,0,0
1972,64.03153194710568,44.46033729795595,11,0,0
1973,66.31402650461774,46.29303694368882,22,5,0
1974,65.67682894450735,44.87224167725245,8,0,0
1975,65.37329860374824,45.903950549217534,11,2,0
1976,64.69455864025215,43.33691323092367,8,0,0
1977,65.59458463510376,44.46429666699654,29,3,0
1978,64.18010663914691,43.34374071089622,12,2,0
1979,64.34672278500443,44.291608917539605,5,0,0
1980,65.41816872924029,44.271022083696856,35,7,0
1981,64.75123978358468,44.14608716089178,15,0,0
1982,65.06220655385441,44.36561039484286,8,0,0
1983,65.79122644948391,45.02771229039561,48,12,1
1984,65.23628799880608,45.23274727923957,16,3,0
1985,66.34932830666509,45.557832776946384,16,2,0
1986,66.35071716357776,45.41461724415791,31,4,0
1987,66.79753236489539,45.264151111445614,41,9,0
1988,65.50897296076899,43.86884432734842,49,17,1
1989,64.35528874563526,44.43150953532097,18,0,0
1990,68.26189476317398,46.94152506840464,15,2,0
1991,68.48861718660066,47.217354476036995,42,14,1
1992,64.55768630276825,44.83758744670631,14,2,0
1993,65.6142261646492,45.47543008562751,37,11,0
1994,66.19345338451497,45.985119047619015,27,6,0
1995,65.7655691226582,46.030196675470656,34,6,0
1996,63.655892331712025,44.72903105546549,8,0,0
1997,65.70945606904512,44.926290832455216,26,9,0
1998,68.42688092729192,48.06490892668975,30,2,0
1999,66.99017457428417,46.5470388971759,37,14,0
2000,64.65547276039084,44.86998261301539,11,0,0
2001,66.43911858309124,46.18858032378582,13,4,0
2002,66.9373391448734,46.65834786218346,40,10,0
2003,63.36927291886196,45.49034869240349,11,0,0
2004,64.92901211569246,46.671579869735616,2,0,0
2005,65.33697523176978,46.184371009508006,18,5,0
2006,67.05242770167429,47.282914764079145,28,5,0
2007,65.92100871731009,47.19150408191502,24,4,0
2008,65.04530206435948,46.61486794171218,12,1,0
2009,63.320890410958945,46.53542617960425,5,0,0
2010,65.60725918677974,47.90367797347253,34,7,0
2011,66.15135948526357,48.608973294589696,27,6,1
2012,67.4623240602749,49.13487056355908,27,9,0
2013,64.16934689359351,47.01683824546838,12,0,0
2014,62.908482081084856,45.21954891379548,5,0,0
2015,65.26908053134076,47.28252732807528,11,0,0
2016,66.18592137219183,47.98979204614453,26,3,0
2017,66.36764296586216,48.72782887584253,16,0,0
2018,64.93875842574478,48.32712002609265,23,2,0
