years,TMAX,TMIN,t90,t95,t100
1947,68.5,47.201492537313435,0,0,0
1948,79.28551912568307,57.51229508196721,96,32,0
1949,79.65479452054795,58.93150684931507,63,2,0
1950,79.52876712328766,57.56164383561644,73,3,0
1951,80.77123287671233,57.12739726027397,107,49,6
1952,79.93852459016394,55.14207650273224,97,25,0
1953,80.33424657534246,57.25753424657534,99,31,0
1954,81.04520547945205,56.3986301369863,113,33,2
1955,80.28082191780823,57.487671232876714,99,9,0
1956,80.39071038251366,56.950819672131146,92,15,0
1957,79.94931506849315,58.11095890410959,96,18,0
1958,78.05479452054794,56.26438356164383,98,20,0
1959,78.98904109589041,56.842465753424655,90,7,0
1960,78.54098360655738,56.009562841530055,99,40,1
1961,77.86301369863014,55.3,52,0,0
1962,80.1972602739726,56.821917808219176,112,36,3
1963,79.52420091324203,55.62557077625574,110,18,0
1964,78.03369763205833,56.9244080145719,72,8,0
1965,79.09634703196348,57.28127853881278,77,0,0
1966,76.26849315068493,56.56164383561644,56,1,0
1967,78.07671232876713,56.00410958904109,45,0,0
1968,76.83333333333333,54.97267759562842,66,0,0
1969,77.64520547945206,56.31917808219178,71,19,0
1970,76.84794520547945,55.85890410958904,62,2,0
1971,78.5958904109589,57.3013698630137,54,1,0
1972,78.97950819672131,57.78825136612022,93,8,0
1973,78.2958904109589,57.92191780821918,63,2,0
1974,78.83561643835617,56.726027397260275,47,0,0
1975,77.65479452054795,56.729223744292234,49,0,0
1976,76.56602914389796,54.04189435336977,49,3,0
1977,77.15890410958896,56.636986301369895,75,6,0
1978,76.69223744292236,55.544063926940645,76,1,0
1979,75.67397260273972,55.33013698630137,54,3,0
1980,77.30327868852461,56.42304189435337,95,12,0
1981,78.22191780821917,56.355479452054794,81,5,0
1982,78.60958904109589,57.965753424657535,92,0,0
1983,75.31917808219178,55.20958904109589,55,1,0
1984,77.50409836065573,56.78825136612022,49,0,0
1985,77.22054794520548,57.66575342465753,56,1,0
1986,78.4972602739726,58.702739726027396,92,6,0
1987,77.76712328767124,56.324657534246576,61,0,0
1988,77.75455373406194,55.803734061930776,67,4,0
1989,77.12054794520546,56.34794520547942,60,3,0
1990,79.8356164383562,57.78904109589039,102,14,0
1991,78.02922374429221,58.092237442922396,79,4,0
1992,77.12386156648448,56.46448087431701,60,0,0
1993,76.95616438356167,55.93333333333329,87,7,0
1994,77.43150684931504,57.22191780821916,53,0,0
1995,78.46073059360722,56.66757990867582,89,15,0
1996,77.7030965391621,56.07194899817847,68,0,0
1997,77.17077625570774,56.547945205479465,75,1,0
1998,79.62557077625573,58.74703196347032,107,40,0
1999,79.94429223744284,56.6703196347032,81,20,0
2000,79.53278688524586,56.22768670309656,98,33,5
2001,78.35433789954344,56.21004566210048,51,0,0
2002,77.96438356164383,57.2785388127854,82,0,0
2003,78.11506849315066,56.47488584474885,72,0,0
2004,78.47814207650273,57.67850637522769,74,5,0
2005,79.5977168949772,57.00821917808213,107,20,0
2006,80.16438356164376,57.20547945205482,96,12,0
2007,79.16164383561642,57.953424657534235,73,12,3
2008,78.91347905282338,56.81056466302368,76,5,0
2009,78.4876712328767,57.7429223744292,69,15,0
2010,77.47945205479452,56.47671232876712,96,9,0
2011,78.78219178082192,56.81780821917808,88,18,1
2012,79.5464480874317,58.87978142076503,58,5,0
2013,77.14520547945206,57.09178082191781,68,2,0
2014,76.96712328767123,55.793150684931504,60,1,0
2015,79.27397260273973,59.204109589041096,76,21,0
2016,79.68442622950819,59.28551912568306,84,6,0
2017,79.50867579908675,59.63926940639269,53,2,0
2018,78.39132420091323,59.39223744292238,98,11,0
