years,TMAX,TMIN,t90,t95,t100
1947,44.145842217484,27.15639932207096,0,0,0
1948,59.06369039808208,38.82992881872114,7,3,0
1949,62.62007504966115,41.393087980861004,21,6,0
1950,59.62650164223345,39.11624319662978,3,0,0
1951,60.070413468199085,40.334711089434556,0,0,0
1952,60.601262545090925,40.578833172613315,14,2,0
1953,62.18452408216349,41.54872466554512,10,3,0
1954,59.483434957256144,40.07979606550623,2,0,0
1955,59.50616106476236,40.41645895560823,16,2,0
1956,58.59229049399454,39.1115719626936,5,0,0
1957,61.449638448549734,40.20841580913679,11,1,0
1958,57.83668474071093,39.14354640594662,2,0,0
1959,60.53240295904626,40.375445509110904,9,0,0
1960,59.55181380550235,39.092819293638975,3,0,0
1961,59.10928838285004,39.356137697918534,3,0,0
1962,57.975990449891626,37.016149068322974,1,0,0
1963,59.543576623892314,37.79267421083979,12,6,0
1964,59.42297992654369,37.86248180820523,8,1,0
1965,59.15963111932737,37.82554659158593,5,0,0
1966,59.655368455249246,38.46266949250869,7,1,0
1967,58.177453790005885,38.10448106092835,2,0,0
1968,58.67518870612245,37.885809628717695,8,0,0
1969,59.04759295499023,39.34657534246576,9,0,0
1970,58.787400251128666,38.359273144961065,10,0,0
1971,59.550848010437,38.115077388365044,5,0,0
1972,57.52013469466014,37.71212000858247,1,0,0
1973,60.742583284695755,40.5740564882526,11,0,0
1974,59.48779379956739,38.2562893535208,2,0,0
1975,60.11629004016888,39.619995536787144,6,3,1
1976,59.675499136564696,37.98507906626972,4,0,0
1977,59.755447522916874,39.11814913997323,7,2,0
1978,58.6298846431147,37.253513578466716,4,1,0
1979,59.75880626223096,40.20343942046895,4,0,0
1980,58.89510148321623,37.73902903889961,14,1,0
1981,59.32348245041826,38.56864078003232,4,1,0
1982,58.868187134502875,38.20378274453257,5,0,0
1983,60.44413682608346,40.292706080269205,16,0,0
1984,59.67970951970086,39.652363833079974,6,0,0
1985,59.29744292237443,39.295270711024116,1,0,0
1986,59.093930144997195,39.450301209645104,0,0,0
1987,59.457500459448404,39.05584027218196,8,1,0
1988,59.68064103793178,39.21831865235789,23,2,0
1989,58.77021073365659,38.65961707922775,4,0,0
1990,61.44912869738141,41.16846434680578,5,0,0
1991,61.56031402707681,40.370752223023295,11,4,0
1992,57.99299834016629,37.99455074523337,2,0,0
1993,59.42212529039499,38.63847712889532,9,3,0
1994,60.19710966915002,39.10982800137597,9,0,0
1995,59.905837586176034,39.24335067456446,9,2,0
1996,58.87597052338334,39.43811762074207,1,0,0
1997,59.25337847708174,39.313628888229154,9,0,0
1998,61.62345392330974,42.196114154210754,2,0,0
1999,62.00673225920403,41.04393410837721,14,2,0
2000,58.921564437779665,39.281822655842596,0,0,0
2001,61.15085252250231,40.525951594563864,12,1,0
2002,60.9979367743632,40.94493454927046,22,3,0
2003,57.97216674530558,38.99495518874611,5,0,0
2004,58.349904194166484,39.1055401793107,1,0,0
2005,59.193804093047,39.76703196347031,8,0,0
2006,60.92732694940552,41.99975918463111,6,1,0
2007,59.52717423533383,39.567229540362376,11,0,0
2008,59.61975172249948,40.22736655579312,5,1,0
2009,58.33722264850502,39.56534409525359,3,0,0
2010,61.450544606277155,41.95765832837003,12,2,0
2011,60.655492387501376,41.25736068160545,4,2,0
2012,62.17522909833491,42.732160118134814,8,0,0
2013,59.97140395617883,40.309882469724016,15,1,0
2014,59.20736171035638,39.2580034523745,1,0,0
2015,60.27271380098959,39.417336321609696,8,0,0
2016,62.07790024776833,41.107571797807,11,1,0
2017,60.60017597054529,41.26385552109197,6,0,0
2018,60.17473552851765,41.67298226887264,15,0,0
