years,TMAX,TMIN,t90,t95,t100
1947,41.03150912106136,28.10364842454395,0,0,0
1948,59.18845194726341,41.341262251713076,14,4,0
1949,60.76756330427566,42.686383700013835,19,3,0
1950,57.43221807112213,39.27318112633183,3,0,0
1951,57.37866653894055,39.27003001564647,2,0,0
1952,60.20105259039676,41.82328805074708,22,3,0
1953,61.761025732258545,43.36051961736895,25,13,1
1954,60.70065464216148,43.049563769563754,25,5,0
1955,60.69600381353809,41.977266295348464,33,4,0
1956,60.54921490167384,42.49247232730839,12,2,0
1957,58.77625671132514,41.79181494304781,11,0,0
1958,57.969965377088684,40.55313061367857,2,0,0
1959,59.30340007024942,41.875091027693756,24,0,0
1960,58.02130860942332,41.34001108181437,11,2,0
1961,58.96235111920043,41.5841459909953,9,0,0
1962,58.43639141680239,40.71378739981486,13,0,0
1963,58.99365296803649,39.287916147779164,12,1,0
1964,60.81207567478049,41.48317188276205,29,2,0
1965,59.07146533831469,40.89435865504362,9,0,0
1966,58.842922374429236,40.03376919883768,15,4,0
1967,57.93341220423413,40.050780406807775,4,0,0
1968,59.78429789700284,41.211583043550235,20,0,0
1969,57.99939809049399,40.160668327106706,8,0,0
1970,58.82465785356198,40.79896254430501,11,3,0
1971,61.020394354503935,40.86282274802825,20,4,0
1972,57.04728272638104,39.51622084654872,10,0,0
1973,60.85657055273494,43.559253759938734,16,1,0
1974,59.39460356994605,40.91930676629306,10,3,0
1975,59.73676767676764,41.872187629721914,9,0,0
1976,58.97319368548875,38.52124799911684,10,2,0
1977,60.17318112633179,40.53108066971081,16,4,0
1978,58.061240487062435,38.748652968036524,9,0,0
1979,57.49912154816265,38.59169602087411,2,0,0
1980,58.604622040072876,39.4504022465088,20,2,0
1981,59.552305936073054,39.97428462709285,5,0,0
1982,58.40308980213085,39.11887366818873,2,0,0
1983,59.45729071537288,41.26663622526637,35,4,0
1984,59.22987249544628,40.33513964784458,13,1,0
1985,58.38417047184168,39.61619482496191,7,0,0
1986,60.106118721461165,41.409010654490075,8,1,0
1987,61.92532724505324,42.922831050228325,24,2,0
1988,60.875614754098386,40.006967213114756,43,21,4
1989,58.10481082844093,39.54408349641223,6,1,0
1990,61.45174494455316,43.10015764296589,8,1,0
1991,61.27819634703198,42.81862361382909,31,5,0
1992,57.91976212160641,40.99948499436206,1,0,0
1993,57.65868667101544,41.18793215916503,4,0,0
1994,59.822466840617494,40.82490758860625,9,1,0
1995,59.36868884540115,40.51413894324853,20,7,2
1996,57.1658697632058,38.192313947436894,7,0,0
1997,57.95191128506193,39.49082844096541,13,0,0
1998,62.68826484018265,44.56579147640793,10,1,0
1999,61.662802684378,41.51913242009134,22,2,1
2000,59.77617707125905,40.4671082408787,2,0,0
2001,60.86377473363773,41.626453576864535,16,0,0
2002,60.415281582952844,41.76429223744294,22,0,0
2003,58.715068493150696,39.41905631659056,9,0,0
2004,59.50645112325438,40.81447328476016,1,0,0
2005,60.8248595544486,42.09689774456899,22,2,0
2006,60.710759651307605,43.32953922789538,11,3,0
2007,60.262835201328336,42.0546886674969,8,0,0
2008,57.93914555389967,39.372578241430716,2,0,0
2009,57.54951432129512,39.687721046077186,4,0,0
2010,60.565180572851816,42.42699875467,15,0,0
2011,59.53266085512661,42.28284073612843,15,4,0
2012,63.52429486118014,44.64564773417233,30,8,2
2013,57.756565656565634,39.98956690189565,8,0,0
2014,56.52637055486372,38.40599695585999,0,0,0
2015,59.57127992251284,41.71037221530372,4,0,0
2016,60.96507699950322,43.898410332836555,8,0,0
2017,60.84414003044141,42.9304856787048,10,0,0
2018,59.05390065033899,41.706940639269405,16,1,0
