years,TMAX,TMIN,t90,t95,t100
1947,47.492537313432834,32.01119402985075,0,0,0
1948,64.96083788706741,44.39462659380692,25,6,0
1949,67.0739073711677,46.61750815394653,32,2,0
1950,63.483561643835614,43.83502935420743,2,0,0
1951,64.97161250469473,43.976671311945275,23,4,1
1952,66.68407435005791,44.97890379201857,44,10,1
1953,68.3875383976754,45.0666777362668,55,18,3
1954,67.4333250311332,45.519961256399604,45,14,5
1955,66.42415110004151,45.06972741109725,39,11,0
1956,65.83690801457199,45.135010625379486,17,2,0
1957,65.91933127755044,44.94443515388721,26,2,0
1958,62.876912372254864,42.52854751032836,6,0,0
1959,67.04835725157636,45.06845509893455,44,8,0
1960,63.842531876138466,43.137014268366734,18,0,0
1961,64.62530006523156,44.003841052402706,20,0,0
1962,64.74618395303324,43.81467710371815,23,1,0
1963,64.97064579256357,41.420026092628845,14,1,0
1964,67.0629065833984,43.94409315638821,41,7,1
1965,65.8009784735812,44.494341161121966,18,3,0
1966,63.653609480321734,43.005191345944766,34,7,0
1967,64.68672537508155,43.40836594911938,11,0,0
1968,64.07572209211544,43.59146500130106,24,0,0
1969,63.42328767123285,43.0470319634703,16,0,0
1970,64.63853011524245,44.0362633181126,17,2,0
1971,64.92270058708412,43.68895955642529,10,2,0
1972,62.54290918553208,42.75728597449909,13,2,0
1973,64.87664709719505,45.533072407045026,11,0,0
1974,64.2924885844749,43.798995433789976,7,0,0
1975,65.58264840182648,44.36044357469018,31,0,0
1976,64.06056466302367,40.11277322404371,10,0,0
1977,64.08414872798438,42.0316242661448,20,2,0
1978,61.880273972602765,41.16849315068489,12,0,0
1979,61.95771689497715,41.75470319634703,3,0,0
1980,63.26111111111117,42.43100442362737,24,5,0
1981,63.67406392694064,41.99497716894974,9,0,0
1982,65.08264840182653,43.89622961513372,14,0,0
1983,65.06232876712326,43.2250684931507,53,19,4
1984,64.27800546448087,42.506557377049155,15,0,0
1985,64.29990867579909,43.69442922374429,7,0,0
1986,65.48561643835619,45.15981735159814,22,0,0
1987,66.75643835616437,44.607716894977166,20,0,0
1988,65.56548269581053,41.39735883424408,47,23,6
1989,63.43465753424659,42.035799086757976,16,0,0
1990,66.79716894977176,44.95479452054793,12,2,0
1991,66.51159817351596,45.89415525114155,25,5,0
1992,63.6909836065574,43.56265938069217,3,0,0
1993,63.72374429223747,43.61013698630136,29,3,0
1994,64.83461187214607,42.91780821917806,15,2,0
1995,64.44228310502284,43.21662100456621,26,3,0
1996,62.684517304189384,42.4031876138433,10,0,0
1997,63.50751467710372,42.4365427266797,15,1,0
1998,67.03151989562943,46.280547945205456,19,0,0
1999,67.14691454664055,43.25557729941291,40,7,2
2000,64.33004163414,42.48721051262033,3,0,0
2001,65.48486627527727,44.263535551206765,10,0,0
2002,65.32909328114806,44.864644487932146,40,7,0
2003,62.92061317677755,42.965179386823216,6,0,0
2004,63.939032006245085,44.10785844392403,1,0,0
2005,64.69433789954338,44.32703196347033,23,5,0
2006,65.34557077625567,44.97616438356161,24,0,0
2007,66.6779908675799,44.770136986301345,42,12,0
2008,64.08456284153004,42.4773679417122,16,0,0
2009,63.319223744292216,43.70401826484018,2,0,0
2010,65.04831050228321,43.614611872146135,31,5,0
2011,65.16152641878668,45.53978473581212,33,10,0
2012,67.63982565703878,45.59787926099401,39,13,4
2013,63.40173515981743,43.09392694063927,12,0,0
2014,62.428297455968725,41.084298760600106,7,0,0
2015,64.83863013698625,43.823424657534254,12,0,0
2016,66.31174863387979,45.457240437158454,23,0,0
2017,66.0608219178082,45.052876712328796,11,0,0
2018,64.80077625570773,45.23657534246577,28,1,0
