years,TMAX,TMIN,t90,t95,t100
1947,43.35820895522388,30.33582089552239,0,0,0
1948,60.087204007285976,41.31170309653916,9,1,0
1949,62.64703196347033,44.06347031963469,16,0,0
1950,58.838356164383505,41.1109589041096,0,0,0
1951,59.54520547945207,41.733789954337894,2,0,0
1952,61.145719489981744,43.119763205828804,23,8,0
1953,62.44155251141554,44.399543378995425,21,7,0
1954,60.724657534246575,44.228767123287675,13,2,0
1955,61.776712328767125,43.102739726027394,32,6,0
1956,59.44125683060109,42.919398907103826,4,0,0
1957,59.01917808219178,43.28630136986301,8,0,0
1958,57.87671232876713,41.18356164383562,2,0,0
1959,60.84931506849315,42.94794520547945,20,0,0
1960,57.36612021857923,38.82513661202186,0,0,0
1961,58.93972602739726,40.465753424657535,4,0,0
1962,58.443835616438356,39.8054794520548,10,0,0
1963,57.172602739726024,37.942465753424656,6,0,0
1964,58.89071038251366,40.904371584699454,8,0,0
1965,58.98082191780822,40.983561643835614,4,1,0
1966,57.605479452054794,39.536986301369865,6,1,0
1967,58.57260273972603,41.0958904109589,4,0,0
1968,57.595628415300546,39.73497267759563,5,0,0
1969,57.3041095890411,40.8986301369863,4,0,0
1970,58.50958904109589,41.42191780821918,2,0,0
1971,59.3091324200913,40.72283105022829,4,0,0
1972,57.59380692167577,40.54189435336978,3,0,0
1973,61.684474885844764,44.66210045662098,12,0,0
1974,59.79999999999996,41.62876712328767,3,0,0
1975,60.08904109589042,42.5013698630137,3,0,0
1976,58.92896174863387,39.09016393442621,0,0,0
1977,59.62694063926939,40.60502283105023,4,0,0
1978,59.08264840182649,39.843835616438355,13,1,0
1979,58.43013698630137,40.24931506849315,2,0,0
1980,56.833333333333336,39.21311475409836,7,1,0
1981,57.8054794520548,40.44931506849315,2,0,0
1982,59.69315068493151,40.775342465753425,5,0,0
1983,59.74794520547945,42.323287671232876,15,1,0
1984,57.77049180327869,40.204918032786885,0,0,0
1985,58.484931506849314,40.397260273972606,2,0,0
1986,59.49589041095891,42.21643835616438,6,0,0
1987,60.26027397260274,42.74246575342466,8,0,0
1988,59.814207650273225,40.55464480874317,30,12,1
1989,58.49315068493151,40.52054794520548,5,1,0
1990,61.136986301369866,43.082191780821915,2,1,0
1991,61.92054794520548,43.92054794520548,16,1,0
1992,58.26775956284153,41.275956284153004,1,0,0
1993,58.73424657534247,41.51780821917808,7,1,0
1994,59.87397260273973,40.76438356164383,8,0,0
1995,59.989041095890414,42.25479452054795,18,2,0
1996,57.15300546448088,40.67486338797814,0,0,0
1997,57.602739726027394,41.07945205479452,1,0,0
1998,61.394520547945206,46.701369863013696,5,0,0
1999,60.47945205479452,44.35616438356164,9,2,0
2000,58.26229508196721,42.978142076502735,0,0,0
2001,59.67123287671233,44.83287671232877,5,0,0
2002,60.20821917808219,44.90547945205479,10,0,0
2003,57.82876712328767,42.605479452054794,2,0,0
2004,60.35792349726776,44.88387978142077,4,0,0
2005,60.034246575342465,44.73698630136986,16,1,0
2006,60.223287671232875,45.71643835616438,4,0,0
2007,60.18356164383562,44.723287671232875,12,1,0
2008,59.1051912568306,43.43852459016394,9,0,0
2009,59.11917808219178,43.83150684931507,5,0,0
2010,60.20958904109589,45.56986301369863,15,1,0
2011,59.88904109589041,45.33287671232877,10,1,0
2012,62.45628415300546,46.669398907103826,13,1,0
2013,58.705479452054796,43.45479452054794,7,1,0
2014,57.01917808219178,41.728767123287675,2,0,0
2015,59.795890410958904,43.74931506849315,3,0,0
2016,62.55327868852459,46.68032786885246,20,0,0
2017,62.07123287671233,46.26164383561644,3,0,0
2018,59.634246575342466,45.489041095890414,11,0,0
