years,TMAX,TMIN,t90,t95,t100
1947,46.11194029850746,32.007462686567166,0,0,0
1948,63.02823315118397,42.821721311475414,15,3,0
1949,64.52589041095888,44.96232876712326,21,0,0
1950,61.02945205479454,41.83575342465751,3,0,0
1951,62.14313111545992,42.32228310502282,10,1,0
1952,64.26776606817587,48.10972872755659,33,8,0
1953,65.94408023483365,43.75342465753424,39,13,0
1954,64.41183953033268,43.652250489236785,24,4,1
1955,64.52742335290282,43.15476842791913,36,8,0
1956,63.579586260733805,43.05982305490504,11,0,0
1957,63.57005870841492,42.55203848662755,20,1,0
1958,60.284735812133036,40.3249315068493,3,0,0
1959,64.56764514024786,42.927919112850624,30,6,0
1960,61.60922456414261,41.28981264637002,6,0,0
1961,62.24403131115459,41.998630136986286,9,0,0
1962,61.72700587084152,41.321852576647046,14,1,0
1963,61.8851272015656,39.36332681017613,11,1,0
1964,63.87659380692169,41.839344262295086,29,1,0
1965,62.97278538812784,42.39059360730598,10,1,0
1966,61.04045662100454,41.077899543379,18,3,0
1967,61.58867579908679,41.52840182648406,6,0,0
1968,62.011839708561,42.070673952641165,17,0,0
1969,61.79013698630134,41.91442922374425,9,0,0
1970,62.992283105022786,42.79059360730593,11,1,0
1971,63.051506849315096,42.126164383561616,7,1,0
1972,61.11024590163936,42.04603825136613,6,0,0
1973,63.79237442922375,44.35666666666667,12,0,0
1974,62.81232876712329,41.87511415525114,5,0,0
1975,63.272602739726025,42.616894977168954,11,1,0
1976,61.95355191256831,39.05601092896175,10,0,0
1977,62.836529680365295,41.0986301369863,15,2,0
1978,60.84018264840183,39.95593607305936,13,1,0
1979,61.35159817351598,40.50525114155251,0,0,0
1980,61.885928961748625,41.002276867030965,16,3,0
1981,61.70022831050227,40.576255707762556,4,0,0
1982,63.053424657534244,40.85456621004566,3,0,0
1983,62.97100456621008,42.452511415525095,30,6,1
1984,62.03460837887071,41.89571948998179,9,0,0
1985,62.24840182648402,41.70319634703194,4,0,0
1986,63.52511415525117,43.74063926940639,10,0,0
1987,64.82694063926942,43.50456621004565,21,0,0
1988,63.26183970856102,40.58515482695812,40,14,1
1989,61.04246575342466,41.185388127853884,6,0,0
1990,64.90045662100457,44.2470319634703,9,1,0
1991,65.63196347031958,44.99634703196347,27,4,0
1992,61.892531876138406,42.73041894353371,0,0,0
1993,62.1794520547945,43.130593607305975,16,0,0
1994,63.11278538812785,41.66392694063928,10,2,0
1995,62.25114155251139,41.68173515981736,18,2,0
1996,61.03142076502735,41.883879781420774,11,0,0
1997,61.35022831050226,42.1456621004566,7,1,0
1998,65.23881278538812,45.58378995433791,15,1,0
1999,65.15593607305937,43.28607305936074,33,3,0
2000,62.09699453551912,42.49408014571949,1,0,0
2001,63.83173515981735,44.38538812785388,9,0,0
2002,63.74657534246575,44.287671232876704,26,0,0
2003,60.71415525114155,41.765068493150686,1,0,0
2004,61.99476320582877,42.96334244080146,0,0,0
2005,62.62511415525113,43.10639269406393,13,1,0
2006,63.90319634703196,44.41666666666665,11,0,0
2007,64.35433789954337,43.78333333333332,23,1,0
2008,62.55669398907102,41.990437158469966,11,0,0
2009,62.28310502283106,42.139726027397266,2,0,0
2010,63.18127853881282,42.98196347031964,19,0,0
2011,63.30136986301366,44.503424657534254,21,4,0
2012,66.1669398907104,44.827185792349724,30,8,1
2013,61.81095890410961,43.233059360730586,9,0,0
2014,60.59365296803652,41.03721461187215,2,0,0
2015,63.08155251141552,43.32799086757991,7,0,0
2016,65.03142076502732,45.025956284153004,19,0,0
2017,64.56826484018265,44.93264840182649,7,0,0
2018,62.93767123287671,44.832191780821915,20,0,0
