years,TMAX,TMIN,t90,t95,t100
1947,40.514925373134325,26.432835820895523,0,0,0
1948,61.04371584699451,40.398451730418955,30,10,1
1949,61.31187214611876,40.67899543378994,21,1,0
1950,58.48082191780822,37.428310502283104,1,0,0
1951,56.38949771689493,37.718264840182684,7,0,0
1952,60.4708561020036,40.01229508196719,20,5,0
1953,62.73881278538815,40.84703196347029,36,9,0
1954,62.144748858447514,41.1890410958904,31,10,2
1955,61.165296803652936,39.70502283105022,44,18,3
1956,61.48132969034609,39.82194899817851,32,8,2
1957,59.244748858447494,40.470319634703195,24,9,2
1958,59.02557077625569,39.35799086757991,9,0,0
1959,58.51689497716898,40.11963470319637,20,1,0
1960,57.74954462659387,38.895264116575596,16,1,0
1961,58.40091324200916,39.378082191780834,12,0,0
1962,58.53333333333334,39.633789954337885,9,0,0
1963,60.16164383561643,40.44292237442922,19,4,0
1964,61.094717668488165,40.66848816029143,19,2,0
1965,59.336986301369876,39.90045662100456,11,5,0
1966,59.663926940639286,38.884018264840165,14,6,0
1967,59.66301369863014,39.06757990867579,8,1,0
1968,59.45673952641166,39.26502732240438,14,1,0
1969,57.477625570776254,39.10867579908676,5,0,0
1970,59.25388127853886,39.78630136986301,19,5,0
1971,59.60091324200915,40.392694063926925,13,3,0
1972,56.83424408014567,38.08196721311477,15,0,0
1973,59.90547945205481,43.07123287671235,18,0,0
1974,59.587671232876716,39.42739726027397,19,8,2
1975,59.4013698630137,39.678082191780824,21,1,0
1976,60.759562841530055,38.18032786885246,12,1,0
1977,61.38493150684931,40.47260273972603,29,12,4
1978,57.679452054794524,37.97671232876712,19,1,0
1979,57.673972602739724,37.81917808219178,10,2,0
1980,60.51502732240437,39.98360655737705,37,9,2
1981,62.00684931506849,41.37534246575343,8,2,0
1982,57.943835616438356,39.12602739726027,8,1,0
1983,59.45479452054794,40.73287671232877,52,21,8
1984,59.93715846994535,39.62431693989071,26,8,0
1985,58.43150684931507,37.942465753424656,24,4,1
1986,60.28082191780822,41.728767123287675,15,0,0
1987,62.943835616438356,43.09452054794521,23,7,0
1988,62.59153005464481,39.71584699453552,44,23,8
1989,59.3027397260274,37.62465753424657,11,7,0
1990,60.83424657534247,40.42465753424658,14,2,0
1991,60.156164383561645,40.13972602739726,17,0,0
1992,59.05874316939891,39.8155737704918,0,0,0
1993,56.016438356164386,38.38356164383562,1,0,0
1994,59.88767123287671,37.963013698630135,7,0,0
1995,58.724200913242015,38.58630136986301,23,4,1
1996,56.30191256830596,36.54052823315118,6,0,0
1997,58.24520547945205,38.65068493150685,12,1,0
1998,61.28630136986298,42.73242009132417,7,1,0
1999,61.3954337899543,38.920547945205485,14,4,0
2000,61.071493624772316,39.80737704918032,7,4,0
2001,60.963926940639254,40.79315068493153,20,3,0
2002,61.765296803652994,39.664383561643845,32,1,0
2003,60.3255707762557,39.03242009132422,17,8,1
2004,59.79098360655735,39.85746812386155,0,0,0
2005,61.81050228310499,41.237442922374456,26,5,0
2006,63.01232876712331,42.164840182648426,17,7,0
2007,60.68036529680366,40.965296803652954,14,0,0
2008,57.791438979963615,37.83652094717667,4,0,0
2009,58.867123287671234,38.90456621004568,7,1,0
2010,60.35890410958902,40.36484018264838,17,0,0
2011,61.204566210045684,40.74018264840187,29,9,0
2012,65.80373406193078,43.38843351548272,45,21,6
2013,58.99817351598173,39.11552511415525,23,9,1
2014,57.45981735159818,37.79086757990867,1,0,0
2015,60.854794520547905,41.78858447488583,5,0,0
2016,62.68123861566481,43.724043715847,17,0,0
2017,62.78538812785393,42.76027397260272,27,3,0
2018,59.548858447488584,40.93059360730594,26,4,0
