years,TMAX,TMIN,t90,t95,t100
1947,79.62442549158966,66.74551646529258,0,0,0
1948,79.40847861913437,67.33451296729987,0,0,0
1949,79.06572703552158,66.26252940362527,0,0,0
1950,80.24859277708589,67.1887712743877,0,0,0
1951,80.73901512490558,67.85009802982408,0,0,0
1952,79.66027756396608,67.34081392196144,0,0,0
1953,80.21321944417832,67.62359719428208,0,0,0
1954,80.21492408656796,67.70748428131988,0,0,0
1955,78.65738292909532,66.70397260273977,0,0,0
1956,80.3154761904762,68.03675839188136,0,0,0
1957,80.30133324818259,67.81741758241759,0,0,0
1958,79.81419835871884,67.3736287000671,0,0,0
1959,80.86927839284004,68.548352150133,0,0,0
1960,80.82361017852823,68.21451936042095,0,0,0
1961,81.4807986686069,68.11365763612338,0,0,0
1962,81.4750494406659,68.1675975774606,0,0,0
1963,81.709023898476,69.21162999861636,0,0,0
1964,81.12212138953936,69.52034543325522,0,0,0
1965,81.47061969993477,68.29336268754078,0,0,0
1966,82.08434442270058,68.31364970645794,0,0,0
1967,82.18752446183954,69.02725048923679,0,0,0
1968,82.92629889843005,69.67571233411391,0,0,0
1969,81.65393781256797,68.26363883452923,0,0,0
1970,81.42083852220838,68.5758834924588,0,0,0
1971,81.27272450532725,68.43033485540343,0,0,0
1972,81.02177069287723,68.28198663055224,0,0,0
1973,81.16981171796238,68.33304206448047,0,0,0
1974,83.06444879321589,69.34766797129815,0,0,0
1975,81.08454614639541,67.59925309849966,0,0,0
1976,81.21610967205231,67.68858737649724,0,0,0
1977,82.79518373559468,69.20089910850184,1,1,1
1978,82.70385736029569,68.8567569036747,1,0,0
1979,82.91648727984345,68.76385083713849,0,0,0
1980,83.2229215456675,69.68850290571604,0,0,0
1981,84.02891389432483,69.38740487062405,0,0,0
1982,82.58781800391388,69.12382583170255,0,0,0
1983,82.90686562296153,67.8937377690802,0,0,0
1984,84.25188654696849,69.41918748373668,0,0,0
1985,82.66715590345727,68.18900848010438,0,0,0
1986,83.76307893020221,69.09445531637313,0,0,0
1987,82.89672211350293,69.11061643835617,0,0,0
1988,83.59914129586262,70.17069997397866,0,0,0
1989,82.65724070450096,69.10740378343114,0,0,0
1990,82.1279908675799,69.36138617090674,0,0,0
1991,82.75088388780168,69.59963470319636,0,0,0
1992,82.79078519385895,69.58041894353369,0,0,0
1993,81.90337573385519,68.72500000000001,0,0,0
1994,82.16275277234182,70.27708741030659,0,0,0
1995,82.42325505544683,69.71449771689497,0,0,0
1996,82.57190020817069,69.70096604215458,0,0,0
1997,82.26146988475755,69.15459882583173,0,0,0
1998,81.62831376386173,68.27914981517726,0,0,0
1999,81.634200913242,68.22388454011737,0,0,0
2000,81.9456425101917,68.52632925665716,0,0,0
2001,81.95104261796041,69.26509132420095,0,0,0
2002,82.12526359485267,68.78896360868964,0,0,0
2003,82.73534523315352,68.91424449979246,0,0,0
2004,82.59116782579895,69.17451702820553,0,0,0
2005,82.2128275909783,68.83914210599144,0,0,0
2006,81.48677182786768,68.53464369724644,0,0,0
2007,81.79502421475026,69.19285318942856,0,0,0
2008,81.52893277032618,68.92702917149637,0,0,0
2009,81.57746357903889,68.94016713119453,0,0,0
2010,81.65363241020772,68.89345549427742,0,0,0
2011,81.56073257032165,69.10262596611915,0,0,0
2012,81.32336532623418,68.66581119245056,0,0,0
2013,81.49209689093254,68.5318583623378,0,0,0
2014,82.23415724306135,69.16749413448045,0,0,0
2015,82.54562602542052,70.02784804997133,0,0,0
2016,82.28038424841704,70.48965434990023,0,0,0
2017,82.8787779952164,69.96624701021963,0,0,0
2018,82.26427266797134,70.47567188519247,0,0,0
