years,TMAX,TMIN,t90,t95,t100
1947,68.99253731343283,49.29477611940298,0,0,0
1948,79.29316939890707,59.270628415300564,96,38,5
1949,79.56191780821915,60.93698630136984,88,22,0
1950,80.82615786040446,60.90992824527066,86,19,0
1951,80.33568166992823,59.98101761252445,99,37,9
1952,79.3492063492063,58.95161657559199,88,23,0
1953,79.72576647097192,60.31154598825832,97,19,0
1954,80.77188519243309,60.26901500326159,105,31,2
1955,79.55469015003264,60.54190476190478,74,5,0
1956,81.10001301066872,59.98718449128282,110,31,0
1957,79.46743313763862,61.14300065231574,81,34,0
1958,78.04213959556425,59.397504892367905,92,26,0
1959,77.72459230267455,59.11531311154599,75,2,0
1960,77.27476906062975,59.16204787926098,82,11,0
1961,77.71579908675801,59.1360730593608,55,0,0
1962,79.33972602739725,59.78904109589038,92,27,7
1963,79.26204827136331,59.32302674494456,99,25,0
1964,78.350052042675,59.32676294561543,80,23,0
1965,79.66082191780819,61.11827788649704,89,14,0
1966,77.30489236790609,58.887801696020894,65,3,0
1967,79.22426614481414,59.57990867579909,59,20,0
1968,77.07227426489727,58.528688524590166,51,2,0
1969,79.02077625570776,59.74730919765166,94,38,0
1970,77.70861056751467,58.64652641878668,75,12,0
1971,79.99726027397266,60.046705805609896,82,16,0
1972,79.17727036169656,59.22330210772835,85,5,0
1973,78.00447488584474,59.03963470319634,54,4,0
1974,79.04529680365302,59.65351598173517,63,11,0
1975,78.8263926940639,58.99214611872146,65,3,0
1976,77.31616575591984,56.94408014571946,71,9,0
1977,79.26263535551205,59.00667971298107,107,21,0
1978,77.48480104370516,57.92319634703193,95,18,0
1979,76.99246575342468,57.38445857795176,61,2,0
1980,79.27353304709865,59.110655737704896,109,46,7
1981,79.04241356816695,59.674624918460516,79,11,0
1982,78.8208741030659,59.64851598173516,106,27,0
1983,76.07005870841489,57.37661448140901,56,1,0
1984,77.76131928181108,59.66056791569086,52,4,0
1985,77.57681017612525,59.79633072407046,77,16,0
1986,78.94109589041096,60.947162426614476,78,21,0
1987,78.68268101761252,58.51492172211351,89,26,0
1988,78.94901444184231,58.31611046057767,81,18,1
1989,77.19683626875408,58.7042889758643,63,4,0
1990,80.02471950424008,60.85801696020872,105,21,1
1991,78.3722222222222,60.60570776255717,85,4,0
1992,78.20666363084398,59.46209016393438,71,2,0
1993,78.29202544031314,59.090459882583154,83,34,0
1994,79.24608610567516,60.36242661448141,76,8,0
1995,79.62121113285497,60.365057621222014,90,26,0
1996,79.29188893225773,60.096007893139024,84,14,0
1997,77.70232115677321,59.67351598173518,93,17,0
1998,80.70491519895626,62.05986953685584,115,59,4
1999,81.5070743639922,60.627459230267434,86,33,2
2000,80.71983693295168,60.64786733454761,104,49,13
2001,78.7256697108067,59.614357469015026,83,13,0
2002,78.7539117199391,60.33710806697103,83,6,0
2003,79.03732669157323,60.24515359070156,76,5,2
2004,79.18519898437926,61.385875144891585,86,9,0
2005,80.68682094921816,60.85916493704164,120,31,1
2006,80.58380517503798,61.05009063235087,93,8,0
2007,79.13222291407212,60.70804483188043,72,8,3
2008,80.44848612983854,60.18748965060443,103,21,0
2009,80.03247543932476,60.30401757299018,99,50,4
2010,78.66166913755958,59.35972286465439,93,29,0
2011,81.88454337899542,60.86933028919329,126,88,18
2012,81.79029946222575,62.01644982218752,89,28,3
2013,79.60482387475535,59.580152207001525,102,36,1
2014,78.55973581213308,59.381164383561654,82,15,0
2015,79.77059686888454,61.463600782778876,92,29,3
2016,81.06298790007807,62.646857923497286,97,29,0
2017,81.762866927593,62.849119373776894,93,19,0
2018,79.58152315720808,61.662377690802316,107,27,0
