years,TMAX,TMIN,t90,t95,t100
1947,45.088752665245224,29.062544420753376,0,0,0
1948,63.77304839968771,42.270199063231885,16,4,0
1949,65.06701456838442,44.347972385301155,21,0,0
1950,61.60039682539681,41.578305066318755,2,0,0
1951,62.337701674277014,41.7854490106545,9,1,0
1952,64.60734669095325,43.50500910746814,34,4,0
1953,66.07646879756469,43.656674277016734,38,10,1
1954,65.43479452054794,44.09287671232875,47,13,2
1955,64.33844748858448,42.792047184170485,36,3,0
1956,64.06751669702491,43.02008955676988,12,1,0
1957,62.72717656012178,42.61517177647316,14,0,0
1958,60.58412480974125,40.67892694063929,0,0,0
1959,63.86801369863018,42.78284627092845,20,0,0
1960,61.41455676988467,40.65122191863996,13,0,0
1961,62.09099764770996,41.58234398782342,13,0,0
1962,61.95553618375541,41.25775840597757,11,0,0
1963,62.14730731977305,38.79532171025323,14,0,0
1964,64.14536623061214,41.42828558812169,23,2,0
1965,63.0430478653767,42.05174101393279,7,0,0
1966,61.36853051058524,40.28056039850563,24,2,0
1967,61.56312577833124,40.77814445828144,8,0,0
1968,61.53014985924828,40.86083788706739,18,0,0
1969,60.52354503943543,40.0322083852221,6,0,0
1970,61.57916424519163,41.04806558738064,7,2,0
1971,62.41513491075138,41.6394714265947,5,1,0
1972,60.29127020520462,40.98933184302035,7,0,0
1973,63.18734191227343,43.74878787878788,6,0,0
1974,61.641879064618806,41.947685069876854,6,0,0
1975,62.44604261796049,42.54475024214753,11,0,0
1976,61.60791521775132,38.93530523817407,6,0,0
1977,61.71287671232877,40.65951293759513,17,3,0
1978,59.518780960287785,38.91906046769064,9,0,0
1979,59.6643676490937,39.10085581845857,2,0,0
1980,60.999814400839,40.30766131257933,23,3,0
1981,61.03391171993916,40.74954753009547,7,0,0
1982,61.8378462709285,41.21651445966514,5,0,0
1983,62.51677321156769,42.72626331811264,38,6,0
1984,61.591630887327604,42.055438459536866,7,0,0
1985,61.32885844748854,41.26006849315069,3,0,0
1986,62.679391171993885,42.851902587519035,11,0,0
1987,64.37417808219178,42.91009132420091,13,0,0
1988,63.22431693989072,40.24004250151791,43,18,0
1989,60.23524560675246,40.32449840874498,8,0,0
1990,63.312422858724254,43.25099211290992,8,0,0
1991,63.40543794105441,43.87009824270102,19,0,0
1992,60.516887453772696,41.830838439035126,0,0,0
1993,59.821865227618666,41.60728933167289,3,0,0
1994,61.81681195516807,41.08054794520545,9,0,0
1995,61.68704026567045,41.222200083022024,22,2,0
1996,59.51498592482196,40.33282690290888,4,0,0
1997,59.948451639684514,40.9495115538951,3,1,0
1998,64.33507264425073,45.3870416493704,8,0,0
1999,63.99712328767122,42.68418430884185,19,2,0
2000,61.66621129326052,41.636227024341764,0,0,0
2001,63.57594927142873,43.634481910783286,6,0,0
2002,63.16742057029729,43.63492448191079,21,0,0
2003,60.974062011048346,41.44719928473353,4,0,0
2004,61.96001630427863,42.779935228705725,0,0,0
2005,62.496505093080536,43.1291359325606,9,0,0
2006,62.910445444966015,43.83343264041895,8,0,0
2007,63.905814733211976,43.1090988919756,23,0,0
2008,61.186693543250975,40.85415154062697,2,0,0
2009,60.8130082702686,41.654126832072016,2,0,0
2010,62.883969227119884,42.27171549911278,14,0,0
2011,62.773085955140715,43.90439986953687,22,5,0
2012,65.87597092115539,44.849259392702024,41,16,4
2013,60.97761631063002,42.271573586231106,11,1,0
2014,59.80369561944904,40.49281950925786,1,0,0
2015,62.75050497447759,43.00574630848601,4,0,0
2016,64.20923907604237,44.77871104305532,3,0,0
2017,64.14689648251287,44.40678408349636,4,0,0
2018,62.32578654222493,43.550805359024594,12,0,0
