years,TMAX,TMIN,t90,t95,t100
1947,70.23400852878466,52.8248933901919,0,0,0
1948,79.87493494665625,61.10402680197763,70,6,0
1949,80.63329745596867,61.30802348336594,65,4,0
1950,80.16661774298763,59.210632746249196,72,14,1
1951,79.96810176125246,59.22852250489237,87,14,0
1952,79.45345433255268,59.32982045277127,79,15,0
1953,79.4586757990868,60.236757990867545,52,12,0
1954,79.9339204174821,58.419183518156146,80,32,1
1955,79.71466079582517,58.73009893455092,68,4,0
1956,79.72337149796166,58.341828215803645,64,5,0
1957,79.82172211350294,60.45315068493148,62,5,0
1958,77.26260926288329,58.35696020874101,73,5,0
1959,78.63251141552512,60.63741682974557,61,6,0
1960,77.79215456674477,58.67109029404113,52,2,0
1961,79.0859752120026,59.408558382257034,54,3,0
1962,78.73144161774302,58.81532941943895,70,8,0
1963,77.59367253750821,58.41089367253747,56,8,0
1964,77.67096018735363,59.6842701014832,39,4,0
1965,78.05825179386827,59.328506196999385,30,0,0
1966,76.84018264840184,58.55296803652972,38,0,0
1967,78.91135029354209,59.233333333333356,33,3,0
1968,77.7484257090814,57.82017954722871,49,4,0
1969,77.18617090671886,58.5438486627527,55,7,0
1970,78.66594911937379,58.86712328767124,59,10,0
1971,80.00703196347021,59.435485975212025,56,2,0
1972,79.57707520166534,60.327348425709076,48,3,0
1973,79.71932159165034,59.01401826484024,67,2,0
1974,79.90182648401819,59.40767123287673,35,0,0
1975,79.76347031963466,59.41817351598173,51,0,0
1976,77.8683060109289,56.34795081967216,39,4,0
1977,78.66228310502284,57.141735159817344,78,16,0
1978,78.5101826484018,57.75269406392691,60,9,0
1979,78.43698630136984,58.17990867579912,53,6,0
1980,78.92714025500914,58.17053734061929,89,13,1
1981,79.02502283105026,56.136301369863055,82,24,1
1982,79.85200913242004,60.12310502283104,63,5,0
1983,77.21397260273972,57.41365296803653,57,15,0
1984,78.79176424668225,58.31612021857925,51,5,0
1985,79.57152641878668,59.85239399869543,51,8,0
1986,80.10962818003915,60.72614481409003,88,19,2
1987,78.5686757990867,58.64867579908669,83,10,0
1988,78.37227426489726,57.896630236794216,67,6,0
1989,80.00434442270057,59.34105675146774,70,6,0
1990,81.89791258969343,61.39752120026089,91,20,1
1991,79.6918721461187,61.360848010437095,66,1,0
1992,78.53165495706482,59.50664845173042,66,8,0
1993,78.48930202217878,59.24572733202871,80,13,0
1994,78.9219830397913,61.10339204174826,39,0,0
1995,78.51826484018267,59.85799086757993,60,5,0
1996,77.38238355451472,58.01255529534216,31,0,0
1997,77.93215916503581,59.80176125244619,34,0,0
1998,80.31000217438574,61.52879430310934,74,33,4
1999,78.84118721461182,58.52086757990867,51,9,2
2000,78.41948998178502,56.73806921675774,63,13,0
2001,78.53518590998044,59.29017938682323,50,2,0
2002,78.61387801696024,60.20114155251141,36,6,0
2003,78.02340508806265,59.268649706457936,25,0,0
2004,78.33493364558933,59.43393182409576,44,1,0
2005,77.98540769732554,59.691069797782156,52,3,0
2006,79.90930202217882,59.31934116112194,71,11,0
2007,79.0721656881931,60.62961839530337,61,10,0
2008,78.47124642206612,59.055880822274275,46,3,0
2009,78.83851924331375,60.21355185909981,61,9,0
2010,77.85970319634704,57.267514677103755,85,13,0
2011,80.50067840834963,59.44430528375732,85,25,0
2012,80.15671350507415,61.01975670049438,48,2,0
2013,78.85236464448795,60.78075668623613,32,1,0
2014,78.68527397260272,59.54760273972601,60,5,0
2015,80.55408349641226,63.15139595564248,67,12,0
2016,80.35239721571688,61.055919854280525,83,21,0
2017,81.13640900195695,62.60502609262876,60,1,0
2018,79.94229941291592,61.840906718851926,68,3,0
