years,TMAX,TMIN,t90,t95,t100
1947,47.11276037395441,31.68722322453667,0,0,0
1948,61.72805200264219,43.67750605496508,10,4,1
1949,64.91165888905617,46.333971507944106,24,9,0
1950,61.18298597521202,43.92561317677755,5,0,0
1951,62.76654109589039,45.066837899543366,3,0,0
1952,63.060641100702576,45.74540072859747,17,1,0
1953,64.56823059360731,46.598664383561655,22,9,1
1954,62.68840182648402,44.79353881278539,9,2,0
1955,62.460639269406364,44.958470319634706,23,9,0
1956,61.05262978142077,44.34918032786885,6,1,0
1957,62.9119227005871,45.36767286366601,13,3,0
1958,59.53978310502283,43.662488584474886,3,0,0
1959,62.923770384866245,45.5864611872146,14,0,0
1960,61.43881082487631,44.15677755759723,1,0,0
1961,61.975907973305155,44.840947408755625,11,0,0
1962,61.060032889484916,42.997574799629604,6,1,0
1963,61.72639620653316,43.016543730242375,13,6,0
1964,62.87611773472428,44.150004139758224,13,1,0
1965,62.06985343423693,44.214137688795255,9,0,0
1966,62.45035124692659,44.704531085353025,23,5,2
1967,60.795256676352516,43.71348277293485,2,0,0
1968,61.87386475091388,44.29941597564548,13,3,0
1969,61.57702042249985,44.81422550052687,9,0,0
1970,61.74264137688797,44.755416227608,9,0,0
1971,62.31203340038956,45.34304211769966,9,0,0
1972,61.2027230055919,44.0889681811813,13,0,0
1973,64.19142455717798,46.668151711302414,19,4,0
1974,62.783554345198205,44.93448834270754,11,0,0
1975,62.63268576172681,45.67833125778332,5,2,0
1976,61.87358866088379,43.61573299196253,7,0,0
1977,62.07027535630271,44.36767953507681,12,4,0
1978,60.73623080116228,43.03627231216273,4,1,0
1979,61.925659333056586,44.65663069046631,8,0,0
1980,62.15941391638114,44.05261983007885,24,4,1
1981,61.878704856787095,43.94008302200084,8,2,0
1982,62.073845302338476,44.14041511000415,9,2,0
1983,63.36854296388542,45.18211706102115,34,4,0
1984,62.30506982392226,44.56153612629023,8,2,0
1985,62.551164383561705,44.603089802130896,5,1,0
1986,62.661605783866115,44.44073612840738,6,2,0
1987,62.85544762695449,44.715909782759105,17,1,0
1988,62.61260694375444,44.12319092564993,32,7,0
1989,61.54515566625158,44.22614639546145,10,0,0
1990,65.20761578604045,46.79866492715805,6,0,0
1991,65.2765884876159,46.740568008855675,21,5,0
1992,61.46465888392124,44.63622150466415,5,0,0
1993,62.67886813338867,44.90671440431715,17,5,0
1994,62.8224948111249,44.44179465891795,11,1,0
1995,62.759558599695566,44.98785388127854,20,1,0
1996,60.915012143290795,44.397571341833626,2,0,0
1997,62.41774456897746,44.57381070983814,16,2,0
1998,65.18243531202441,48.16807893020222,9,0,0
1999,64.43235990037363,46.33718417047185,24,9,1
2000,61.48736821769614,44.24328807197659,7,0,0
2001,64.32738619067388,45.8287096997371,15,5,1
2002,64.57623910336234,46.58890410958905,30,9,0
2003,61.1663304275633,44.54721876297222,10,0,0
2004,62.424515648286125,45.71891869514821,3,0,0
2005,63.68355887643556,46.51356856233569,26,9,0
2006,64.95586550435866,47.64637608966379,14,5,0
2007,63.34483188044836,45.78264563442647,14,1,0
2008,63.56889799635703,45.427474195506974,12,4,0
2009,62.02974124809743,45.10914764079149,9,0,0
2010,64.68853881278538,47.76041856925418,40,6,2
2011,64.39852141769948,48.15750706675363,21,5,2
2012,65.33763769624427,48.952202055685675,25,8,1
2013,62.7949282452707,46.521227440747964,16,3,0
2014,61.98486627527723,45.04993476842792,7,0,0
2015,64.61805283757339,46.35680039138944,25,3,0
2016,65.57913739266196,47.647264506895645,28,7,0
2017,64.14354859752115,47.63953033268107,14,2,0
2018,63.33163731245914,47.49595564253102,29,4,0
