years,TMAX,TMIN,t90,t95,t100
1947,42.52238805970149,26.417910447761194,0,0,0
1948,62.99726775956288,40.26821493624772,38,15,3
1949,62.143150684931506,40.3,34,9,0
1950,60.96301369863013,37.597945205479455,14,4,0
1951,58.933789954337904,38.31027397260274,17,6,1
1952,63.34016393442623,40.42554644808743,52,20,7
1953,65.95776255707763,42.80936073059364,58,34,9
1954,65.813698630137,42.9456621004566,49,25,13
1955,64.29931506849316,41.26438356164383,58,41,13
1956,65.38775045537344,42.04348816029144,58,25,5
1957,62.49611872146115,42.12853881278538,36,21,7
1958,61.84109589041099,41.31050228310503,18,1,0
1959,61.54155251141554,41.13515981735162,36,12,0
1960,60.090619307832455,39.554644808743156,26,3,0
1961,61.170776255707736,40.07534246575341,31,8,1
1962,61.376712328767105,41.0730593607306,15,1,0
1963,63.76438356164387,42.0283105022831,40,13,0
1964,63.533697632058306,40.91848816029144,36,15,3
1965,61.31506849315068,40.102739726027394,16,7,0
1966,62.13835616438356,39.23972602739726,28,10,4
1967,62.193150684931474,39.52876712328764,17,4,0
1968,62.50546448087432,40.33424408014571,35,9,0
1969,60.1972602739726,41.66986301369863,28,9,2
1970,62.85890410958904,42.26438356164383,42,18,2
1971,62.06849315068493,42.64931506849315,31,10,2
1972,61.16393442622951,40.76912568306011,31,10,0
1973,61.90593607305939,42.24748858447486,37,14,2
1974,63.18630136986302,40.64520547945205,40,24,12
1975,61.76621004566209,40.58858447488584,42,17,0
1976,63.62067395264116,39.59153005464481,40,15,0
1977,63.62876712328767,41.87945205479452,26,11,0
1978,59.12876712328767,38.40958904109589,35,10,1
1979,59.90684931506849,38.584931506849315,25,8,0
1980,63.43715846994535,41.10245901639344,50,27,9
1981,64.26027397260275,42.16027397260274,24,6,3
1982,59.56438356164384,39.73561643835617,19,4,0
1983,61.6945205479452,41.40684931506849,67,28,10
1984,62.76639344262295,41.45765027322405,49,21,4
1985,60.6958904109589,39.136986301369866,28,9,1
1986,64.21506849315068,43.07260273972603,25,10,0
1987,66.34520547945205,43.37534246575343,40,19,5
1988,65.72267759562841,40.372950819672134,57,34,13
1989,63.797260273972604,38.14109589041096,32,12,1
1990,65.85616438356165,41.12739726027397,47,24,4
1991,65.18219178082192,40.93972602739726,44,25,3
1992,63.12978142076503,40.5655737704918,9,0,0
1993,58.94794520547945,38.25753424657534,11,0,0
1994,62.73835616438356,38.92054794520548,18,0,0
1995,62.16575342465753,39.68904109589041,38,16,3
1996,59.618852459016395,37.923497267759565,17,1,0
1997,61.75890410958904,39.37397260273973,24,6,1
1998,63.7,42.636986301369866,38,10,0
1999,64.75068493150685,40.74794520547945,31,10,2
2000,64.53005464480874,39.77322404371585,49,17,4
2001,64.18082191780822,41.082191780821915,48,15,1
2002,63.75456621004565,39.7541095890411,53,21,5
2003,62.64269406392694,39.22625570776256,28,14,3
2004,62.48224043715847,39.99544626593807,15,2,0
2005,64.22374429223744,40.859817351598174,40,12,3
2006,65.287899543379,41.30273972602739,33,16,5
2007,62.881506849315066,40.932420091324204,28,8,0
2008,60.72176684881603,37.86725865209472,12,1,0
2009,61.10913242009131,37.8662100456621,12,2,0
2010,61.566210045662096,39.954337899543376,23,2,0
2011,62.244292237442934,39.48835616438357,26,10,0
2012,67.69011839708561,41.30350637522769,55,36,7
2013,61.31438356164384,38.260730593607306,26,9,0
2014,61.876940639269414,38.017123287671225,17,2,0
2015,64.28767123287675,41.11963470319635,21,5,0
2016,65.82946265938072,43.02003642987254,38,5,0
2017,64.99634703196351,41.65707762557075,31,5,0
2018,62.137899543379014,39.60821917808218,38,6,0
