years,TMAX,TMIN,t90,t95,t100
1947,36.723880597014926,25.388059701492537,0,0,0
1948,56.78415300546448,37.423497267759565,14,1,0
1949,57.91872146118718,37.74794520547946,10,0,0
1950,54.50547945205479,33.76529680365296,1,0,0
1951,53.494063926940626,34.900913242009146,0,0,0
1952,56.62204007285974,37.846994535519144,3,0,0
1953,57.995433789954376,39.04657534246574,13,3,0
1954,56.70502283105021,38.74337899543376,4,0,0
1955,56.80913242009133,37.789497716894964,23,7,0
1956,56.87340619307832,37.260473588342414,5,0,0
1957,56.28675799086756,37.35433789954339,3,0,0
1958,56.58447488584475,36.228767123287646,4,0,0
1959,55.83378995433791,37.04063926940639,6,0,0
1960,55.17030965391623,36.85974499089251,6,0,0
1961,56.675799086758026,37.4634703196347,5,0,0
1962,55.227397260274024,36.730593607305956,2,0,0
1963,56.963470319634666,35.41004566210043,7,1,0
1964,58.85792349726777,37.204007285974505,22,3,0
1965,56.41415525114152,36.34337899543378,7,2,0
1966,56.34794520547947,35.17762557077627,9,1,0
1967,55.49269406392692,35.56894977168949,0,0,0
1968,57.66803278688523,37.18579234972678,7,0,0
1969,55.59269406392698,35.937899543379,0,0,0
1970,56.69589041095888,36.64474885844749,5,0,0
1971,57.644063926940625,36.60525114155252,4,0,0
1972,54.29826958105648,34.4011839708561,5,0,0
1973,57.904566210045665,39.208904109589035,7,0,0
1974,56.515068493150686,36.24817351598173,6,0,0
1975,57.271917808219186,36.622146118721446,0,0,0
1976,56.887978142076484,31.878415300546447,16,2,0
1977,56.752968036529666,34.24086757990867,10,2,0
1978,55.21255707762557,32.477397260273975,5,1,0
1979,54.73607305936073,32.086986301369855,0,0,0
1980,55.50933515482702,34.108834244080136,5,0,0
1981,57.29977168949772,35.1513698630137,1,0,0
1982,54.48219178082192,33.78607305936073,1,0,0
1983,55.86369863013699,35.352739726027394,20,1,0
1984,56.32172131147541,34.14890710382514,3,0,0
1985,55.21095890410959,33.66027397260274,2,0,0
1986,56.273972602739754,35.601598173515995,2,0,0
1987,59.2159817351598,36.884018264840186,14,0,0
1988,58.61999089253188,33.30031876138434,38,16,3
1989,55.86689497716894,32.95707762557078,10,2,0
1990,58.62077625570777,35.93447488584475,3,0,0
1991,58.22328767123289,35.07123287671233,13,0,0
1992,55.82103825136613,35.67281420765027,3,0,0
1993,55.00958904109589,35.287899543379005,0,0,0
1994,56.69474885844748,35.18744292237442,7,1,0
1995,55.87100456621005,35.718949771689466,15,3,0
1996,53.44216757741351,33.367486338797804,0,0,0
1997,54.92990867579905,35.611643835616434,0,0,0
1998,59.48515981735159,40.37328767123287,0,0,0
1999,58.73744292237442,38.0917808219178,8,1,0
2000,56.826275045537336,37.285291438979975,2,0,0
2001,57.98173515981737,38.86461187214612,10,0,0
2002,57.70662100456622,38.300228310502284,11,0,0
2003,56.83383561643832,35.923972602739724,7,0,0
2004,56.443260473588296,37.00605646630235,0,0,0
2005,57.677397260273985,37.89584474885845,9,0,0
2006,57.839634703196346,39.219360730593614,5,0,0
2007,57.41333333333337,38.339680365296815,3,0,0
2008,54.820127504553746,34.90701275045535,0,0,0
2009,55.07525114155247,35.808493150684946,2,0,0
2010,57.9986301369863,38.56278538812785,2,0,0
2011,56.84954337899544,37.861187214611874,8,0,0
2012,61.42395264116575,40.18715846994535,26,7,2
2013,54.985159817351594,35.36095890410959,9,0,0
2014,53.8134703196347,34.00867579908675,0,0,0
2015,57.49223744292238,37.50502283105023,1,0,0
2016,58.22495446265939,39.62682149362478,1,0,0
2017,57.79703196347031,38.39543378995433,3,0,0
2018,55.871917808219166,37.351598173515974,4,0,0
