years,TMAX,TMIN,t90,t95,t100
1947,80.34825870646767,66.4726368159204,0,0,0
1948,83.86124772313298,69.27026411657558,23,0,0
1949,82.77712328767123,68.79397260273976,11,0,0
1950,81.82474885844745,67.61136986301375,9,0,0
1951,82.1868493150685,67.52397260273963,19,0,0
1952,82.5495901639345,68.26939890710388,24,0,0
1953,82.43360730593606,68.97324200913239,11,0,0
1954,82.06836268754076,67.45059360730595,26,0,0
1955,82.33679060665361,67.24197651663404,12,0,0
1956,82.31300416341396,66.77753382773875,33,2,0
1957,82.88569797782127,68.64178082191779,29,0,0
1958,81.84569145466408,67.57230593607308,41,1,0
1959,82.81324200913238,68.66246575342461,8,0,0
1960,82.29408014571949,67.31602914389799,15,0,0
1961,83.1432876712329,68.11488584474887,16,0,0
1962,82.9282713633399,66.83418134377041,40,0,0
1963,82.31552511415522,67.34031311154602,32,0,0
1964,82.07032266458496,69.52881863127769,10,0,0
1965,82.19609915198957,68.60498369210694,0,0,0
1966,80.88336594911942,67.60751467710372,8,0,0
1967,81.9114285714286,68.49416829745607,7,0,0
1968,80.60322664584967,66.66157949518602,3,0,0
1969,81.68180039138947,67.53981735159817,30,1,0
1970,81.89960861056751,67.81697325505542,13,0,0
1971,82.79095890410953,68.32328114807567,15,0,0
1972,82.90988810824871,69.49773614363778,8,0,0
1973,82.06469667318984,68.55332028701895,6,0,0
1974,82.91182648401826,69.23159817351599,16,0,0
1975,82.96899543379001,70.19493150684934,4,0,0
1976,81.0409380692167,68.81698542805108,7,0,0
1977,81.21027397260274,68.57794520547952,9,0,0
1978,81.51164383561645,69.40602739726023,6,0,0
1979,81.68821917808219,69.94662100456625,5,0,0
1980,82.31584699453553,68.8920765027323,32,1,0
1981,82.01849315068498,67.84296803652968,20,0,0
1982,83.31506849315066,71.22205479452056,23,0,0
1983,82.1476712328767,69.2264383561644,29,0,0
1984,81.97172131147543,69.27937158469939,8,0,0
1985,82.74958904109592,68.03278538812783,30,2,0
1986,83.04118721461187,69.53260273972597,17,0,0
1987,82.73506849315066,69.29342465753425,54,2,0
1988,82.18051001821493,69.73137522768671,20,0,0
1989,83.3079908675799,70.40045662100457,28,0,0
1990,83.91643835616438,71.75753424657535,42,2,0
1991,83.56963470319634,71.5458904109589,43,1,0
1992,82.533014571949,70.27891621129326,29,0,0
1993,82.98561643835616,70.71027397260274,45,0,0
1994,83.72123287671234,71.90205479452055,28,0,0
1995,83.45616438356164,70.86849315068493,63,0,0
1996,82.6318306010929,70.50956284153006,43,0,0
1997,83.78904109589043,72.09086757990868,64,0,0
1998,83.51232876712322,71.81191780821922,71,1,0
1999,83.55778864970647,70.49772994129157,45,2,0
2000,83.37904957064794,70.30686963309918,43,0,0
2001,83.29487932159168,69.84729288975862,43,0,0
2002,84.02616873233312,70.05609154163945,34,0,0
2003,83.86377582083065,69.44433246357906,25,0,0
2004,83.2659727643334,69.27008738832508,58,0,0
2005,83.27152533159382,68.81720808871493,72,0,0
2006,83.35434877147209,69.54646118721463,33,0,0
2007,83.86364970645796,70.37705479452056,62,0,0
2008,83.3815812299419,69.7483140341747,37,0,0
2009,83.80650684931501,69.73854642313543,71,1,0
2010,81.76646010002172,67.40883887801694,74,0,0
2011,84.24901065449006,70.43245814307463,69,0,0
2012,83.46812386156643,69.82678463006332,37,0,0
2013,83.91308980213091,70.7363774733638,22,0,0
2014,83.97431506849313,69.58184931506851,53,0,0
2015,85.14672754946731,72.13607305936074,84,1,0
2016,84.10006830601087,71.10959319975713,69,0,0
2017,84.80681887366816,71.18124483583392,76,0,0
2018,84.79648293107196,70.78091976516639,82,0,0
