years,TMAX,TMIN,t90,t95,t100
1947,37.50746268656718,23.869936034115142,0,0,0
1948,56.95270188221012,37.45732392228293,12,2,0
1949,58.07302130898022,38.47701674277016,10,0,0
1950,54.14223744292238,35.31088823657317,0,0,0
1951,53.73607197216784,35.58905700844055,0,0,0
1952,56.96926229508195,38.58787878787882,7,0,0
1953,58.75419261104189,39.69814030718139,16,6,0
1954,57.22459111664594,39.116753839767554,3,0,0
1955,57.98926525529267,38.07696139476962,25,6,0
1956,57.07446597118728,37.76737594524481,4,0,0
1957,56.19910336239101,37.582092154420955,3,0,0
1958,56.41140722291399,36.511506849315055,5,0,0
1959,56.21565103085649,37.3459222360592,12,1,0
1960,55.2215019042888,37.125546448087405,3,0,0
1961,56.722042341220444,37.97166874221666,7,0,0
1962,55.44232046492319,36.56239103362391,2,0,0
1963,56.29200913242005,35.54686591946865,5,1,0
1964,57.91694498579746,38.0885764963634,15,1,0
1965,55.54290577002903,36.945104469351044,5,0,0
1966,55.8677063575694,36.3568135517451,8,2,0
1967,55.0908883354089,36.40499792445,2,0,0
1968,57.18461251862891,37.7996564000662,10,0,0
1969,55.36224574512249,36.805022831050216,3,0,0
1970,56.06537982565375,37.14298879202989,9,0,0
1971,56.53713574097135,37.16822332918223,5,0,0
1972,53.52993045206163,35.64000662361318,3,0,0
1973,57.514993773349914,40.20799086757991,9,1,0
1974,55.486725101382646,37.38452916946067,6,0,0
1975,56.37667337228977,38.16898074528211,0,0,0
1976,55.74899053587575,35.02612824334136,6,2,0
1977,55.89235367372352,36.94920713989209,6,1,0
1978,54.52211706102119,35.50829389788293,2,0,0
1979,53.99193302891928,35.36536875605369,0,0,0
1980,55.08987967102718,36.95461445051606,6,0,0
1981,55.93515704995159,37.372768783727686,1,0,0
1982,54.832769475577685,35.88627646326277,0,0,0
1983,55.83174207831743,38.31799916977998,10,1,0
1984,56.30019870839536,37.796025832091395,4,0,0
1985,55.48266500622665,36.53755915317562,4,0,0
1986,55.991534523315345,38.41412757714125,3,0,0
1987,58.29424934274241,40.50347377888475,11,1,0
1988,57.06887522768668,37.23759107468125,30,13,1
1989,54.01993911719935,35.90007610350075,1,0,0
1990,57.33412698412705,38.890851272015645,2,0,0
1991,56.986704718417045,38.77695585996958,9,0,0
1992,54.23011536126286,37.72765634486946,0,0,0
1993,54.050045662100466,37.573059360730575,2,0,0
1994,56.12833333333332,37.641621004566204,3,0,0
1995,55.40562889165628,37.96871731008721,10,3,1
1996,53.234144725947964,35.67109206822319,3,0,0
1997,54.61959319219596,37.21369863013699,1,0,0
1998,59.24829964555992,41.919669827888995,1,0,0
1999,58.21040694465353,39.08774650007525,9,1,0
2000,56.10577673692431,38.2515312556296,0,0,0
2001,57.578279391840994,39.296437352601714,6,0,0
2002,57.291164634452265,38.691568066636556,11,0,0
2003,56.010899511447434,36.54059109839929,4,0,0
2004,56.31551622330313,37.45982683072847,0,0,0
2005,57.46051733654477,38.5908123839631,9,0,0
2006,57.624305283757295,40.015408700888145,7,2,0
2007,57.028594141555445,38.633177891810035,2,0,0
2008,54.718415166613035,35.658232660094995,0,0,0
2009,54.74686343174618,36.374100474123786,2,0,0
2010,57.65055584165891,39.09052391252101,0,0,0
2011,55.78482624681253,37.890796289277546,6,2,0
2012,60.19518971731149,39.99952775359426,19,7,2
2013,54.36640538348419,35.42234947241406,7,0,0
2014,52.68478969908393,33.88745029637822,0,0,0
2015,56.63907964181939,37.707815928363885,1,0,0
2016,57.78772767114013,39.84759501834565,2,0,0
2017,57.246257538824274,38.8702650461771,2,0,0
2018,55.39224009526906,37.37566965358602,5,0,0
