years,TMAX,TMIN,t90,t95,t100
1947,31.940298507462693,18.2636815920398,0,0,0
1948,55.78278688524591,36.192167577413485,23,6,0
1949,56.46666666666666,37.047488584474905,29,9,0
1950,51.56438356164382,32.98264840182647,9,2,0
1951,50.61643835616447,33.8945205479452,1,0,0
1952,55.14025500910746,36.80282331511838,13,0,0
1953,56.40365296803654,37.85525114155251,13,1,0
1954,54.771232876712325,37.86164383561644,5,0,0
1955,55.21917808219178,36.16438356164384,28,10,2
1956,54.53324225865209,36.08151183970855,8,4,1
1957,54.53013698630137,36.51917808219178,7,0,0
1958,55.516894977169024,36.366210045662086,5,0,0
1959,55.18447488584474,37.05753424657535,17,0,0
1960,54.02322404371585,34.916211293260496,10,0,0
1961,54.9607305936073,35.88949771689501,8,1,0
1962,53.06712328767123,34.23698630136986,1,0,0
1963,55.428310502283104,35.3689497716895,7,1,0
1964,56.637522768670316,36.14116575591989,27,5,0
1965,52.47123287671232,34.18812785388129,5,0,0
1966,53.76803652968033,34.01095890410961,12,2,0
1967,53.60547945205477,33.83470319634703,0,0,0
1968,55.30327868852459,36.2185792349727,7,0,0
1969,54.393607305936094,35.44931506849315,8,0,0
1970,54.14794520547945,34.972602739726035,14,0,0
1971,54.077625570776256,35.10319634703198,5,0,0
1972,51.35245901639341,32.99089253187614,7,1,0
1973,56.02922374429226,38.252968036529666,7,1,0
1974,54.937899543379004,35.452054794520556,8,2,0
1975,54.33835616438356,35.8433789954338,11,1,0
1976,56.56466302367945,34.56466302367939,22,7,0
1977,55.48721461187216,36.433789954337904,8,1,0
1978,54.152511415525076,34.582648401826475,12,0,0
1979,52.44018264840181,34.097716894977175,4,0,0
1980,55.6939890710383,35.5673952641166,13,3,0
1981,56.7319634703196,37.08127853881278,2,0,0
1982,54.14497716894977,35.19771689497717,8,4,0
1983,54.69543378995434,37.54566210045662,21,2,0
1984,55.35450819672131,36.91347905282332,6,0,0
1985,54.07648401826484,34.69132420091325,4,1,1
1986,55.73881278538811,37.43926940639272,6,0,0
1987,60.40662100456621,40.66461187214612,20,2,0
1988,57.83993624772314,36.30214025500911,42,15,3
1989,54.771461187214626,33.87899543378995,9,1,0
1990,57.921506849315115,36.85885844748857,4,1,1
1991,55.616164383561596,36.06767123287669,12,0,0
1992,54.553734061930804,36.14007285974497,2,0,0
1993,52.95963470319631,34.40602739726028,1,0,0
1994,55.53589041095888,35.504155251141576,4,1,0
1995,54.434063926940645,35.578630136986305,15,4,1
1996,52.05550676554774,32.50058548009368,5,1,0
1997,54.16402587519026,35.44040117416828,6,0,0
1998,58.3663633398565,39.59361709067188,7,0,0
1999,57.597678843226774,37.85977168949768,17,5,0
2000,55.76847298117788,36.44407255616272,6,0,0
2001,56.682879973907376,37.32499021526414,18,5,0
2002,55.39134703196351,37.23017503805175,12,1,0
2003,55.723904109588986,36.09915525114154,11,2,0
2004,55.272821797207044,36.8913023679417,2,0,0
2005,56.923033268101825,38.77015873015873,16,1,0
2006,57.7761491628615,39.68999999999999,12,6,0
2007,56.512004783648635,38.1582898456186,14,1,0
2008,53.824891577760425,35.02170287969472,4,0,0
2009,54.19715046749293,36.17108719286803,4,0,0
2010,56.48194824961948,38.2983257229833,10,0,0
2011,55.3750076103501,37.57960426179605,9,3,0
2012,59.17780813600488,40.26417729204615,13,5,0
2013,52.475220700152185,35.16885844748858,8,0,0
2014,51.37625570776255,33.764322678843214,0,0,0
2015,56.392541856925405,38.92706240487063,0,0,0
2016,57.07635094110504,40.17859744990892,6,0,0
2017,55.98578386605784,38.41635464231355,2,0,0
2018,53.97286910197872,36.84596651445965,11,1,0
