years,TMAX,TMIN,t90,t95,t100
1947,56.368159203980085,34.33830845771144,0,0,0
1948,71.01366120218579,47.89298724954463,58,13,1
1949,71.02356164383558,49.569360730593594,29,0,0
1950,69.18452054794516,47.96356164383562,12,0,0
1951,70.50410958904106,48.23013698630135,54,10,1
1952,71.95765027322405,48.69275956284151,76,44,13
1953,73.20493150684929,48.81493150684932,79,26,1
1954,72.73940639269408,49.0021917808219,91,44,11
1955,71.18246575342467,48.06365296803656,57,9,0
1956,71.57336065573772,48.76625683060111,56,13,0
1957,70.1458447488584,49.293515981735155,43,4,0
1958,67.80039138943246,45.81056751467708,29,0,0
1959,70.19641226353554,47.912654924983684,31,0,0
1960,68.06717408274781,45.84393702836327,39,5,0
1961,69.15668623613828,46.32286366601436,23,0,0
1962,69.87940313111547,46.25133724722769,57,8,0
1963,69.5096270928462,44.09577625570778,25,2,0
1964,70.7594869459624,46.08371281117182,52,7,0
1965,70.59764079147637,46.475053272450545,23,3,0
1966,68.51454120460969,45.24146553598608,32,10,1
1967,69.37782343987824,45.77753424657534,10,0,0
1968,68.74104432301152,44.52291287188827,43,10,0
1969,68.65928462709289,44.75468362687539,48,10,0
1970,69.34229615133725,45.74739617308111,47,1,0
1971,70.27035225048924,46.19633072407045,24,2,0
1972,69.37940736403849,45.89363778298206,28,0,0
1973,70.43689497716896,47.11934768427918,30,0,0
1974,69.9267449445531,46.619373776908,15,0,0
1975,69.93929876060012,46.532762557077625,43,1,0
1976,68.18055555555553,42.84437613843352,16,0,0
1977,69.81745488149596,45.1331919982605,47,12,0
1978,68.58581213307241,44.01183953033268,48,8,0
1979,67.49574363992171,44.28556751467709,15,0,0
1980,69.75391946396047,45.2636612021858,71,28,3
1981,69.06839530332682,45.098091976516635,26,0,0
1982,69.47387475538163,46.425538160469664,20,0,0
1983,68.8552511415525,45.71836268754078,61,26,3
1984,69.4707357533177,45.818501170960175,22,0,0
1985,69.35445205479454,46.29350945857796,36,4,0
1986,70.82739726027397,47.34729288975866,48,11,0
1987,70.91296477495108,46.50885518590999,47,5,0
1988,69.89030379911529,43.91017759562841,61,26,6
1989,67.73850293542074,44.69197651663406,21,0,0
1990,71.81629158512719,46.7123994346597,50,19,5
1991,70.84391171993909,47.79379756468799,43,8,0
1992,68.51825288403155,45.95358986035215,14,0,0
1993,68.88885083713853,45.4992389649924,53,19,0
1994,69.30889867362474,46.322249402043916,19,0,0
1995,69.57648401826488,45.92971841704716,46,10,0
1996,68.10946851418161,45.085003035822695,24,0,0
1997,68.18039791258967,44.53034898891065,31,2,0
1998,71.62823874755377,48.56856925418571,52,3,0
1999,72.1683866057839,46.860655577299426,56,20,2
2000,70.19097394712152,46.57814483634155,45,7,0
2001,70.18731921046987,46.86370483755657,22,0,0
2002,69.87624938927934,47.93696702369781,51,5,0
2003,68.31000100563395,46.79437844155832,18,0,0
2004,69.43204569336119,48.074855727930135,8,0,0
2005,70.37636849981521,47.781160997443884,44,8,0
2006,70.82573415536498,47.512452339306755,43,9,0
2007,72.71663106132982,48.12375422905177,69,27,11
2008,69.30672110817717,45.864380343301626,32,3,0
2009,68.12273760594869,46.411087704115666,17,0,0
2010,69.7682109064814,46.358057761917536,71,18,1
2011,70.21143839891019,47.62467082618016,61,14,1
2012,72.57505821509649,48.397996267018016,49,15,8
2013,67.91297120243895,46.346174133241334,17,0,0
2014,67.89220469188741,45.21456854048781,26,0,0
2015,69.91194285756508,47.57860693599061,29,0,0
2016,71.67717158363504,48.59882510328891,52,0,0
2017,71.41253917535637,49.322954129916134,22,2,0
2018,69.90248771208906,48.97550657893975,54,2,0
