years,TMAX,TMIN,t90,t95,t100
1947,46.821581065662386,30.81320011453825,0,0,0
1948,61.40276733358143,42.64167064080672,9,4,0
1949,64.48855320102841,45.420937060280465,20,8,0
1950,60.9023596360238,43.01186306884435,5,0,0
1951,62.46272278686112,44.21930322758419,1,0,0
1952,62.63431363809965,44.782412309651704,12,1,0
1953,64.28939979780127,45.60524104835361,17,9,0
1954,62.54349499189865,44.02455976579759,10,2,0
1955,62.32383708940934,44.432072101929585,22,9,0
1956,60.8997011137147,43.71256959133909,6,1,0
1957,62.79708987049864,44.657838962912315,11,3,1
1958,59.404651265049914,42.95672221065291,3,0,0
1959,62.71222326082465,45.098780576559065,13,0,0
1960,61.17756262357355,43.6115303660112,0,0,0
1961,61.63068527442377,44.10797494643532,10,0,0
1962,60.76574375078964,42.272837403216194,6,0,0
1963,61.496759561066305,42.23605869294497,12,5,0
1964,62.53927640625791,43.31811072233383,10,1,0
1965,61.73633187003582,43.202514632280554,6,0,0
1966,62.040123558395166,43.67913325031134,19,5,1
1967,60.48274627496784,42.853732509301324,1,0,0
1968,61.54769838441436,43.57407286128777,11,2,0
1969,61.19982971465701,44.2560264561283,9,0,0
1970,61.2455886796899,44.29302106690435,7,0,0
1971,61.88366498857507,44.84629157164057,8,0,0
1972,60.67562675168345,43.6632239177232,6,0,0
1973,63.446269607501904,46.01325671846517,15,2,0
1974,62.26015242529949,44.265970805648585,7,0,0
1975,62.36092184071636,45.30678935141742,5,2,0
1976,61.267148645090565,42.96003124874651,2,0,0
1977,61.33440604462046,43.585886118051114,9,2,0
1978,60.11500186921114,42.318571502351126,2,1,0
1979,61.04830019509763,43.805086083193956,3,0,0
1980,61.568175338560216,43.2864052396483,19,2,0
1981,61.40153999727599,43.38183969317416,7,1,0
1982,61.46754471456674,43.4826580732518,6,2,0
1983,62.66717624280708,44.784500812013405,26,3,0
1984,61.701056945642804,44.2469383842119,6,0,0
1985,62.30001098637001,44.5660261384054,4,0,0
1986,62.142980833153885,44.18066214727356,5,1,0
1987,62.13244125935609,44.240183333014436,15,0,0
1988,61.83689540245132,43.509671760883435,23,3,0
1989,60.72205970690439,43.382318213640104,8,0,0
1990,64.1075178289905,45.55539793045701,3,0,0
1991,64.4530540493852,45.82641432619395,17,3,0
1992,60.59731810993063,43.46964432006494,3,0,0
1993,61.94565569332394,43.86407649626531,15,3,0
1994,61.97416758782213,43.45606551439432,8,0,0
1995,62.15864466067979,44.34555380057705,15,1,0
1996,60.499387898669795,43.507193012697336,2,0,0
1997,61.79462982055192,43.817925315638185,10,1,0
1998,64.3716127358844,47.272036374981035,5,0,0
1999,63.882711441823986,45.84599873920005,20,4,0
2000,61.08778654326586,44.00345025707637,4,0,0
2001,63.625898359928705,45.45535363762701,10,4,1
2002,63.88155539913732,46.13200536033354,26,4,0
2003,60.527529998094025,44.285719586349735,7,0,0
2004,61.620517415241665,45.38150854441231,1,0,0
2005,62.869325900616104,45.981018794482004,20,3,0
2006,64.48133509364948,47.34938164215022,11,5,0
2007,62.72629072681703,45.59722104078352,9,0,0
2008,62.910817280128356,45.46232504074392,8,2,0
2009,61.35577720994675,45.11272618997132,6,0,0
2010,64.20478481322834,47.43344270560902,31,5,2
2011,63.935529010210224,47.48523856815015,17,3,1
2012,64.76616442394526,48.35560628833293,20,3,0
2013,62.14739136434339,45.82489901650858,12,2,0
2014,61.27501969491695,44.44757514175323,3,0,0
2015,63.70149279943799,45.83671533945505,16,0,0
2016,64.587040373106,46.9251286054565,19,3,0
2017,63.11238674567442,46.61394892778453,8,1,0
2018,62.247114255607485,46.41251355949986,15,2,0
