years,TMAX,TMIN,t90,t95,t100
1947,59.47627931769723,41.52771855010661,0,0,0
1948,65.35346192210949,46.57607988550612,2,0,0
1949,65.90023730455243,46.87842811678428,4,2,0
1950,67.13631243946313,48.09826968313269,7,2,0
1951,65.1684931506849,47.78293067662934,3,0,0
1952,65.59219241596287,47.63071286636856,3,0,0
1953,66.8980337622804,48.16373322263733,4,1,0
1954,66.22767123287674,47.63646326276465,4,0,0
1955,65.46647156496466,46.316849315068445,2,0,0
1956,66.24772313296901,47.17023513826788,2,0,0
1957,66.6407361284073,49.04680642036799,4,0,0
1958,68.76631797426315,49.86337346063373,3,0,0
1959,68.97273557492731,48.70159402241593,1,0,0
1960,65.883745239278,47.84184605619035,1,1,0
1961,66.17357686453578,47.99601217656011,7,0,0
1962,65.20100456621005,47.75190258751903,0,0,0
1963,65.21351598173516,48.39884322678845,0,0,0
1964,65.22112932604738,47.85476624165148,1,0,0
1965,64.60015220700151,47.98980213089803,0,0,0
1966,66.01593607305935,48.66803652968035,4,0,0
1967,65.78745053272448,48.49609589041097,0,0,0
1968,66.10809184743614,48.39192471159682,1,0,0
1969,65.92099072920989,48.36046215580461,0,0,0
1970,66.23011761450114,48.84585028365851,3,0,0
1971,65.10884184308843,47.600174346201754,4,3,1
1972,65.20253353204173,48.58224043715845,2,1,0
1973,65.68215026982152,48.941380932613825,5,0,0
1974,65.00008302200081,48.66447765324479,0,0,0
1975,63.88270928462708,47.99257229832572,1,0,0
1976,66.61463266545238,48.785913782635106,9,2,0
1977,65.5752207001522,49.4898782343988,1,0,0
1978,66.42316590563166,50.28651445966514,4,0,0
1979,66.25863013698634,50.849436834094384,2,2,0
1980,66.12125075895564,50.270636004857316,4,2,0
1981,66.68461622091758,50.72279843444227,3,0,0
1982,64.44783105022827,49.70965427266795,0,0,0
1983,66.73781800391384,51.94730919765172,3,1,0
1984,66.92550307919157,50.32624793997743,3,0,0
1985,65.6292781039357,49.366992824527074,3,1,0
1986,66.41843879104155,51.30125570776256,0,0,0
1987,66.69107958251793,51.162214611872166,3,1,0
1988,66.65955958886286,50.915381863127756,1,1,0
1989,65.88348336594912,49.96852250489236,3,0,0
1990,65.9899380300065,50.70268101761258,0,0,0
1991,64.98319634703198,50.565296803652956,0,0,0
1992,67.14545277127242,52.630457975539976,1,0,0
1993,66.59598173515981,51.52930202217875,6,3,0
1994,64.45724317539394,49.71974618988315,1,0,0
1995,66.07362885212203,50.90985372314142,5,0,0
1996,66.74822404371581,51.50938138212728,3,1,0
1997,67.4354870624049,51.4899391171994,3,0,0
1998,64.7571398920714,50.88944098519444,3,0,0
1999,64.69853327798536,49.203237858032374,1,0,0
2000,65.47742865816635,50.294923276480695,3,1,1
2001,66.07029887920301,49.91339144873388,4,0,0
2002,66.06909506019095,49.52461602324613,3,0,0
2003,66.76115815691162,50.55534246575343,7,2,0
2004,66.50193582980471,50.58719385502172,3,0,0
2005,66.0400062266501,50.71278607997792,0,0,0
2006,65.9515781098658,49.83170679396707,3,0,0
2007,66.12070568700707,48.97171440431715,0,0,0
2008,68.45229411602354,51.33843972512006,6,3,0
2009,65.89049516693353,49.61990907114191,3,0,0
2010,64.64905770029053,49.491349107513514,5,1,0
2011,64.49746782897465,48.98208385222084,0,0,0
2012,65.49898575923169,49.258569299552875,2,0,0
2013,66.83480005534803,49.4276809187768,0,0,0
2014,68.56997509339983,52.426334578663344,2,0,0
2015,68.12347031963469,51.7704234122042,6,0,0
2016,67.00538927526632,51.36478238670861,2,1,0
2017,67.68206655597066,51.194223744292195,4,3,2
2018,66.54313961533144,50.09268714542689,0,0,0
