years,TMAX,TMIN,t90,t95,t100
1947,57.201492537313435,34.41119402985074,0,0,0
1948,72.056362217018,47.992714025500895,83,30,3
1949,71.51459556425309,48.39202544031311,59,15,1
1950,72.28604044357472,47.95815394651011,30,3,0
1951,72.62478256142641,48.42050989345511,76,39,17
1952,74.10071765666028,49.587475949975975,100,55,11
1953,74.15515151515149,50.339095060190914,93,45,18
1954,76.82463262764634,51.09181126331809,109,84,44
1955,73.56111526221108,49.193748443337455,81,35,0
1956,75.46591875034497,49.986665838714984,116,73,28
1957,70.49429223744292,49.39086757990863,65,43,6
1958,70.82469558599693,49.06051315503372,75,30,1
1959,71.46084474885852,48.31354642313546,58,11,0
1960,70.52531117182752,48.31690736403856,61,19,0
1961,70.91046423135464,48.050761035007596,50,14,0
1962,72.61362252663623,49.13799739073711,66,35,13
1963,74.39152414556527,49.29433167289333,94,55,13
1964,73.10052436937681,49.10094179499916,77,41,20
1965,73.4720700152207,50.24893455098941,76,35,10
1966,71.80121765601216,47.977891933028914,54,35,8
1967,72.38290715372906,48.951506849315045,44,16,4
1968,70.13315877352757,47.94008044930176,51,14,3
1969,70.7443226788433,48.704901065448986,67,34,9
1970,71.72750380517502,48.48405631659056,77,45,15
1971,71.89078386605786,48.6058447488584,64,23,5
1972,71.85115252840662,48.45335675253706,76,33,3
1973,70.48513263752989,49.128484453142015,53,10,0
1974,72.3581430745814,48.93123505109809,62,32,5
1975,70.75429223744295,48.11417155903451,41,9,0
1976,72.53096539162112,46.83060109289615,60,29,5
1977,73.89200913242006,50.10566210045662,86,38,5
1978,71.15260273972598,47.9503196347032,82,54,14
1979,70.04972602739721,46.543150684931504,61,10,0
1980,74.51848816029148,48.633515482695806,108,83,44
1981,73.3429680365297,49.59255707762559,66,31,8
1982,71.86767123287669,48.55634703196349,71,33,4
1983,69.75899543378998,48.148767123287676,71,44,13
1984,72.64394353369767,48.95605646630238,88,41,9
1985,70.86465753424659,48.25150684931506,74,40,5
1986,73.02986301369863,51.21684931506851,66,32,11
1987,71.94904109589046,49.68059360730594,59,22,0
1988,72.70969945355186,49.072267759562855,73,46,8
1989,70.66287671232875,48.372054794520565,43,9,0
1990,73.66178082191777,51.10858447488584,82,42,6
1991,72.49931506849319,51.00753424657534,69,22,1
1992,71.54567395264121,50.1735883424408,35,2,0
1993,70.23465753424652,48.89557077625573,59,31,17
1994,72.80972602739728,49.55123287671238,70,34,5
1995,72.20369863013707,49.35191780821917,68,33,7
1996,71.99644808743165,48.37254098360653,52,17,8
1997,70.98858447488585,48.94511415525116,61,25,0
1998,73.96778864970649,51.78100456621007,104,77,37
1999,73.43057729941292,49.95097847358121,64,36,11
2000,71.64417447306792,49.118787405672634,74,47,23
2001,72.05207110241358,50.00905088062622,62,43,11
2002,70.38560013046316,48.44342791911284,49,17,0
2003,71.69853228962818,48.14486301369863,64,41,18
2004,71.10016588602655,49.32864949258392,33,6,0
2005,72.58238747553816,49.30978473581214,72,15,1
2006,75.49628180039136,50.03339856490542,97,50,25
2007,70.98533594259627,50.32905414220483,34,11,2
2008,72.21677075201664,48.22184491282856,58,19,6
2009,71.08139121152824,48.402511415525126,56,24,11
2010,71.6561519302615,49.74649647156497,74,28,12
2011,75.12117891241185,49.81059775840601,104,84,64
2012,75.43649610862722,51.65538582546781,84,55,29
2013,70.2809256953093,47.85261519302614,61,17,2
2014,71.16797426317973,47.9117559153176,63,26,1
2015,72.0786799501868,50.263138231631416,63,12,0
2016,74.25027322404374,51.38586686537505,80,23,1
2017,73.7382648401827,50.81598173515985,57,20,3
2018,71.59245053272446,49.233089802130934,70,19,3
