years,TMAX,TMIN,t90,t95,t100
1947,77.05223880597015,57.38805970149254,0,0,0
1948,84.65437158469945,63.532786885245905,105,12,0
1949,84.17305936073056,62.87214611872141,89,6,0
1950,83.40730593607309,61.11278538812785,108,15,0
1951,82.50136986301365,61.38356164383567,103,5,0
1952,82.26935336976321,61.43306010928962,102,13,0
1953,82.48515981735159,62.97009132420091,87,11,0
1954,81.84908675799088,61.66301369863014,75,7,0
1955,82.5068493150685,61.60022831050228,97,0,0
1956,82.64025500910746,60.93693078324225,91,11,0
1957,82.68127853881279,63.15182648401826,70,1,0
1958,80.52739726027396,61.32625570776254,99,5,0
1959,81.25022831050234,63.120547945205416,47,1,0
1960,80.85701275045535,61.565573770491774,67,0,0
1961,82.43926940639268,62.028310502283105,87,6,0
1962,81.9150684931507,61.51324200913247,102,9,0
1963,81.3269406392694,61.32602739726033,95,7,0
1964,81.98907103825131,61.8629326047359,85,3,0
1965,81.6027397260274,62.47945205479452,51,0,0
1966,80.1945205479452,61.986301369863014,41,0,0
1967,82.88493150684931,62.510958904109586,69,4,0
1968,80.17622950819673,59.97950819672131,54,1,0
1969,80.69041095890411,61.88219178082192,69,8,0
1970,81.45068493150686,61.704109589041096,78,2,0
1971,84.53698630136986,64.01917808219179,118,0,0
1972,83.74043715846994,64.90710382513662,73,11,0
1973,83.10958904109589,63.64383561643836,89,8,0
1974,83.45479452054795,62.8986301369863,83,0,0
1975,84.17260273972603,62.61643835616438,102,0,0
1976,82.44262295081967,60.71857923497268,73,1,0
1977,81.99178082191781,60.69315068493151,85,9,0
1978,83.46027397260274,62.54794520547945,103,5,0
1979,82.48219178082192,61.5027397260274,82,5,0
1980,83.01092896174863,60.90710382513661,111,13,0
1981,83.2931506849315,59.93424657534246,114,16,0
1982,83.83561643835617,63.706849315068496,77,0,0
1983,81.1945205479452,61.85479452054795,65,1,0
1984,81.38524590163935,61.14754098360656,46,0,0
1985,82.67945205479452,62.54246575342466,83,8,0
1986,83.67123287671232,63.87945205479452,112,7,0
1987,82.47671232876712,62.704109589041096,102,28,0
1988,82.03005464480874,62.322404371584696,77,6,0
1989,83.79452054794521,63.10958904109589,124,8,0
1990,85.0,64.72328767123288,110,10,0
1991,83.33150684931506,64.76986301369863,91,3,0
1992,82.25409836065573,63.131147540983605,86,11,0
1993,82.20547945205479,62.54246575342466,88,10,0
1994,82.76164383561644,64.40547945205479,60,1,0
1995,82.1041095890411,63.342465753424655,87,4,0
1996,82.31693989071039,61.96994535519126,95,5,0
1997,82.72328767123288,62.895890410958906,87,2,0
1998,83.66438356164383,64.3054794520548,98,34,3
1999,82.93698630136986,63.227397260273975,83,5,0
2000,83.19672131147541,62.185792349726775,106,21,0
2001,82.30684931506849,63.224657534246575,86,0,0
2002,82.4958904109589,63.69041095890411,77,3,0
2003,82.22739726027397,63.68493150684932,74,1,0
2004,82.41666666666667,63.37568306010929,89,7,0
2005,81.81369863013698,63.78082191780822,86,7,0
2006,83.62191780821918,63.56575342465754,110,5,0
2007,83.52191780821917,64.3972602739726,101,16,0
2008,82.5327868852459,63.35792349726776,81,2,0
2009,83.12602739726027,63.35890410958904,104,8,0
2010,80.67945205479452,61.01917808219178,95,16,0
2011,83.90410958904111,63.48127853881281,115,17,0
2012,83.7909836065574,63.76548269581057,85,3,0
2013,83.56803652968036,63.78995433789956,88,1,0
2014,82.89726027397265,62.804566210045685,110,14,0
2015,84.7150684931507,66.23333333333333,106,11,0
2016,84.09972677595628,65.19535519125684,108,15,0
2017,84.72922374429224,64.67945205479451,117,8,0
2018,83.95022831050233,64.09315068493157,110,2,0
