years,TMAX,TMIN,t90,t95,t100
1947,68.85834563446502,37.797796730632555,1,0,0
1948,85.8192687208056,51.90466972690338,170,144,95
1949,84.86607664070199,52.866047766138394,163,127,91
1950,87.81678188218339,53.11930842416272,181,137,80
1951,84.81588645263443,53.04102935286104,157,123,92
1952,84.65488660544273,55.68647772429845,177,151,98
1953,85.99570280287075,52.15643217128235,152,121,96
1954,87.40330838175214,54.61741639217572,185,143,77
1955,84.79731548733622,52.32293877748605,156,127,67
1956,86.60725347895328,52.81413696312317,166,139,105
1957,84.6058265526831,55.482723329702374,142,124,85
1958,86.57537061832669,55.86222801650426,163,138,110
1959,86.36943390574207,55.39261796042618,168,124,83
1960,86.03945364944076,53.90102094323403,162,136,110
1961,85.71696219585908,54.02238823501263,165,128,77
1962,86.22202263649996,54.191862876369015,159,130,98
1963,86.02672136963413,54.25826838786461,168,134,85
1964,83.35654784527496,52.599950055397954,152,125,64
1965,83.84166593930817,53.82802086365409,157,124,70
1966,85.79292605736009,54.5276060637272,167,133,94
1967,85.39457010105167,54.27183609709205,157,121,83
1968,85.2243272786058,53.724783462661215,156,124,86
1969,85.3608850153856,54.85485415459144,153,135,108
1970,85.33376492029164,53.996993145972645,145,116,90
1971,84.79087026591456,52.62961724415795,156,108,83
1972,86.36733090561506,54.37259930335856,181,132,84
1973,85.28695342135892,53.595320489647456,171,146,102
1974,85.75734702051939,54.444477060230476,167,127,91
1975,84.71294917390178,52.7331781979795,155,130,96
1976,85.48122386621218,54.84270624125408,150,124,79
1977,86.663228962818,56.385787191588975,162,127,96
1978,85.37479439510265,56.55665412213358,162,146,108
1979,85.47679098298961,54.63359175071502,173,129,96
1980,86.62652550091074,56.088627049180374,157,137,100
1981,87.63359074715235,57.82989412414072,166,132,95
1982,84.08391677956742,56.11198567414323,154,112,79
1983,84.76879007978326,56.65173942495867,140,122,99
1984,85.79554634800533,56.44670930162737,158,137,101
1985,85.81139955934485,56.41923888896494,169,129,93
1986,87.01073751210741,58.11983118859828,157,127,93
1987,85.89233706932328,57.43121627231214,178,147,98
1988,86.94400563007122,57.85009245460063,181,144,104
1989,88.75980628199804,58.03372353673716,186,162,124
1990,86.14459111664591,57.58707070707072,172,126,80
1991,85.80236059222364,57.251996679119976,165,141,92
1992,85.79431197218085,57.848062593144604,182,143,95
1993,85.93633872976338,57.24883354088831,161,137,106
1994,86.93012591670127,57.35049951570499,158,136,111
1995,87.62148886121484,57.89670402656703,160,129,102
1996,88.31250137991944,58.75452061599606,175,150,107
1997,86.72822026527511,58.87866166557948,182,145,105
1998,84.25125224851251,56.825477376504715,151,113,87
1999,87.00450117614503,57.42514528850147,171,139,84
2000,86.58520184278385,59.05598658324068,171,147,111
2001,86.40786356717871,59.17680365296802,179,153,119
2002,86.3145772036183,58.40298742353541,166,128,104
2003,86.03801495308348,59.706588388780176,163,145,99
2004,84.92134436601654,59.18858759637447,170,132,88
2005,85.55729019838613,59.48437954739328,158,131,91
2006,86.11289532385429,58.76562820740902,156,131,91
2007,86.14601334738325,59.73633352948428,176,129,87
2008,85.20014234399474,58.92287630402386,164,129,83
2009,86.34179838426411,59.433614330874626,160,136,96
2010,84.94284345791196,58.81571328215163,153,127,97
2011,85.55335303965447,58.152576966412596,165,135,94
2012,87.17816154701406,59.40753645261843,177,140,99
2013,85.68126389592138,58.97856841788346,157,123,94
2014,86.592173154091,60.26465338314652,156,121,89
2015,86.070498132005,60.73026151930264,156,125,96
2016,87.33753035822713,61.0105984710493,165,130,86
2017,87.89282106782112,61.15385775563858,177,135,103
2018,86.17583437110827,60.498585858585884,161,139,100
