years,TMAX,TMIN,t90,t95,t100
1947,53.9365671641791,34.69402985074627,0,0,0
1948,68.5928961748634,47.692850637522774,29,6,0
1949,70.05570776255706,49.06210045662101,26,7,0
1950,68.37077625570775,47.139269406392714,23,2,0
1951,69.1849315068493,47.55981735159818,33,5,0
1952,69.40983606557381,48.08834244080148,41,13,4
1953,71.43333333333335,48.17945205479454,48,20,5
1954,71.01050228310503,46.19132420091325,53,23,7
1955,69.23424657534247,46.38493150684931,31,9,0
1956,69.18989071038251,46.84426229508197,40,3,0
1957,69.2958904109589,47.25616438356165,46,10,0
1958,66.44246575342466,45.88082191780822,35,1,0
1959,69.8027397260274,46.70958904109589,33,6,0
1960,67.27049180327869,44.51912568306011,16,0,0
1961,67.96438356164384,45.367123287671234,33,0,0
1962,66.95205479452055,44.61369863013699,16,1,0
1963,67.67260273972603,43.397260273972606,28,3,0
1964,68.04781420765028,44.452185792349724,15,0,0
1965,67.61780821917809,44.484931506849314,22,0,0
1966,66.41643835616438,43.295890410958904,26,5,0
1967,67.61917808219178,43.054794520547944,13,0,0
1968,69.35792349726776,45.122950819672134,38,7,0
1969,66.46849315068494,44.605479452054794,15,2,0
1970,69.71643835616439,46.57260273972603,51,3,0
1971,68.16301369863014,47.1013698630137,4,0,0
1972,66.99043715846994,46.736338797814206,9,0,0
1973,69.48630136986301,47.57945205479452,22,0,0
1974,69.31369863013698,46.61780821917808,13,2,0
1975,68.93287671232876,47.108219178082194,16,1,0
1976,69.40437158469945,44.63661202185792,35,3,0
1977,69.55205479452054,46.42739726027397,50,17,3
1978,67.5958904109589,45.43013698630137,24,3,0
1979,67.76986301369863,46.17123287671233,10,1,0
1980,68.39617486338798,46.35109289617486,48,20,1
1981,67.42465753424658,45.36986301369863,25,2,0
1982,68.25342465753425,46.76438356164383,10,0,0
1983,68.26575342465753,45.96027397260274,53,24,3
1984,68.71311475409836,46.439890710382514,31,4,0
1985,69.72465753424657,47.50958904109589,35,4,0
1986,69.02191780821917,47.33561643835616,39,9,0
1987,69.0041095890411,46.35890410958904,45,17,1
1988,68.23087431693989,45.047814207650276,49,13,1
1989,67.23835616438356,46.59315068493151,17,1,0
1990,71.62328767123287,48.90684931506849,33,6,1
1991,70.7027397260274,48.61369863013699,44,13,0
1992,67.21311475409836,46.635245901639344,14,2,0
1993,68.5068493150685,47.224657534246575,43,10,0
1994,68.86849315068493,47.03150684931507,25,2,0
1995,67.84794520547945,46.66027397260274,33,1,0
1996,65.89116575591991,45.5264116575592,9,0,0
1997,67.52465753424653,45.64429223744293,27,5,0
1998,69.94109589041095,48.69452054794522,30,7,0
1999,69.33926940639267,46.89680365296803,34,12,0
2000,67.2431693989071,45.667122040072876,13,0,0
2001,69.35114155251144,46.516438356164414,15,2,0
2002,70.22853881278539,47.69315068493151,58,26,1
2003,66.65365296803654,46.62785388127853,15,0,0
2004,67.8356102003643,47.967213114754095,4,0,0
2005,68.87442922374429,47.44885844748859,37,6,0
2006,70.36461187214611,47.89406392694064,39,9,0
2007,70.49954337899544,47.91415525114156,39,10,1
2008,69.77322404371584,47.80191256830601,38,7,0
2009,68.07534246575342,47.50707762557078,20,5,0
2010,70.02785388127852,47.834931506849315,69,28,5
2011,70.2002283105023,48.8134703196347,39,7,0
2012,71.0002276867031,48.974954462659376,36,14,2
2013,67.62739726027397,47.46849315068493,15,0,0
2014,67.95479452054795,46.26849315068493,22,5,0
2015,69.02648401826484,48.02214611872146,23,1,0
2016,69.33970856102003,48.672358834244065,34,5,0
2017,70.34611872146121,49.200913242009136,25,6,0
2018,69.07214611872143,49.021917808219186,31,2,0
