years,TMAX,TMIN,t90,t95,t100
1947,69.65298507462687,39.52238805970149,0,0,0
1948,77.67873406193078,45.46293260473585,78,31,12
1949,76.58010437051531,47.127449445531624,84,39,8
1950,78.34063926940635,48.05883887801695,69,26,13
1951,77.0577136333986,48.11432376603608,75,41,10
1952,76.93999913262208,47.90175318761383,93,62,9
1953,78.9605838225701,47.093792128723635,84,50,13
1954,78.74771689497712,48.1515220700152,73,41,13
1955,77.77446183953036,47.669901065449025,86,47,20
1956,79.5073770491803,47.62464329083183,94,54,11
1957,77.90840073929111,49.953847575559905,93,55,26
1958,80.25441400304409,50.53272450532721,108,54,19
1959,80.94575451185038,50.79088932376604,98,61,21
1960,79.98049483910147,49.12702749587992,115,64,26
1961,79.71103065883891,48.99345075016306,99,60,13
1962,78.8770471841704,47.209604261796024,101,61,16
1963,78.13835616438358,48.55200152207004,77,39,14
1964,77.82862780813598,47.43931390406797,95,52,12
1965,77.38724505327251,48.27062404870626,94,41,9
1966,79.46278538812784,49.09882039573823,102,53,10
1967,78.91366818873668,49.655022831050225,107,57,22
1968,79.30470552519726,49.17832422586524,90,51,14
1969,77.70521308980219,49.679870624048775,82,52,22
1970,79.30474885844752,48.79931506849317,108,68,19
1971,78.52857142857145,48.37446183953033,104,69,34
1972,79.65094002081706,49.43566224303928,84,51,21
1973,77.66617742987607,48.47873776908023,76,44,19
1974,79.23069797782122,49.698003913894304,93,58,12
1975,78.18876712328766,48.78602739726025,84,40,14
1976,80.39149102263853,50.26096799375493,87,40,17
1977,80.63372472276579,50.37555120678409,92,48,16
1978,79.30139595564255,50.39872146118719,103,68,19
1979,79.6734637964775,49.56260926288327,95,72,30
1980,80.21947046578198,50.50676554774915,90,48,24
1981,80.9476581865623,51.57861709067187,108,66,18
1982,76.42494455316371,49.76486627527725,69,42,19
1983,77.9986953685584,51.84748858447491,82,52,22
1984,81.22781680978397,52.04381993234453,117,79,28
1985,79.28762557077624,50.38100456621008,92,50,23
1986,80.1645662100457,50.806255707762546,86,45,10
1987,78.5706849315069,50.84520547945206,75,38,9
1988,80.30528233151188,50.77217668488158,94,48,14
1989,80.24310502283106,50.460776255707756,97,51,17
1990,80.01315068493156,51.41794520547943,100,65,30
1991,79.26890410958903,50.93013698630133,89,44,11
1992,79.54913479052827,52.891894353369715,95,53,21
1993,78.96570776255705,52.173196347031954,76,41,14
1994,79.56315068493147,50.98675799086758,101,55,26
1995,80.38726027397264,52.03397260273974,108,65,30
1996,81.15837887067396,52.075136612021836,107,71,31
1997,80.88369863013699,52.80159817351598,103,58,16
1998,77.04566536203522,50.67956294846706,74,41,26
1999,79.37369536855837,49.61717221135029,97,40,13
2000,80.14950234192038,51.056472807702306,96,52,24
2001,78.76413449564136,50.63795143212953,93,52,15
2002,79.61389916780323,50.00547273122614,88,46,15
2003,80.45495018679952,51.561048844610475,115,69,25
2004,79.52510891506792,51.199519886610055,95,47,18
2005,79.09763970428355,51.71683953033268,89,52,14
2006,80.8064753207219,51.41496194824966,106,66,35
2007,80.28201021961294,51.431773211567794,103,48,16
2008,80.79775565964096,52.26387370977537,124,66,17
2009,80.36545009784739,51.7735279408567,106,53,25
2010,78.12181996086107,51.00499021526419,72,36,18
2011,78.92450532724507,50.68352359208528,91,43,18
2012,81.19633099141295,52.545960187353636,111,58,29
2013,80.19015003261573,52.143118069145416,83,44,17
2014,82.01030658838879,54.73953033268104,105,53,9
2015,81.47866927592956,54.6253750815394,99,49,15
2016,81.42017304189437,53.870901639344275,110,55,27
2017,81.86767123287676,54.540821917808216,119,70,25
2018,81.12520547945202,54.223287671232875,95,51,18
