years,TMAX,TMIN,t90,t95,t100
1947,58.77363184079602,37.79726368159204,0,0,0
1948,72.11543715846994,45.33538251366121,58,27,9
1949,72.98529680365296,46.96146118721462,57,27,9
1950,74.32785388127854,49.1945205479452,71,43,23
1951,73.28374429223743,47.96977168949775,60,27,10
1952,73.22559198542803,48.30218579234975,78,41,5
1953,73.75004566210045,48.19369863013698,64,34,11
1954,72.37616438356164,48.07817351598173,55,19,10
1955,73.14059360730596,47.251324200913245,66,37,13
1956,73.31571038251363,47.72800546448087,52,21,6
1957,72.5501369863014,49.33424657534247,63,31,10
1958,75.03904109589041,51.228767123287675,78,40,9
1959,75.80602739726025,49.427945205479496,66,30,11
1960,74.08524590163928,49.330054644808705,70,44,16
1961,73.06972602739721,48.08136986301366,79,41,20
1962,72.11931506849312,47.5127397260274,62,23,5
1963,70.36260273972609,48.1768493150685,52,22,3
1964,72.86612021857918,47.60819672131154,59,23,6
1965,71.52821917808222,47.929315068493175,46,14,1
1966,74.42328767123281,49.077123287671185,66,35,17
1967,73.34726027397261,48.51671232876707,87,47,14
1968,73.37540983606561,48.817759562841516,65,28,6
1969,73.86438356164389,49.01589041095888,81,44,16
1970,74.61369863013698,49.545342465753485,79,45,14
1971,72.39086757990871,46.53424657534248,69,30,9
1972,72.47176684881605,48.09016393442621,63,33,12
1973,73.37579908675801,49.45251141552511,68,36,13
1974,73.99634703196344,48.57945205479452,78,35,5
1975,73.77260273972603,49.721917808219175,82,41,14
1976,76.71174863387978,50.58743169398907,68,38,19
1977,73.48630136986301,49.224657534246575,57,31,13
1978,73.33150684931506,49.941095890410956,59,30,11
1979,74.27123287671233,49.95068493150685,73,38,16
1980,73.40710382513662,49.24726775956284,52,30,12
1981,75.1109589041096,51.06438356164384,75,39,16
1982,70.8986301369863,48.61506849315069,44,18,0
1983,73.15068493150685,51.71780821917808,61,33,16
1984,75.56830601092896,50.545081967213115,92,59,22
1985,73.35068493150685,48.1972602739726,73,44,21
1986,75.45068493150686,50.19315068493151,76,35,14
1987,75.36575342465754,49.445205479452056,78,49,19
1988,76.7431693989071,49.71311475409836,86,60,33
1989,74.40821917808219,48.47534246575343,71,32,8
1990,76.25342465753425,49.293150684931504,80,46,18
1991,75.67397260273972,49.55205479452055,85,47,13
1992,75.76229508196721,51.16803278688525,90,44,11
1993,74.05342465753425,50.16301369863014,67,28,9
1994,74.52191780821917,49.108219178082194,74,33,9
1995,75.04931506849314,51.60958904109589,62,31,12
1996,76.65163934426229,51.923497267759565,94,61,31
1997,77.0986301369863,51.965753424657535,88,40,12
1998,72.24794520547945,49.9420091324201,54,38,21
1999,73.65707762557078,47.451598173515976,59,21,7
2000,74.00546448087437,49.08469945355191,72,39,12
2001,75.65205479452054,49.757077625570766,83,47,13
2002,75.18721461187212,48.31780821917807,80,42,16
2003,74.96803652968032,50.05844748858445,83,47,17
2004,74.76593806921673,50.111111111111114,74,34,7
2005,74.50228310502284,50.01095890410958,67,43,16
2006,74.00547945205477,49.33881278538812,74,37,13
2007,75.18721461187215,48.452968036529654,66,30,11
2008,75.0127504553734,48.48224043715845,84,39,15
2009,74.75890410958907,48.56803652968036,78,43,19
2010,72.86849315068491,49.30867579908678,58,25,8
2011,72.94155251141555,48.15342465753426,64,33,5
2012,75.73178506375227,49.24772313296902,95,47,11
2013,76.5844748858447,48.18082191780822,69,34,13
2014,77.90228310502296,51.477625570776276,89,46,13
2015,77.16894977168951,50.63926940639269,88,42,17
2016,75.88615664845176,50.34244080145717,80,41,18
2017,75.82191780821925,50.75068493150684,89,47,27
2018,75.8762557077626,49.05662100456621,78,46,13
