years,TMAX,TMIN,t90,t95,t100
1947,31.940298507462693,18.2636815920398,0,0,0
1948,55.78278688524591,36.192167577413485,23,6,0
1949,56.46666666666666,37.047488584474905,29,9,0
1950,51.56438356164382,32.98264840182647,9,2,0
1951,50.61643835616447,33.8945205479452,1,0,0
1952,55.14025500910746,36.80282331511838,13,0,0
1953,56.40365296803654,37.85525114155251,13,1,0
1954,54.771232876712325,37.86164383561644,5,0,0
1955,55.21917808219178,36.16438356164384,28,10,2
1956,54.53324225865209,36.08151183970855,8,4,1
1957,54.53013698630137,36.51917808219178,7,0,0
1958,55.453744292237445,36.018675799086736,5,0,0
1959,55.08904109589042,35.384474885844746,14,0,0
1960,54.40869763205824,34.3558743169399,12,1,0
1961,55.337671232876744,35.465342465753444,9,1,0
1962,54.15593607305935,33.89063926940639,1,0,0
1963,56.13178082191784,35.12863013698632,9,1,0
1964,56.4846994535519,35.646721311475424,27,5,0
1965,52.24136986301369,33.84561643835614,5,0,0
1966,53.56794520547949,33.56328767123286,11,0,0
1967,53.383013698630194,33.59616438356164,0,0,0
1968,55.06106557377048,35.85027322404369,6,0,0
1969,54.115068493150694,34.81904109589042,8,0,0
1970,53.817534246575335,34.34986301369865,11,0,0
1971,53.901095890410964,34.669452054794505,4,0,0
1972,51.30874316939896,32.615300546448076,6,0,0
1973,55.67506849315067,37.69972602739726,7,0,0
1974,54.648219178082215,34.98520547945205,7,3,0
1975,54.1197260273973,35.417123287671245,9,1,0
1976,56.05846994535518,34.07213114754101,17,4,0
1977,55.260547945205424,35.97726027397259,7,1,0
1978,53.68,33.94552511415527,9,0,0
1979,51.97109589041094,33.56767123287671,1,0,0
1980,55.143169398907105,35.06516393442625,10,2,0
1981,56.235662100456594,36.653196347031944,1,0,0
1982,53.643287671232876,34.55767123287673,6,3,0
1983,54.252465753424694,37.045525114155254,17,0,0
1984,55.0096539162113,36.47067395264116,6,0,0
1985,53.67826484018261,34.13114155251144,3,1,0
1986,55.64831050228307,37.06639269406391,4,0,0
1987,60.50347031963465,40.18794520547944,21,2,0
1988,58.09699453551914,35.98879781420764,43,17,5
1989,55.126210045662035,33.44383561643835,10,0,0
1990,58.40613176777556,36.688193085453356,6,2,1
1991,56.21852576647102,35.99315068493154,12,1,0
1992,55.1334406713505,36.09353044496488,3,0,0
1993,53.485861056751446,34.288111545988265,4,0,0
1994,56.08589367253751,35.47058056099152,3,1,0
1995,54.92230919765166,35.61917808219177,15,3,1
1996,52.734072773007235,32.564337756960704,5,1,0
1997,54.83683409436829,35.60773211567733,5,0,0
1998,59.14394542291805,39.66139160687107,6,0,0
1999,58.34409436834099,37.90582191780823,17,5,0
2000,56.54777625986643,36.624681238615665,6,0,0
2001,57.62960969776042,37.60145357686454,21,5,0
2002,56.092199391172024,37.502420091324204,12,1,0
2003,56.52792998477929,36.25126331811264,12,2,0
2004,55.9671979356406,36.96164996964182,3,0,0
2005,57.21347792998477,38.502739726027414,15,2,0
2006,57.987078712763676,39.46149706457929,13,5,0
2007,56.60388345292454,37.74120787127638,15,0,0
2008,53.88283567525375,34.5680436291092,0,0,0
2009,54.29962709284629,35.61350837138509,2,0,0
2010,56.57430745814306,37.73768645357688,7,0,0
2011,55.401582952815815,37.10493150684935,8,3,0
2012,59.107741347905296,39.76408621736494,11,4,0
2013,52.50958904109587,34.68587519025878,8,0,0
2014,51.38082191780817,33.34298325722982,0,0,0
2015,56.41990867579909,38.541582952815816,1,0,0
2016,57.048391013964704,39.770461445051595,4,0,0
2017,55.9397629919548,37.92354316155683,1,0,0
2018,53.868504022613614,36.672673407262444,8,1,0
