years,TMAX,TMIN,t90,t95,t100
1947,71.39477611940298,46.7634328358209,3,0,0
1948,82.38688524590167,56.62773224043714,136,82,33
1949,80.16154598825833,58.541242661448145,118,51,2
1950,82.1143509458578,58.78473581213308,116,52,4
1951,82.39633072407045,58.04603718199607,122,84,34
1952,80.80088797814207,57.1570550351288,103,64,23
1953,82.06130136986302,58.48238747553816,123,76,25
1954,83.55,59.42431506849315,133,85,17
1955,81.96810176125247,58.69275929549903,143,56,5
1956,82.7073575331772,58.177888368462135,142,80,11
1957,79.73938356164379,58.75890410958902,97,68,12
1958,77.98968797564686,57.067161339421546,103,62,4
1959,79.11541095890404,56.58370297890848,113,53,1
1960,78.34773722786016,56.8280802758262,112,35,5
1961,79.42314090019569,56.33835616438356,110,15,0
1962,81.75609915198955,57.19564579256359,131,75,35
1963,81.4135464231355,57.07899543378992,140,84,11
1964,80.57813448694593,56.77284456587736,108,75,11
1965,79.82436399217225,57.66896607958247,107,68,0
1966,79.48124048706241,55.8764840182649,96,36,2
1967,81.17579908675792,57.37831050228309,106,64,18
1968,77.94535519125682,55.6712583485124,84,31,0
1969,79.89007392911508,56.43324635790387,105,65,20
1970,79.45715372907148,55.6228310502283,97,41,0
1971,82.41682974559689,57.38799739073706,114,46,0
1972,80.91846213895396,55.87262555295346,112,32,1
1973,79.43941617742988,55.67853881278537,96,14,0
1974,80.34403131115461,55.59827788649702,100,24,4
1975,80.88323548597519,55.63756033920416,91,21,0
1976,78.42126593806921,54.24945355191256,81,13,0
1977,80.60753424657534,56.62648401826485,123,64,2
1978,78.9724200913242,55.92721461187218,106,48,3
1979,78.49990867579902,55.31716894977167,101,25,0
1980,81.14180327868853,56.3255919854281,116,63,29
1981,80.20922374429223,57.11863013698636,104,31,1
1982,80.06876712328767,57.25552511415528,119,75,13
1983,78.76438356164381,54.515981735159876,96,46,1
1984,81.74353369763207,56.685154826958126,139,79,13
1985,79.42803652968041,57.33552511415525,95,49,9
1986,81.42757990867575,58.2846575342466,119,42,10
1987,79.30114155251142,56.16351598173516,84,29,0
1988,81.14698152485042,55.817486338797835,111,41,7
1989,80.35603392041747,56.18558382257017,122,84,11
1990,80.99321591650356,58.13085453359425,117,55,4
1991,79.9341161121983,57.57312459230262,106,38,3
1992,79.09784022898766,57.1125422846734,93,19,0
1993,79.00893672537504,56.171493803000665,98,48,0
1994,80.3112198303979,57.64031311154604,101,58,3
1995,80.54833659491192,56.397912589693384,107,49,4
1996,82.1164780119698,56.75655412438199,127,77,10
1997,78.33197977821266,56.45597412480974,102,54,2
1998,81.50242770167429,58.87719939117203,125,71,27
1999,82.55307566862363,57.80639160687106,107,42,6
2000,81.22706435944141,58.389412568305985,121,68,16
2001,79.74733637747335,57.71729071537288,103,61,13
2002,79.80643074581432,57.29519786910199,102,31,0
2003,79.54283648619266,57.40134703196352,88,25,2
2004,79.4415604128719,58.09074074074072,81,11,0
2005,81.9853120243532,57.87004566210047,125,69,9
2006,84.27519025875192,58.28959665144596,148,86,9
2007,78.79309523809525,57.71471515546864,61,3,0
2008,82.71499587995486,56.64111154480006,122,68,0
2009,82.46287779952168,57.833866057838655,129,90,49
2010,79.5632202652751,56.80599586866713,99,38,4
2011,83.95955098934544,58.367041748206056,152,117,52
2012,82.54618245294476,57.7819791395611,114,72,12
2013,80.56012720156555,56.66443248532291,113,58,12
2014,80.34672537508155,57.05911611219829,122,53,13
2015,79.99324200913237,58.87269406392696,107,58,8
2016,81.7237900078064,59.60777387457716,108,50,8
2017,82.63651337247227,59.530642530985006,111,67,11
2018,80.71738638834525,58.722160252228726,117,87,12
