years,TMAX,TMIN,t90,t95,t100
1947,68.03259054378456,43.2166962390843,0,0,0
1948,71.92854668100568,48.712663838893285,3,0,0
1949,72.80886497064573,49.24015655577302,15,2,0
1950,73.86157860404435,49.503979125896926,4,2,0
1951,73.04750689949319,49.95243890812382,12,0,0
1952,73.24821945171507,49.66546461480768,19,1,0
1953,74.756834542036,49.157669889873766,15,2,0
1954,74.16791364491004,50.5123448831587,10,0,0
1955,72.58524181121622,49.64412683602641,14,9,3
1956,73.94374940082443,49.58770050058176,14,2,0
1957,73.21109909476888,51.51542087827677,10,2,0
1958,75.66327146095165,51.59460348426803,10,4,1
1959,75.49916442832847,53.10549221058291,7,2,0
1960,73.97520357869925,51.207456069859674,12,1,0
1961,73.73233772047632,51.08701204225985,6,3,1
1962,72.27171009042885,49.918037648849555,3,0,0
1963,74.2483662369057,51.32410354552783,11,7,3
1964,72.88714998749964,49.98120647165968,6,0,0
1965,72.8352205470027,50.57340736342602,17,4,0
1966,74.0224062489692,51.33950840201497,5,0,0
1967,73.37835414987913,51.51627383830245,10,0,0
1968,74.20981039501415,50.99859414621951,15,1,0
1969,72.70636807234307,52.180506759781515,5,1,0
1970,73.62480681962761,51.66113758240614,8,0,0
1971,72.19300813476073,49.95257655116839,18,3,1
1972,73.44543947360364,51.57111354104484,9,4,0
1973,71.87744771881357,50.56312449637389,7,2,0
1974,73.64522920583758,51.24696861849764,5,0,0
1975,72.10565919061688,49.43902638681044,4,2,0
1976,74.92868138147786,51.83381753429966,15,3,0
1977,75.0780526457158,51.75765693948816,11,1,0
1978,74.50554142204831,52.60935603008328,19,7,2
1979,74.95499238964995,51.39092785516032,29,13,1
1980,75.66866381271134,52.33414049326951,15,4,0
1981,76.16679699517395,53.4733492019735,16,7,1
1982,74.25040714194829,52.22982450249988,21,6,2
1983,74.95147276262107,53.39443280508553,29,5,0
1984,76.40637405760963,53.35924608914606,28,8,2
1985,74.94498055597374,51.66347872447182,30,10,4
1986,75.68294809072206,52.31255507050031,6,2,0
1987,74.14258429926241,51.677392151227814,14,3,2
1988,75.32173257070797,51.89703174249942,10,5,3
1989,75.76057081315135,52.19300348590436,14,5,1
1990,75.54896748899773,52.9619358871051,18,5,2
1991,74.26482433092023,52.39578098841794,8,4,0
1992,76.52442315198468,54.649917432294494,28,8,0
1993,75.09811187670779,53.66967602032671,4,0,0
1994,74.9312367313052,52.604208941743195,20,6,0
1995,75.82509308043556,53.60248695368561,25,4,0
1996,76.60263171482434,53.27519653615967,23,1,0
1997,76.60026956725784,53.3015594035296,31,4,0
1998,72.93503860207868,50.7586371919592,21,5,1
1999,74.54855742465212,49.382304130255804,17,4,0
2000,75.95827836191515,51.12992509365939,17,3,0
2001,73.52342094407058,51.03699974393182,4,0,0
2002,73.56621724737063,50.503988715042084,5,3,0
2003,74.78698322538129,52.309023871243916,20,1,0
2004,74.77103712333381,51.670686329605225,20,3,0
2005,74.88844032707945,52.01794753517658,13,0,0
2006,76.5375919837098,51.65251611590605,37,10,1
2007,75.22279262851117,51.456082317112795,16,3,1
2008,76.02172590878321,52.242062322941166,23,5,1
2009,75.72335568241816,51.86455702850176,25,7,2
2010,72.62810021154465,50.964863135151205,14,2,1
2011,73.57156061250647,50.92057210409205,8,4,0
2012,75.34264607861179,52.45025349462452,25,3,1
2013,74.09876266007483,52.73966594568613,10,1,0
2014,76.97604216019502,55.79083496412266,24,4,0
2015,75.95217221135032,55.77999965667589,19,8,0
2016,75.30789336729804,54.9483352050436,15,4,0
2017,75.01395352974168,55.095398212156745,13,5,0
2018,74.4474696057226,54.93225510223316,11,2,1
