years,TMAX,TMIN,t90,t95,t100
1947,59.78293549024742,40.4667660793042,0,0,0
1948,66.58857329198143,45.65609652546668,3,0,0
1949,67.04171503668475,46.21478282174655,4,1,0
1950,68.15793749493669,47.22116080444217,8,3,0
1951,66.32299990460206,47.14568458343325,2,0,0
1952,66.6520254859973,47.18725548427973,3,0,0
1953,67.81314248586433,47.39532640280107,3,1,0
1954,67.44227273242942,47.013749706715764,4,0,0
1955,66.8087913838968,45.64389222907324,3,0,0
1956,67.57251902365822,46.32597961879027,2,0,0
1957,67.78209653012154,48.16463482552341,6,0,0
1958,69.6580169375988,49.04756254069536,4,0,0
1959,70.3722307676882,47.90783398731285,4,1,0
1960,67.55138498311706,47.26040478607476,4,1,0
1961,67.85457749020883,47.49995797333502,13,2,0
1962,66.82656865171755,47.10799196336718,2,0,0
1963,66.69262765921786,47.591139335153606,1,0,0
1964,67.27972545689043,46.86510700632224,3,0,0
1965,66.45483377551572,47.34174517660225,0,0,0
1966,68.2144693940168,47.7591341088929,4,1,0
1967,67.7380964043115,47.75260576260622,1,0,0
1968,67.92788365788012,47.94104229855838,3,0,0
1969,67.75060286348554,47.76372174480275,0,0,0
1970,68.434574115184,48.04814427779884,8,2,0
1971,67.12819256205377,46.75215939966327,4,3,1
1972,67.26256262348562,47.840615129505046,4,2,1
1973,67.8824074008184,48.16157501244041,8,3,0
1974,67.65934716345791,47.677556115911095,1,0,0
1975,66.72889522726625,46.83369390569932,3,0,0
1976,69.05828293627651,47.37335631027724,11,3,0
1977,67.91649462150512,48.15884156330446,4,1,0
1978,68.54558038932949,49.129913482336,6,0,0
1979,68.07981113137397,49.5532934791316,3,2,0
1980,67.63013036414834,49.408062376757755,4,2,0
1981,68.54947929856874,49.783378132074745,6,0,0
1982,66.22786040443576,48.391292839580515,0,0,0
1983,68.11522372313866,50.48767824059727,5,1,0
1984,68.45010930841515,49.02284139377156,4,0,0
1985,67.19236929282646,48.113869191512244,4,0,0
1986,68.19899634090604,49.74049778286704,0,0,0
1987,68.38792512438766,49.34481303480294,6,1,0
1988,68.72683698672127,49.300677437851995,4,1,0
1989,67.69245571287871,48.22721582697004,3,0,0
1990,67.81027672256117,48.68543366204929,1,0,0
1991,67.31119289654745,48.258397480172285,0,0,0
1992,69.28277681674726,50.24812198414983,1,0,0
1993,68.30515198316768,49.22148825764381,8,3,0
1994,66.48464255403688,48.17066839214346,1,0,0
1995,68.10312862805671,50.33678602130967,5,1,0
1996,69.03076598898053,50.49917784658525,6,1,0
1997,69.52356339451686,50.53779294003594,5,0,0
1998,66.41320465042206,49.4430606243072,5,2,0
1999,66.88564284897213,48.11391483329037,7,0,0
2000,67.45511274610566,49.36292968448502,8,1,1
2001,67.12811789879399,48.336343498146874,6,0,0
2002,68.02608588151746,48.77183122036704,10,1,0
2003,68.68529238176681,49.88344537483366,11,4,0
2004,68.10444776933743,49.52028814096288,7,0,0
2005,67.51966412951312,49.370863956450734,1,0,0
2006,65.75970100759524,47.33715024795345,4,2,0
2007,64.54812320054958,45.50545445813501,0,0,0
2008,68.41943340298496,48.33116903793929,14,4,0
2009,67.71639956195723,48.50697834288824,10,1,0
2010,65.38476072821562,47.92495435579221,2,0,0
2011,65.43086059042852,47.66403689082836,0,0,0
2012,67.30580321001251,48.373155936767866,3,1,0
2013,68.82553266669538,48.26413585206717,2,0,0
2014,70.58185231180258,51.15983441048867,5,0,0
2015,70.1958320236227,50.76768165342082,12,2,0
2016,68.86985769433541,50.2657667450496,6,1,0
2017,69.52792485597845,50.304427398329416,13,4,2
2018,68.61785758984622,49.40459337352579,1,0,0
