years,TMAX,TMIN,t90,t95,t100
1947,68.58528784648185,44.037668798862825,0,0,0
1948,71.8816809784023,47.797593026281575,2,0,0
1949,71.90104370515327,48.481030658838925,7,2,0
1950,72.19902152641878,49.01308545335944,5,2,1
1951,72.23579582517945,49.43116764514029,6,0,0
1952,71.56749284413215,48.93678441321887,5,0,0
1953,73.79225375081536,49.00890410958904,10,2,0
1954,72.27429876060013,51.05179386823218,3,0,0
1955,71.09967384213951,50.27570776255708,9,4,3
1956,73.15918553213635,50.25969294821752,9,2,0
1957,72.90245270711027,52.35454664057405,6,3,1
1958,74.96221787345077,52.533594259621594,12,4,1
1959,75.08056099151989,53.393059360730604,5,2,0
1960,73.18247462919591,50.94392401769454,9,2,0
1961,73.28904109589037,51.26940639269409,7,4,2
1962,71.25191128506195,50.47215916503586,3,0,0
1963,73.10042400521856,51.87450097847361,10,6,3
1964,71.665456674473,50.61900858704138,6,0,0
1965,72.21947162426622,51.29347684279192,14,5,1
1966,73.3015394651011,52.136294846705766,8,1,0
1967,73.34448793215915,52.18758969341162,14,4,0
1968,73.42808352849337,51.74925188654695,12,2,0
1969,72.77821265492497,53.206621004566216,5,1,0
1970,73.41598173515983,52.455642530985024,13,3,1
1971,72.26374755381606,50.90458251793868,14,6,0
1972,72.8208691126723,51.50470986208691,12,2,0
1973,71.59390737116766,50.48812785388132,8,4,0
1974,72.4392824527071,51.276516634050886,3,1,0
1975,71.37028049575994,49.94227005870839,3,2,0
1976,74.8160031225605,52.30273224043716,13,2,0
1977,73.95168949771688,52.4735159817352,5,0,0
1978,73.92340508806261,52.86160469667317,14,4,3
1979,74.64139595564251,51.65834311806916,18,11,2
1980,74.48311215196462,52.998692427790786,4,0,0
1981,75.77788649706456,54.122870189171564,14,8,2
1982,73.24169602087414,52.50832354859752,10,1,0
1983,74.01050228310505,55.10575342465755,16,4,0
1984,75.46320582877964,54.83515482695807,12,5,1
1985,73.32452054794517,52.81767123287671,15,5,1
1986,73.93305936073064,53.497899543379,3,0,0
1987,72.60840182648403,52.82739726027403,6,4,1
1988,72.93451730418937,52.964936247723124,7,4,1
1989,73.74024787997394,53.30623613829092,7,4,1
1990,74.71838225701232,53.85596868884537,12,2,1
1991,73.52729941291581,53.98303979125897,7,4,1
1992,75.37402419984383,55.93979313036688,14,1,0
1993,74.39015003261581,55.285583822570125,2,0,0
1994,74.13995433789954,54.434018264840184,14,4,0
1995,73.09763209393348,54.88075016307893,5,0,0
1996,74.5281518345043,55.342831121519644,11,0,0
1997,75.77260273972603,56.03718199608609,22,4,0
1998,74.36135029354209,53.88013698630139,21,5,0
1999,74.23586105675147,53.03884540117417,10,3,0
2000,74.00095953682022,54.68452380952382,7,0,0
2001,72.41679712981083,54.14796694933681,4,0,0
2002,73.11280713198519,53.87015655577299,4,2,0
2003,75.26599260708848,55.37005327245055,18,0,0
2004,75.25948152485034,55.31933602220489,18,5,2
2005,74.70143509458576,55.201690584909734,12,2,0
2006,75.80022287453792,54.89562404870626,30,6,1
2007,75.32215155468577,54.74764622744077,14,4,1
2008,75.91325461878743,55.47527972937803,23,5,1
2009,76.1649641226354,55.361330724070406,32,12,4
2010,74.25608610567514,54.1364774951076,22,9,3
2011,74.2894324853229,53.99673842139595,10,5,0
2012,75.47650273224042,56.13486859224564,25,3,2
2013,75.08662752772338,55.85949119373773,17,1,0
2014,78.0281800391389,58.966340508806276,34,11,2
2015,77.6857142857143,58.46379647749507,28,10,2
2016,76.52283372365346,57.801392141556015,23,7,3
2017,76.7820613176777,57.905218525766415,27,6,1
2018,76.07227658186567,57.60984996738422,17,4,2
