years,TMAX,TMIN,t90,t95,t100
1947,48.81897621449861,38.06582820164909,0,0,0
1948,57.34612257652873,41.55051852813425,0,0,0
1949,59.33584362968935,40.89593965440056,1,0,0
1950,58.04560233682514,40.858648939027624,0,0,0
1951,59.890541489366775,41.200439656756735,4,0,0
1952,59.90007258583622,41.81460311955284,1,0,0
1953,60.09979091564527,43.79378514780102,0,0,0
1954,58.23482416085875,42.041136745974484,0,0,0
1955,56.26810999429812,40.51314748057357,1,0,0
1956,58.70425635502019,41.744351771961796,2,0,0
1957,59.52785492976328,42.42288942373391,0,0,0
1958,63.16384429883474,44.938332720735495,4,1,0
1959,58.816134177775936,42.791723331966764,1,0,0
1960,58.812781706489524,42.64093918532802,4,1,0
1961,60.33828274688869,43.31412324290446,2,0,0
1962,59.249820932939436,42.87825006715014,0,0,0
1963,59.539426325685305,43.464294428658306,1,0,0
1964,57.54777508501241,41.879956180295906,0,0,0
1965,59.98844799515573,42.9678712460711,3,0,0
1966,59.6703136854357,43.249352295592615,0,0,0
1967,60.901595935177745,43.52729093920674,3,0,0
1968,59.623499276759894,42.76398063323691,0,0,0
1969,59.53494292237445,42.237392559763634,0,0,0
1970,59.576985150224466,41.531899493200875,1,0,0
1971,58.19198002910329,41.30694214461341,3,0,0
1972,58.4136589503393,41.12127200922404,2,0,0
1973,59.4885665362035,41.923080560991515,0,0,0
1974,59.8530603642933,42.30144814090019,0,0,0
1975,58.29630463144168,41.671251317175944,0,0,0
1976,59.30109827558594,42.43434653916212,0,0,0
1977,59.830236368520026,42.367033977974735,5,0,0
1978,59.750471777752225,43.07292227850045,4,0,0
1979,60.638967710371816,42.66999711475741,3,0,0
1980,59.504127384455316,42.94514401809482,0,0,0
1981,60.7807697325505,43.343754829645206,5,3,0
1982,59.28555170856548,41.69794972151138,2,0,0
1983,59.920710522354355,42.80100255908475,0,0,0
1984,59.43724854380597,41.81027692708018,0,0,0
1985,58.4450154867963,39.96616328876603,3,0,0
1986,60.490265442320236,43.34951076320941,1,0,0
1987,61.74436248682823,43.2471473731748,0,0,0
1988,59.86109609880099,43.02263606157049,3,0,0
1989,59.594023784434754,42.7156806663656,0,0,0
1990,59.54934084180657,43.28639032200677,3,0,0
1991,59.89134176325957,43.50655326408752,1,0,0
1992,61.78701034848578,44.057136169841094,0,0,0
1993,59.472849524904284,42.59563541481352,1,0,0
1994,60.51572833559132,43.495077525214505,3,0,0
1995,61.40304512838761,44.00309367953204,2,0,0
1996,58.916492796820684,42.32945851962247,0,0,0
1997,60.296300678013,44.036554586965515,0,0,0
1998,60.354278849004885,44.391779415409545,3,1,0
1999,58.89273370465151,43.26926069364424,0,0,0
2000,59.13278697622962,43.10244814384159,0,0,0
2001,59.07137620370495,43.3421807416328,0,0,0
2002,59.329204174820624,43.395524612373904,0,0,0
2003,60.74480355261178,44.54362386471976,2,0,0
2004,61.06908464941249,45.20834484277108,2,1,0
2005,60.433643935972725,44.39870791309148,0,0,0
2006,60.189847960258966,43.82335490993024,4,0,0
2007,58.8283105022831,43.629400371318184,1,0,0
2008,57.62574210852901,42.76036049560638,0,0,0
2009,59.28376737417837,43.101083596768525,4,2,1
2010,59.207172964022256,44.36410507300914,2,0,0
2011,56.905903457273325,42.16771852576648,0,0,0
2012,58.35483021077283,43.327805425448865,2,0,0
2013,58.890812133072394,43.79531800391392,0,0,0
2014,61.03540443574695,45.331099151989555,1,0,0
2015,62.25908387274823,45.89358347132317,3,0,0
2016,60.81729718369061,45.58514581957204,1,0,0
2017,59.43418134377033,43.6387099202168,2,0,0
2018,60.4806312409052,44.88073460785787,0,0,0
