years,TMAX,TMIN,t90,t95,t100
1947,39.417910447761194,28.98507462686567,0,0,0
1948,55.57103825136612,35.4344262295082,3,0,0
1949,57.34840182648402,35.1511415525114,16,2,0
1950,55.82648401826482,35.94109589041094,12,2,0
1951,56.58082191780816,36.631963470319626,14,2,0
1952,58.51183970856098,37.518670309653906,17,4,0
1953,59.4892694063927,39.37465753424657,12,3,0
1954,57.71598173515982,37.679223744292244,4,0,0
1955,55.265068493150686,35.836757990867575,19,8,0
1956,57.54189435336976,38.3870673952641,17,6,0
1957,57.24018264840185,38.352968036529674,6,0,0
1958,61.09315068493154,41.79406392694062,39,7,0
1959,56.53881278538813,37.663470319634705,17,6,2
1960,57.56238615664845,37.16438979963571,21,10,1
1961,58.72511415525111,38.62146118721461,31,13,3
1962,57.26301369863014,38.12283105022833,15,3,0
1963,58.38127853881281,38.84657534246575,15,0,0
1964,56.0924408014572,36.82559198542806,8,1,0
1965,58.50136986301371,38.657534246575345,17,3,0
1966,59.7730593607306,39.67305936073058,12,2,0
1967,60.17214611872146,39.98949771689499,32,13,5
1968,58.261839708561034,38.66120218579233,17,7,3
1969,57.345662100456636,37.38767123287672,17,1,0
1970,58.721461187214636,38.7808219178082,34,10,1
1971,58.015068493150686,38.45068493150685,29,15,4
1972,57.27322404371585,37.05464480874317,15,7,2
1973,58.06027397260274,38.087671232876716,25,14,0
1974,57.42328767123288,37.31780821917808,15,1,0
1975,54.965753424657535,36.56712328767123,12,6,1
1976,58.452185792349724,37.75819672131148,10,0,0
1977,58.04246575342466,37.76575342465753,20,9,0
1978,56.367123287671234,37.15890410958904,19,1,0
1979,58.33287671232877,37.21506849315068,17,5,2
1980,57.61338797814208,38.704918032786885,9,1,1
1981,59.06849315068493,38.91095890410959,21,6,0
1982,56.84109589041096,37.941095890410956,9,1,0
1983,57.76438356164383,39.364383561643834,10,1,0
1984,56.19125683060109,36.385245901639344,12,2,1
1985,54.23013698630137,33.465753424657535,18,6,0
1986,57.88493150684931,37.676712328767124,16,4,0
1987,59.75342465753425,37.915068493150685,13,2,0
1988,58.65300546448088,37.53825136612022,15,8,0
1989,57.0986301369863,37.00547945205479,7,1,0
1990,58.42465753424658,37.84931506849315,17,4,0
1991,57.99452054794521,36.99452054794521,13,0,0
1992,60.09836065573771,38.76502732240437,23,10,2
1993,55.534246575342465,35.323287671232876,1,0,0
1994,59.608219178082194,38.657534246575345,24,11,2
1995,58.05205479452055,38.02465753424657,5,0,0
1996,55.78142076502732,34.43852459016394,18,5,0
1997,57.52876712328767,36.56712328767123,11,4,0
1998,60.31552511415526,38.63835616438356,34,11,2
1999,59.32602739726026,37.46757990867583,16,6,0
2000,57.08242258652096,36.01183970856104,14,3,0
2001,58.674885844748864,36.740639269406394,18,8,0
2002,58.44931506849317,36.802739726027404,14,6,3
2003,60.09863013698627,38.22922374429223,35,12,2
2004,59.06466302367937,38.80510018214935,25,7,0
2005,58.203652968036565,37.231050228310515,16,3,0
2006,59.5200913242009,38.321004566210036,28,6,2
2007,58.55433789954336,37.61917808219176,22,9,2
2008,57.04280510018219,35.74316939890711,17,7,1
2009,57.224200913242015,36.78264840182647,25,3,1
2010,57.88721461187211,38.30502283105025,9,1,0
2011,56.897716894977144,36.32511415525118,13,0,0
2012,59.052367941712205,38.45036429872494,21,6,0
2013,58.46666666666663,37.557077625570756,26,4,0
2014,59.72237442922372,38.8520547945206,25,11,0
2015,62.294977168949785,40.411872146118725,31,16,4
2016,60.20810564663022,39.806921675774134,23,3,0
2017,58.27899543378997,37.73242009132417,35,7,0
2018,59.65388127853883,38.951598173516,24,8,2
