years,TMAX,TMIN,t90,t95,t100
1947,59.40796019900496,36.54228855721393,0,0,0
1948,71.93351548269577,44.23360655737706,50,11,3
1949,73.13105022831047,44.82876712328768,52,22,2
1950,74.38082191780818,47.88858447488586,62,35,15
1951,73.13607305936073,45.77031963470322,47,19,4
1952,73.4326047358834,45.89936247723134,80,33,4
1953,73.75342465753423,45.79086757990864,57,31,5
1954,72.26849315068492,45.58904109589036,49,18,6
1955,72.3789954337899,44.90251141552512,51,22,6
1956,72.98907103825141,45.07172131147542,37,10,4
1957,72.62616438356169,46.87630136986302,59,25,4
1958,74.71506849315067,48.07616438356159,67,20,0
1959,76.21547945205481,47.021369863013724,66,28,9
1960,74.77172131147535,47.55136612021859,70,43,18
1961,73.64890410958901,47.55000000000002,77,41,15
1962,72.76968036529675,46.169999999999995,57,23,3
1963,70.93949771689503,46.811004566210045,51,12,0
1964,73.375956284153,45.63251366120219,56,22,6
1965,72.4969406392694,46.615890410958905,48,8,1
1966,74.51301369863013,47.43219178082192,65,31,7
1967,73.18561643835616,47.364383561643834,86,43,11
1968,73.61338797814206,47.153233151183976,63,22,5
1969,74.18219178082192,47.17465753424658,84,43,12
1970,75.13561643835617,47.38881278538812,85,37,10
1971,73.12214611872147,46.08561643835616,75,31,13
1972,73.43920765027322,47.36407103825137,73,32,10
1973,74.38698630136986,48.05684931506849,75,36,13
1974,75.12123287671233,47.814840182648396,87,39,6
1975,73.27283105022832,46.34086757990868,65,31,9
1976,75.95560109289617,47.33014571948998,64,30,14
1977,75.1082191780822,48.192922374429216,65,31,12
1978,74.6077625570776,48.142465753424645,71,35,9
1979,75.08538812785389,48.41461187214608,75,44,13
1980,74.33424408014568,47.51001821493624,55,27,8
1981,75.90867579908684,48.40639269406393,78,39,15
1982,72.23972602739723,46.12785388127854,51,20,0
1983,73.56484018264841,48.6958904109589,64,30,12
1984,75.12932604735883,48.10746812386153,92,51,15
1985,72.73607305936076,45.7634703196347,67,27,5
1986,74.73698630136984,47.118264840182604,54,18,0
1987,75.05616438356161,46.131963470319626,62,33,5
1988,75.87568306010928,45.477686703096545,74,45,12
1989,74.00730593607304,43.85662100456619,61,20,4
1990,75.8196347031964,45.64337899543378,67,25,14
1991,75.11780821917807,46.57260273972604,73,27,5
1992,75.87204007285978,49.43715846994535,78,27,7
1993,74.70867579908675,48.52922374429228,64,29,6
1994,74.40456621004567,46.536986301369865,77,31,5
1995,75.34337899543377,50.61826484018266,61,27,11
1996,76.200364298725,50.24134790528229,88,57,19
1997,76.28356164383564,49.653424657534295,73,28,4
1998,72.55114155251134,48.2776255707762,60,37,17
1999,74.17168949771687,47.19863013698633,56,24,7
2000,74.94307832422581,48.11384335154826,75,38,10
2001,76.54794520547945,47.94977168949774,89,45,12
2002,75.72328767123292,47.33972602739722,80,37,15
2003,75.97123287671234,49.35890410958904,80,48,14
2004,75.53460837887067,48.691256830601084,85,31,6
2005,75.84566210045658,49.36894977168946,73,42,14
2006,75.95022831050233,48.60045662100455,87,43,20
2007,76.9840182648402,48.02009132420091,78,35,13
2008,76.41985428051005,46.76366120218577,91,44,18
2009,76.16986301369862,46.54155251141551,85,51,17
2010,74.05068493150685,48.58310502283105,64,25,7
2011,73.82374429223742,47.52100456621004,68,26,2
2012,76.31102003642992,48.04462659380692,85,34,12
2013,76.49771689497717,47.36118721461187,69,31,9
2014,78.46712328767123,50.71461187214612,89,36,9
2015,77.90821917808219,49.84340659340659,91,45,18
2016,77.14010989010988,49.565934065934066,89,45,21
2017,78.1565934065934,49.696969696969695,102,69,33
2018,77.94794520547946,49.2,89,53,19
