years,TMAX,TMIN,t90,t95,t100
1947,50.74378109452735,38.23009950248756,0,0,0
1948,58.077231329690335,41.19858834244081,0,0,0
1949,59.83538160469666,40.5501369863014,1,0,0
1950,58.569236790606595,40.85616438356164,0,0,0
1951,60.43412915851274,41.09458577951726,4,1,0
1952,60.44320843091334,41.332747853239646,1,0,0
1953,60.566144814089974,43.3652315720809,0,0,0
1954,58.81154598825831,41.798303979125905,0,0,0
1955,57.017625570776325,40.245896934116125,2,1,0
1956,59.26311475409836,41.132513661202154,2,0,0
1957,60.01826484018264,41.86611872146117,0,0,0
1958,63.563561643835605,43.93780821917809,4,2,0
1959,59.55812785388123,41.83511415525114,2,0,0
1960,59.3610200364299,41.34726775956283,3,2,0
1961,60.986523157208154,42.41273320287019,3,0,0
1962,59.79686888454006,42.05707762557076,0,0,0
1963,60.13330724070447,42.524598825831724,1,0,0
1964,58.041357663283954,41.17115534738487,0,0,0
1965,60.79408023483361,42.21213307240707,2,0,0
1966,60.38933463796485,42.539220482713674,0,0,0
1967,61.67984344422698,42.99465101108935,4,0,0
1968,60.443224694249274,42.55981654957065,3,0,0
1969,60.10438356164383,42.001239399869526,1,0,0
1970,60.3205479452055,41.59771689497717,2,0,0
1971,59.100821917808226,41.608767123287656,5,0,0
1972,59.416120218579216,41.18269581056467,2,0,0
1973,60.507077625570815,42.01356164383564,0,0,0
1974,60.90082191780823,42.55438356164384,0,0,0
1975,59.63178082191781,41.99205479452051,0,0,0
1976,60.237340619307815,42.49913479052821,0,0,0
1977,60.900639269406355,42.31178082191778,6,0,0
1978,60.76141552511416,42.79794520547948,5,0,0
1979,61.639543378995434,42.3428310502283,3,0,0
1980,60.29631147540983,42.35000000000004,0,0,0
1981,61.62561643835613,42.759954337899536,7,3,0
1982,60.50301369863006,41.421232876712295,2,0,0
1983,61.03164383561645,42.741506849315094,0,0,0
1984,60.58456284153008,41.62868852459019,1,0,0
1985,59.32945205479448,39.67561643835617,3,0,0
1986,61.50739726027396,43.56931506849316,1,0,0
1987,62.742876712328744,43.22616438356166,0,0,0
1988,60.70209471766853,43.135564663023665,5,0,0
1989,60.585753424657604,42.98986301369862,0,0,0
1990,60.43497716894977,43.87059360730593,3,0,0
1991,60.751598173515916,43.871095890410935,1,0,0
1992,62.831602914389855,44.627276867030965,2,0,0
1993,60.28602739726029,42.753835616438344,1,0,0
1994,61.49726027397257,44.191232876712334,3,0,0
1995,62.26506849315071,45.06488584474888,3,0,0
1996,59.690801457194915,43.69990892531876,0,0,0
1997,60.896347031963465,44.87648401826484,0,0,0
1998,61.11392694063924,45.36027397260274,3,1,0
1999,59.25566210045659,43.849863013698624,0,0,0
2000,59.29549180327869,43.49658469945356,0,0,0
2001,59.441324200913186,43.7812785388128,0,0,0
2002,60.209223744292245,43.93835616438359,1,0,0
2003,60.69036529680364,45.32607305936072,1,0,0
2004,61.097358834244055,46.16557377049183,2,1,0
2005,60.63990867579909,45.21885844748857,0,0,0
2006,60.699406392694044,44.566347031963474,4,0,0
2007,59.194611872146105,44.73858447488586,1,0,0
2008,58.393488160291376,43.877094717668506,0,0,0
2009,59.4612328767123,43.65228310502281,3,2,0
2010,59.89470319634701,45.065433789954334,4,0,0
2011,58.36657534246575,42.58794520547945,0,0,0
2012,59.501411657559196,43.64826958105646,2,0,0
2013,60.114931506849324,44.414931506849335,0,0,0
2014,62.31716894977173,45.8282191780822,1,0,0
2015,63.19876712328768,46.78041095890411,6,0,0
2016,62.11848816029141,46.60400728597447,2,0,0
2017,60.537123287671214,44.71511415525114,2,0,0
2018,61.7797716894977,45.90054794520548,1,0,0
