years,TMAX,TMIN,t90,t95,t100
1947,76.67537313432835,59.6455223880597,0,0,0
1948,83.22085610200365,65.98975409836069,51,0,0
1949,82.89547945205483,65.67575342465751,52,0,0
1950,81.99684931506853,64.07013698630142,71,2,0
1951,82.16178082191777,64.29835616438353,95,2,0
1952,81.30983606557379,64.12499999999999,80,2,0
1953,81.30520547945208,65.05095890410958,52,2,0
1954,80.54958904109597,63.624657534246516,41,0,0
1955,80.99219178082193,63.828082191780844,49,0,0
1956,81.11366120218582,63.66147540983613,52,1,0
1957,81.41643835616442,65.38287671232877,45,0,0
1958,79.42136986301362,63.80876712328765,76,0,0
1959,81.05260273972605,64.90794520547948,57,0,0
1960,80.67418032786878,63.17053734061931,69,1,0
1961,81.8087671232877,64.02465753424659,71,0,0
1962,80.52027397260278,63.349726027397246,50,0,0
1963,80.05547945205481,62.30945205479451,58,0,0
1964,80.70314207650269,63.64084699453553,46,0,0
1965,81.00013698630144,63.78479452054794,37,0,0
1966,79.79232876712327,63.0531506849315,30,0,0
1967,81.55767123287663,63.784063926940654,29,0,0
1968,79.82896174863386,62.12691256830599,47,0,0
1969,79.81589041095893,62.774657534246565,53,1,0
1970,80.68876712328766,62.77369863013695,74,0,0
1971,82.18972602739726,63.77739726027397,55,0,0
1972,82.625,64.55737704918033,73,0,0
1973,81.70867579908676,64.06575342465753,74,0,0
1974,82.38356164383562,64.3769406392694,41,0,0
1975,83.17808219178082,65.03767123287672,82,0,0
1976,80.80760473588343,62.24749544626594,35,0,0
1977,80.97739726027403,62.942237442922355,79,1,0
1978,81.09543378995428,63.976255707762554,75,0,0
1979,81.22831050228307,64.06666666666662,65,0,0
1980,80.95081967213115,63.86020036429875,70,0,0
1981,80.96803652968038,62.00776255707766,66,3,0
1982,82.37534246575345,65.47123287671229,45,0,0
1983,79.9607305936073,63.379908675799044,51,0,0
1984,81.40892531876133,63.34608378870675,45,0,0
1985,82.62648401826486,64.93926940639271,80,2,0
1986,82.93515981735159,65.66073059360728,105,0,0
1987,81.43424657534246,64.15890410958907,90,0,0
1988,81.17714025500914,63.409380692167574,73,0,0
1989,82.76894977168948,64.73059360730588,100,0,0
1990,84.30410958904112,66.04292237442927,104,0,0
1991,83.17579908675809,65.97899543378993,98,1,0
1992,81.60655737704924,64.36202185792352,88,1,0
1993,81.92557077625568,64.1155251141553,92,5,0
1994,83.00821917808217,65.8931506849315,67,0,0
1995,81.93926940639265,64.73150684931505,82,4,0
1996,81.42645719489983,63.59949908925318,73,3,0
1997,82.60616438356165,64.81027397260274,89,1,0
1998,82.83378995433795,65.9363926940639,92,13,0
1999,82.3228310502283,64.69840182648402,64,0,0
2000,82.26571038251366,64.36589253187613,97,1,0
2001,81.2700913242009,65.30867579908676,53,0,0
2002,81.64246575342466,65.66347031963471,56,0,0
2003,80.66118721461187,65.59109589041095,35,0,0
2004,80.57786885245902,64.64367030965391,59,0,0
2005,81.37625570776257,66.26598173515983,81,0,0
2006,81.73881278538813,66.08310502283105,60,0,0
2007,82.36575342465754,66.63082191780822,76,3,0
2008,81.64116575591984,65.55532786885246,65,0,0
2009,81.79178082191781,66.01575342465753,73,0,0
2010,79.6769406392694,63.46552511415524,97,2,0
2011,82.21095890410959,66.04657534246576,88,0,0
2012,82.2176684881603,66.33287795992713,44,0,0
2013,82.18721461187215,66.1714611872146,69,0,0
2014,80.89360730593607,64.87397260273973,79,1,0
2015,83.13242009132426,67.90045662100462,67,0,0
2016,82.62204007285978,66.7377049180328,86,1,0
2017,83.74977168949766,67.38219178082193,106,3,0
2018,82.80091324200907,66.84657534246577,97,1,0
