years,TMAX,TMIN,t90,t95,t100
1947,41.40298507462686,29.08955223880597,0,0,0
1948,58.86065573770492,41.23360655737705,12,3,0
1949,61.66575342465753,42.983561643835614,23,5,0
1950,59.08904109589041,40.553424657534244,3,0,0
1951,60.35433789954335,41.762557077625566,11,1,1
1952,61.98497267759563,43.166666666666664,34,13,1
1953,62.657534246575345,43.5,24,11,1
1954,60.656164383561645,42.59041095890411,16,1,0
1955,61.625570776255714,42.48401826484019,28,10,0
1956,59.8292349726776,41.33196721311475,11,2,0
1957,59.75068493150685,41.413698630136984,10,2,0
1958,59.136986301369866,40.00821917808219,2,0,0
1959,61.0,41.775342465753425,26,3,0
1960,59.31147540983606,40.31284153005465,4,0,0
1961,59.8054794520548,40.25890410958904,6,0,0
1962,59.31232876712329,40.45479452054794,16,2,0
1963,59.273972602739725,38.4986301369863,15,3,0
1964,61.11065573770492,40.62978142076503,24,4,0
1965,59.47808219178082,40.37123287671233,10,2,0
1966,59.49041095890411,39.821917808219176,23,3,0
1967,58.632876712328766,39.35342465753425,7,3,0
1968,60.439890710382514,40.790983606557376,17,6,0
1969,59.07671232876712,39.87808219178082,12,0,0
1970,59.4,40.467123287671235,8,1,0
1971,61.09041095890411,40.656164383561645,16,2,1
1972,57.97267759562842,39.74726775956284,8,2,0
1973,61.25616438356165,42.92465753424658,16,4,0
1974,59.40547945205479,39.86027397260274,15,3,0
1975,59.93561643835616,41.678082191780824,7,1,0
1976,58.959016393442624,37.55874316939891,12,1,0
1977,59.42876712328767,39.76986301369863,19,5,1
1978,58.21506849315068,38.43013698630137,22,2,0
1979,57.272602739726025,39.364383561643834,0,0,0
1980,57.96448087431694,39.57786885245902,10,1,0
1981,57.9972602739726,40.02054794520548,7,2,0
1982,58.97671232876712,40.26849315068493,5,0,0
1983,59.538356164383565,41.69315068493151,30,4,0
1984,58.799180327868854,41.05327868852459,10,1,0
1985,58.96849315068493,40.65068493150685,3,0,0
1986,59.40821917808219,41.49452054794521,7,0,0
1987,61.25205479452055,42.584931506849315,22,2,0
1988,60.08879781420765,39.81967213114754,39,12,2
1989,58.09041095890411,39.4013698630137,8,0,0
1990,61.85342465753425,43.206849315068496,5,0,0
1991,61.173972602739724,43.15890410958904,13,0,0
1992,58.86338797814208,42.177595628415304,1,0,0
1993,58.97945205479452,41.57808219178082,17,3,0
1994,60.12602739726027,40.56164383561644,10,4,0
1995,60.776712328767125,42.8,28,9,2
1996,59.13387978142077,41.486338797814206,12,2,0
1997,58.5,39.68904109589041,9,0,0
1998,63.562557077625584,45.24566210045661,20,1,0
1999,62.18812785388126,41.4269406392694,24,4,0
2000,59.08606557377049,40.71539162112933,2,0,0
2001,60.90958904109589,42.63013698630137,13,1,0
2002,61.464383561643835,42.68219178082192,29,4,0
2003,58.28904109589041,39.80821917808219,4,0,0
2004,60.0910746812386,41.65346083788707,7,0,0
2005,59.66712328767133,40.29178082191781,14,1,0
2006,61.1849315068493,42.197716894977155,9,1,0
2007,60.6456621004566,40.96118721461189,13,0,0
2008,59.66666666666668,39.66666666666668,8,0,0
2009,58.65068493150679,39.392694063926925,4,0,0
2010,61.13105022831049,41.683561643835624,17,2,0
2011,60.69680365296804,42.09954337899546,27,7,1
2012,63.53324225865213,43.077868852459034,28,7,3
2013,58.95753424657534,40.706849315068496,10,1,0
2014,57.26712328767123,38.26849315068493,4,0,0
2015,59.823287671232876,40.917808219178085,5,0,0
2016,62.20355191256831,43.14890710382514,18,1,0
2017,61.632876712328766,43.02739726027397,10,1,0
2018,60.38493150684931,42.915068493150685,24,2,0
