years,TMAX,TMIN,t90,t95,t100
1947,57.298507462686565,32.6865671641791,0,0,0
1948,71.2827868852459,47.80874316939891,55,16,0
1949,71.41369863013699,48.55205479452055,50,14,0
1950,70.81643835616438,47.53150684931507,23,2,0
1951,71.1082191780822,48.326027397260276,66,30,12
1952,73.2964480874317,48.71448087431694,96,51,12
1953,73.65890410958905,50.18493150684932,95,33,10
1954,76.22054794520548,51.036986301369865,106,79,44
1955,73.12739726027397,49.54657534246575,79,33,8
1956,74.57513661202186,49.8948087431694,103,68,34
1957,70.48904109589041,49.97534246575343,68,41,6
1958,70.09452054794521,49.16712328767123,71,16,1
1959,71.11369863013698,49.26438356164383,52,6,0
1960,70.29371584699453,48.068306010928964,60,12,1
1961,69.56164383561644,47.702739726027396,38,3,0
1962,71.26849315068493,48.917808219178085,51,25,3
1963,74.1027397260274,48.88356164383562,92,47,12
1964,73.10245901639344,48.942622950819676,69,32,12
1965,74.15205479452055,49.06301369863014,78,36,6
1966,71.98219178082192,47.0986301369863,60,33,11
1967,70.91643835616438,47.486301369863014,26,4,0
1968,69.53415300546447,47.31284153005465,46,13,1
1969,70.62465753424658,48.12876712328767,60,30,11
1970,70.26712328767124,48.00821917808219,74,33,14
1971,70.67808219178082,49.03150684931507,54,12,0
1972,70.46174863387978,48.15983606557377,71,33,6
1973,70.1945205479452,48.58904109589041,43,0,0
1974,70.85479452054794,47.704109589041096,49,25,4
1975,70.33972602739726,47.69315068493151,53,16,0
1976,71.1243169398907,45.3948087431694,50,13,2
1977,72.41506849315068,49.24931506849315,71,28,3
1978,70.37671232876713,46.14657534246575,80,56,28
1979,69.91643835616438,47.04383561643836,61,18,1
1980,73.63934426229508,49.954918032786885,101,80,46
1981,72.07260273972602,50.771232876712325,56,26,8
1982,71.88356164383562,49.175342465753424,70,26,6
1983,70.07808219178082,49.35342465753425,76,52,22
1984,71.46584699453553,49.51912568306011,81,26,4
1985,69.85342465753425,48.821917808219176,59,28,5
1986,71.43424657534247,50.413698630136984,56,17,8
1987,71.6972602739726,49.71780821917808,60,21,1
1988,71.24453551912568,47.85245901639344,71,37,0
1989,69.24794520547945,47.14657534246575,37,6,0
1990,72.73013698630137,50.6013698630137,73,41,11
1991,71.95068493150686,50.657534246575345,66,30,0
1992,70.43169398907104,49.21311475409836,29,1,0
1993,68.5123287671233,47.58904109589041,54,32,13
1994,70.58219178082192,48.83287671232877,43,7,0
1995,70.97397260273972,48.24794520547945,55,36,1
1996,70.55601092896175,47.33469945355191,52,13,1
1997,69.68356164383562,48.11369863013699,41,5,0
1998,73.26529680365296,51.021917808219186,93,57,20
1999,73.28219178082192,49.80045662100456,64,38,12
2000,71.29098360655739,48.90255009107465,73,45,20
2001,72.66803652968044,49.64931506849315,76,44,19
2002,71.29726027397257,48.7488584474886,71,30,1
2003,71.75251141552519,48.67305936073058,59,34,14
2004,71.79052823315119,49.789617486338805,42,11,0
2005,73.49771689497719,49.943378995433775,85,29,2
2006,75.14383561643835,50.75890410958904,90,41,19
2007,71.93287671232876,51.24109589041096,54,17,6
2008,71.74863387978142,49.005464480874316,53,21,6
2009,70.8013698630137,49.25753424657534,57,24,11
2010,72.15890410958905,50.486301369863014,83,42,13
2011,74.33972602739726,50.363013698630134,100,77,44
2012,76.75956284153006,52.385245901639344,98,59,35
2013,70.8013698630137,48.41095890410959,69,32,4
2014,71.02465753424657,48.37534246575343,64,23,6
2015,72.53013698630137,50.62602739726027,73,27,3
2016,74.97267759562841,52.3155737704918,86,46,4
2017,74.22054794520548,51.6972602739726,62,18,3
2018,72.23424657534247,50.38082191780822,87,36,2
