years,TMAX,TMIN,t90,t95,t100
1947,55.56716417910449,40.416666666666664,0,0,0
1948,68.42459016393443,52.36129326047359,23,5,0
1949,69.80283105022829,54.34625570776257,28,5,0
1950,68.14260273972606,52.15342465753424,20,3,0
1951,68.89150684931501,52.40849315068499,20,4,0
1952,69.1425318761384,52.91712204007288,35,12,2
1953,70.32780169602087,54.018734507501605,30,5,0
1954,69.6633007175473,52.368558382257,27,5,0
1955,68.52413568166993,52.21891715590346,26,3,0
1956,68.80828779599273,52.82513661202186,32,1,0
1957,69.30991519895632,53.49628180039139,34,5,0
1958,66.25988258317025,51.208268101761256,29,1,0
1959,69.45694716242663,53.43938356164382,27,2,0
1960,67.1205113192818,52.01541764246683,24,1,0
1961,67.99962491846054,52.18498043052835,26,0,0
1962,66.1244618395303,51.102951728636675,7,0,0
1963,66.50489236790611,50.058904109589,11,1,0
1964,68.18852459016398,51.89877699713764,12,1,0
1965,67.83568166992825,50.972798434442296,9,0,0
1966,66.32027397260278,50.42146118721461,16,1,0
1967,66.3958904109589,50.076712328767144,2,0,0
1968,67.15473588342438,50.91056466302365,25,2,0
1969,66.0409589041096,51.03972602739727,16,0,0
1970,67.20662100456623,51.2993150684931,13,0,0
1971,67.86863013698633,52.58849315068496,9,0,0
1972,67.50601092896177,52.231010928961794,13,1,0
1973,69.04397260273976,52.507123287671206,16,0,0
1974,68.90260273972594,51.755616438356185,14,0,0
1975,69.36904109589042,52.521643835616445,21,1,0
1976,68.45245901639346,49.51106557377048,9,0,0
1977,68.98849315068493,51.08465753424657,33,12,0
1978,66.7195890410959,50.013561643835615,17,1,0
1979,67.8888584474886,51.08835616438356,11,1,0
1980,68.45887978142079,50.72499999999997,41,9,1
1981,68.06712328767124,50.45273972602741,27,7,0
1982,67.86278538812785,51.737899543378994,10,0,0
1983,68.32351598173517,51.978767123287675,33,10,0
1984,68.56238615664844,51.83765938069217,15,0,0
1985,69.37054794520544,52.05456621004568,24,4,0
1986,68.95570776255708,52.385388127853886,29,8,0
1987,68.54018264840182,51.31255707762558,41,8,0
1988,68.22632058287795,50.28233151183971,28,5,0
1989,68.88904109589043,51.62374429223745,33,2,0
1990,72.45981735159816,53.61278538812785,23,6,0
1991,71.73493150684929,53.79063926940641,37,10,0
1992,68.53346994535517,52.07946265938069,22,7,1
1993,69.65205479452052,52.0563926940639,44,18,2
1994,70.84520547945208,52.547031963470346,36,6,0
1995,69.6785388127854,52.49109589041098,36,14,0
1996,67.28296903460844,50.42390710382515,12,1,0
1997,68.09575342465753,51.024200913242,23,6,0
1998,69.79885844748858,54.245662100456606,20,2,0
1999,69.26301369863015,52.922831050228304,24,1,0
2000,67.7254098360656,51.669398907103826,18,0,0
2001,68.68525114155251,52.67671232876713,16,3,0
2002,70.17776255707767,54.41812785388127,35,5,0
2003,67.0885844748859,49.925799086758026,22,0,0
2004,68.52518214936246,52.952868852458984,16,0,0
2005,68.32484018264834,52.444200913242014,31,1,0
2006,69.77484018264843,53.27575342465756,31,6,2
2007,70.51789954337896,53.00931506849319,34,5,0
2008,70.01448087431687,52.84681238615663,28,7,0
2009,68.78981735159819,52.80429223744293,25,0,0
2010,69.28858447488584,52.113470319634686,47,14,2
2011,71.67063926940644,53.15018264840183,38,9,1
2012,70.72650273224048,54.32190346083789,30,6,0
2013,69.09767123287676,52.49977168949772,26,1,0
2014,68.82968036529685,51.858812785388096,23,3,0
2015,71.00712328767123,54.13858447488586,34,5,0
2016,70.96489071038255,54.2762750455373,41,11,0
2017,71.20785388127854,54.165753424657545,29,4,0
2018,70.41607305936074,53.742602739726,30,2,0
