years,TMAX,TMIN,t90,t95,t100
1947,50.1413861752206,32.5596982313919,0,0,0
1948,65.54841538906724,45.055331093660826,16,5,0
1949,67.88680965005712,46.847781274225575,21,6,0
1950,65.33502339261729,44.83684014813262,8,0,0
1951,66.35480837180803,44.935549802144365,21,0,0
1952,66.14126452663841,45.71139479818532,29,5,0
1953,68.10103426727208,46.38006576277706,35,12,1
1954,67.18754198227367,45.04227570293438,28,10,1
1955,66.14773963718518,45.485624187915676,29,7,0
1956,65.63214634122298,45.30697817014421,19,1,0
1957,66.4799968224225,45.82644039249346,31,6,1
1958,63.56335201497615,43.66111267472133,9,0,0
1959,67.56679151941088,45.918949694475664,27,4,0
1960,64.75441118967464,43.68219741585108,12,0,0
1961,65.40807562211268,44.80890217938562,24,0,0
1962,64.70520356087638,43.67300320610304,16,2,0
1963,65.63664989270077,42.562270160733945,21,1,0
1964,66.62284565731015,44.201663836335584,22,3,0
1965,66.06254708584117,44.09553914606057,20,0,0
1966,65.33303033815241,43.71315004690609,36,6,0
1967,65.12606495781878,43.328739205771164,7,0,0
1968,65.93479026773032,44.08618808969519,29,4,0
1969,64.97701979068111,44.667856881475736,14,2,0
1970,66.00073623787972,44.89400072251765,23,0,0
1971,66.24015775466505,45.3494546183011,10,0,0
1972,65.03499702783104,44.63775714361635,13,0,0
1973,67.12511357565735,46.441833956439076,24,2,0
1974,66.72747303694396,45.22827053895736,9,0,0
1975,66.21639893451673,46.15601855719903,13,1,0
1976,65.61452325907243,43.400578296139585,10,0,0
1977,66.30721170471378,44.60148141098532,32,3,0
1978,64.74288781675895,43.48388039874262,12,1,0
1979,64.85447322124318,44.10904941889802,7,0,0
1980,66.03667125463929,44.25475106253791,38,10,0
1981,65.27175293188651,43.99083991202824,15,0,0
1982,65.53584863986447,44.32558771357619,7,0,0
1983,65.90175301940052,44.86060293764224,47,10,0
1984,65.59771736107923,45.23902725983503,14,0,0
1985,66.6295021801078,45.49879573362629,18,2,0
1986,66.48804694384363,45.11667467756146,25,2,0
1987,66.81633341344231,45.157369222142094,34,8,0
1988,65.8483628644632,43.56428871519843,47,17,2
1989,64.63668570432253,44.17433219767119,17,0,0
1990,68.71511566318426,46.44007143833262,12,1,0
1991,68.83565729391974,46.54772090042461,41,14,0
1992,64.86408325673288,43.99676815290396,11,0,0
1993,65.94609189674422,44.85464563571161,37,10,0
1994,66.6487483729002,44.959677959698126,26,5,0
1995,66.19861563568733,45.589939487450835,37,5,0
1996,63.947942689682534,44.502762222711,7,0,0
1997,65.71451008665903,44.60199801141316,21,9,0
1998,68.60452350490785,47.51913148941385,26,2,0
1999,67.27709777061509,45.760212865968306,39,12,0
2000,65.14434686442883,44.54129748894094,9,0,0
2001,66.90968488132872,45.34359651763763,12,2,0
2002,67.20500285572606,46.28038514668248,40,8,0
2003,63.70244462695507,45.353376294669616,8,0,0
2004,65.26231354563684,46.44077974085808,0,0,0
2005,65.59539352200309,45.91774323849667,14,1,0
2006,67.37429574991218,46.819441015605406,28,5,0
2007,66.88279203673042,46.606984294244555,32,5,0
2008,66.17489591464997,46.31064472867748,15,2,0
2009,64.67607807717394,46.37993276130264,7,0,0
2010,66.51310552461237,47.51636710321644,46,9,1
2011,67.06593356415274,48.08733002157659,32,11,0
2012,68.18543956043958,48.4874305680658,31,12,1
2013,64.70874805559737,46.367571002057296,12,0,0
2014,64.14294846705806,44.95506523157207,10,0,0
2015,66.16105223543583,46.84023872246477,18,0,0
2016,67.00694369382897,47.61721761844714,30,5,0
2017,66.99967438953738,48.1395095771808,16,0,0
2018,65.53486796308714,47.93867867292524,22,1,0
