years,TMAX,TMIN,t90,t95,t100
1947,32.37313432835821,20.646766169154226,0,0,0
1948,42.862021857923494,23.69808743169399,0,0,0
1949,42.16849315068493,25.399543378995432,0,0,0
1950,41.84383561643836,24.56438356164384,0,0,0
1951,41.55068493150685,25.598630136986298,0,0,0
1952,43.20446265938068,27.510928961748643,0,0,0
1953,43.426255707762564,28.381506849315066,0,0,0
1954,42.179908675799105,27.68036529680366,0,0,0
1955,40.04566210045663,26.324200913241995,0,0,0
1956,39.02322404371586,24.651183970856103,0,0,0
1957,45.35388127853883,29.222374429223752,0,0,0
1958,43.47168949771692,27.47853881278539,0,0,0
1959,42.761187214611894,25.426484018264837,0,0,0
1960,44.229508196721326,28.293715846994534,0,0,0
1961,40.40776255707761,24.009360730593613,0,0,0
1962,41.90890410958904,26.53904109589041,0,0,0
1963,42.721004566210034,28.083561643835626,0,0,0
1964,39.69977231329688,24.44275956284153,0,0,0
1965,41.049999999999976,27.119589041095892,0,0,0
1966,40.93413568166992,25.786529680365295,0,0,0
1967,42.974881495977385,27.299857577734297,0,0,0
1968,42.744259042414775,27.0728044496487,0,0,0
1969,44.129604261796075,26.715497934333552,0,0,0
1970,42.21554794520546,27.134308545335927,0,0,0
1971,38.42604558303186,22.66221520488644,0,0,0
1972,40.28013270882124,23.51529404111371,0,0,0
1973,40.860730593607315,24.66310502283105,0,0,0
1974,43.03913242009132,26.207351598173524,0,0,0
1975,40.137899543379,24.099771689497715,0,0,0
1976,42.85724043715845,26.80414389799638,0,0,0
1977,44.22566210045662,28.06557077625571,0,0,0
1978,44.29648401826485,28.488036529680386,0,0,0
1979,43.315342465753396,28.234246575342468,0,0,0
1980,41.36498178506377,26.593169398907126,0,0,0
1981,44.28287671232878,29.31164383561644,0,0,0
1982,39.870319634703186,24.29817351598173,0,0,0
1983,42.699771689497716,27.76643835616439,0,0,0
1984,43.533014571948996,28.642076502732237,0,0,0
1985,41.76666666666666,27.13789954337899,0,0,0
1986,43.523972602739725,29.832420091324202,0,0,0
1987,43.81917808219178,30.192465753424653,0,0,0
1988,43.19171220400729,29.93101092896175,0,0,0
1989,41.625342465753434,27.500684931506854,0,0,0
1990,41.74794520547945,26.68470319634703,0,0,0
1991,42.615753424657534,28.680821917808217,0,0,0
1992,40.87745901639345,26.64248633879781,0,0,0
1993,45.768819308545325,30.73575994781475,1,1,1
1994,43.15168949771689,28.012367906066537,1,1,1
1995,43.517234181343746,29.098891063274607,0,0,0
1996,41.9870934166016,25.95633619568045,0,0,0
1997,44.809615133724755,29.54965427266795,0,0,0
1998,43.68900521852578,29.8541943900848,0,0,0
1999,41.357469015003254,26.968232224396612,0,0,0
2000,45.29731990080353,30.25006209637359,0,0,0
2001,45.350554962541274,30.798937812567964,0,0,0
2002,46.72175846984066,32.64254515651776,0,0,0
2003,45.510006652403895,30.95029561762439,0,0,0
2004,45.79295470012683,30.30660443078477,0,0,0
2005,45.77999916749916,30.99398260415384,0,0,0
2006,42.149567346432775,27.44731623466516,1,1,1
2007,42.851120160392924,28.46586681247843,0,0,0
2008,40.55630184966325,26.86221978053996,0,0,0
2009,43.55166475547015,28.662915146229015,0,0,0
2010,43.602277482120364,29.540110185275392,0,0,0
2011,42.576730267449456,27.7499335139746,0,0,0
2012,40.992419158710135,25.88173965151423,0,0,0
2013,44.13156066536206,29.5560485975212,0,0,0
2014,46.510470921772324,31.635743024099213,0,0,0
2015,46.0304189874053,31.478661749209717,0,0,0
2016,47.8294112535916,33.26355361396346,0,0,0
2017,43.76559946902412,28.846536112289535,0,0,0
2018,45.99647018126468,31.369831188598326,0,0,0
2019,48.204994125485946,33.01738274627622,0,0,0
