years,TMAX,TMIN,t90,t95,t100
1947,56.664179104477604,39.8955223880597,0,0,0
1948,71.74408014571945,52.859744990892565,35,8,0
1949,71.85228310502283,53.27168949771689,21,2,0
1950,71.06050228310501,51.74703196347031,17,0,0
1951,71.97808219178083,51.40867579908676,59,5,0
1952,72.07422586520948,51.58857012750456,57,21,2
1953,72.17465753424658,51.98630136986301,47,3,0
1954,73.01689497716895,51.165525114155216,73,27,1
1955,71.77625570776259,51.30684931506851,33,1,0
1956,72.28506375227691,52.18670309653915,41,3,0
1957,71.65388127853878,52.46712328767122,41,9,0
1958,69.89200913242011,49.14908675799086,23,2,0
1959,71.69680365296803,50.805022831050216,36,9,0
1960,70.04690346083785,48.78916211293258,31,3,0
1961,70.11872146118728,48.67305936073064,10,0,0
1962,70.59634703196345,48.947031963470295,39,0,0
1963,69.82511415525113,47.509589041095886,12,0,0
1964,69.95355191256829,48.76912568306011,12,1,0
1965,70.62876712328767,49.22328767123288,6,0,0
1966,68.88173515981735,47.75114155251143,14,2,0
1967,69.81095890410957,46.69315068493151,1,0,0
1968,69.11156648451733,46.55646630236795,22,3,0
1969,69.52602739726028,47.031963470319646,29,7,0
1970,71.25616438356164,47.93287671232878,30,3,0
1971,70.81506849315069,48.52191780821918,8,0,0
1972,70.23633879781421,48.23224043715847,6,0,0
1973,70.83287671232877,49.128767123287666,9,0,0
1974,71.69041095890411,49.63150684931506,4,0,0
1975,70.67123287671231,49.25753424657535,7,0,0
1976,69.73087431693989,45.889344262295076,6,0,0
1977,70.7150684931507,47.60958904109589,35,5,0
1978,70.72465753424656,47.68904109589041,27,2,0
1979,69.83835616438354,48.98356164383562,17,0,0
1980,71.68579234972678,49.528688524590166,63,18,2
1981,71.0931506849315,48.393150684931506,36,3,0
1982,70.68356164383562,49.628767123287666,5,0,0
1983,69.05342465753425,48.26027397260274,33,10,0
1984,70.82650273224044,49.296448087431685,8,0,0
1985,70.63972602739727,50.14109589041096,13,1,0
1986,73.06438356164385,51.32328767123288,53,15,2
1987,71.76164383561644,50.286301369863004,36,5,0
1988,71.61338797814206,49.53005464480874,38,6,0
1989,72.20821917808219,51.80958904109588,26,0,0
1990,74.23150684931507,52.61780821917807,51,15,0
1991,71.5150684931507,52.134246575342466,23,0,0
1992,69.87704918032786,50.360655737704924,9,0,0
1993,71.77123287671233,51.56438356164385,55,14,0
1994,71.74657534246576,52.969863013698635,8,0,0
1995,72.81369863013698,53.09315068493151,50,24,3
1996,72.77868852459017,52.745901639344254,52,9,0
1997,70.43287671232876,51.95616438356164,14,0,0
1998,73.11598173515985,54.20958904109589,51,4,0
1999,73.44132420091324,52.07922374429222,48,14,0
2000,72.0207194899818,50.721994535519116,43,7,0
2001,72.06118721461185,51.231963470319634,3,0,0
2002,72.212100456621,51.93858447488584,37,0,0
2003,71.26438356164383,51.42123287671233,3,0,0
2004,71.71265938069216,52.30988160291437,6,0,0
2005,71.98401826484016,51.721004566210034,22,0,0
2006,73.10776255707762,51.792237442922385,43,6,0
2007,73.82397260273976,51.63232876712326,44,17,1
2008,71.49125683060116,50.290300546448115,22,1,0
2009,70.45232876712333,50.931095890410965,22,0,0
2010,71.49684931506849,50.24908675799089,66,7,0
2011,73.41584474885845,51.74484018264841,76,3,0
2012,74.34084699453553,53.545309653916206,31,7,3
2013,70.53242009132416,51.63470319634707,5,0,0
2014,71.81552511415525,50.661187214611864,26,0,0
2015,73.5287671232877,54.01278538812786,47,6,0
2016,75.5601092896175,54.006830601092936,82,16,0
2017,74.36940639269409,54.376712328767155,29,0,0
2018,73.02237442922373,53.726484018264806,49,0,0
2019,74.89617486338797,54.381602914389774,80,17,0
