years,TMAX,TMIN,t90,t95,t100
1947,43.369402985074636,27.09701492537313,0,0,0
1948,61.55145719489982,35.728369763205826,23,2,0
1949,62.53264840182647,35.418264840182665,29,15,2
1950,62.352511415525115,37.282420091324205,33,14,1
1951,62.05703196347029,36.08260273972605,33,15,3
1952,62.79918032786885,36.28806921675773,34,3,0
1953,64.16260273972603,38.58771689497718,37,12,2
1954,63.89000000000001,37.12287671232876,41,7,0
1955,57.233744292237425,34.60164383561644,25,2,0
1956,59.00109289617484,35.91056466302367,12,3,0
1957,59.17913242009129,36.45273972602741,14,0,0
1958,62.45826484018268,39.19607305936075,23,3,0
1959,61.296803652967995,36.732785388127844,31,12,1
1960,60.73943533697635,37.10651183970853,32,13,1
1961,61.52205479452054,38.28397260273971,44,14,2
1962,59.88246575342473,36.94890410958904,12,3,0
1963,60.88315068493153,38.634794520547956,15,1,0
1964,57.88665755919853,35.249316939890704,16,0,0
1965,60.368630136986326,37.64182648401828,12,1,0
1966,61.900091324200936,37.88365296803655,16,2,0
1967,61.47634703196346,38.37109589041093,38,7,0
1968,60.565755919854276,37.399499089253176,31,10,1
1969,60.67689497716891,37.02114155251145,23,3,0
1970,59.77940639269413,37.17420091324204,25,2,0
1971,61.80890410958904,37.987899543378994,47,22,2
1972,61.77322404371585,37.814207650273225,30,9,0
1973,63.46972602739724,39.47904109589044,40,14,1
1974,62.61109589041093,38.03534246575343,42,14,2
1975,60.2287671232877,37.39904109589043,26,13,1
1976,61.64116575591986,36.07131147540984,26,5,0
1977,62.23835616438356,37.17356164383561,43,15,0
1978,62.15808219178078,37.26876712328768,29,13,2
1979,62.49022831050228,36.63360730593608,36,11,1
1980,62.48506375227687,37.88834244080142,19,4,1
1981,63.805753424657574,38.482465753424705,40,13,1
1982,60.228584474885864,36.62410958904108,30,4,0
1983,61.988356164383546,39.365479452054785,31,9,3
1984,59.12964480874321,36.86202185792352,39,8,1
1985,58.63643835616436,33.65278538812786,42,15,2
1986,63.88689497716893,39.02164383561645,52,16,1
1987,65.70968036529683,39.0037899543379,39,13,0
1988,64.53169398907103,37.76429872495449,51,26,4
1989,61.89223744292241,36.92566210045662,37,18,3
1990,63.41780821917809,37.76392694063928,50,23,9
1991,62.303652968036566,37.345662100456636,48,14,1
1992,65.19904371584695,39.57367941712203,39,18,6
1993,59.789908675799076,35.93397260273972,13,1,0
1994,64.04543378995429,38.56214611872147,53,25,4
1995,63.021552511415564,39.02493150684931,29,4,0
1996,62.804280510018245,39.02267759562842,42,15,2
1997,63.20433789954337,39.8678082191781,27,6,0
1998,63.071141552511435,40.902739726027406,47,24,3
1999,63.182694063926974,39.15529680365298,40,11,0
2000,60.54172521467606,37.95829430132707,25,7,0
2001,61.761872146118776,38.56831050228312,29,10,2
2002,60.992648401826536,38.402739726027384,25,9,3
2003,63.233698630136935,40.63863013698632,37,19,4
2004,61.48160291438981,39.569171220400705,30,11,0
2005,61.42296803652974,38.664977168949754,35,14,1
2006,62.0474885844749,39.5609132420091,39,15,2
2007,62.94305936073061,39.464703196347045,49,18,3
2008,60.51716757741343,37.62103825136614,32,10,0
2009,60.47118721461185,38.649543378995425,27,8,0
2010,60.052739726027404,39.0710958904109,16,4,0
2011,59.288082191780845,37.78205479452056,21,3,0
2012,62.37955373406201,40.02149362477235,35,10,3
2013,59.31529680365297,37.771689497716906,27,6,1
2014,60.97922374429224,40.51917808219178,23,2,0
2015,62.25342465753425,41.53310502283105,19,8,1
2016,61.123633879781416,40.02755009107468,16,1,0
2017,59.73858447488585,39.483789954337894,30,4,0
2018,60.744292237442934,39.69041095890412,26,3,1
2019,58.92008196721309,38.58834244080146,15,0,0
