years,TMAX,TMIN,t90,t95,t100
1947,44.145842217483995,27.15639932207096,0,0,0
1948,59.06369039808207,38.82992881872114,7,3,0
1949,62.62007504966115,41.393087980861004,21,6,0
1950,59.62650164223346,39.11624319662978,3,0,0
1951,60.07041346819909,40.33471108943456,0,0,0
1952,60.60126254509093,40.57883317261332,14,2,0
1953,62.1845240821635,41.548724665545116,10,3,0
1954,59.48343495725614,40.07979606550622,2,0,0
1955,59.50616106476237,40.41645895560823,16,2,0
1956,58.59229049399454,39.1115719626936,5,0,0
1957,61.44963844854973,40.20841580913679,11,1,0
1958,57.83668474071093,39.143546405946616,2,0,0
1959,60.53240295904626,40.3754455091109,9,0,0
1960,59.55181380550235,39.092819293638975,3,0,0
1961,59.10928838285004,39.35613769791853,3,0,0
1962,57.97599044989161,37.01614906832298,1,0,0
1963,59.543576623892314,37.79267421083979,12,6,0
1964,59.42297992654368,37.862481808205224,8,1,0
1965,59.159631119327365,37.82554659158593,5,0,0
1966,59.65536845524925,38.46266949250869,7,1,0
1967,58.17745379000589,38.10448106092835,2,0,0
1968,58.675188706122455,37.885809628717695,8,0,0
1969,59.04759295499022,39.346575342465755,9,0,0
1970,58.78740025112865,38.35927314496106,10,0,0
1971,59.550848010437,38.11507738836504,5,0,0
1972,57.520134694660136,37.71212000858247,1,0,0
1973,60.74258328469576,40.5740564882526,11,0,0
1974,59.48779379956739,38.2562893535208,2,0,0
1975,60.116290040168884,39.61999553678713,6,3,1
1976,59.6754991365647,37.98507906626972,4,0,0
1977,59.75544752291688,39.11814913997323,7,2,0
1978,58.6298846431147,37.25351357846672,4,1,0
1979,59.75880626223096,40.20343942046895,4,0,0
1980,58.89510148321623,37.73902903889961,14,1,0
1981,59.32348245041826,38.56864078003232,4,1,0
1982,58.868187134502875,38.20378274453257,5,0,0
1983,60.44413682608346,40.29270608026921,16,0,0
1984,59.679709519700864,39.65236383307997,6,0,0
1985,59.29744292237443,39.295270711024116,1,0,0
1986,59.09393014499721,39.4503012096451,0,0,0
1987,59.4575004594484,39.05584027218196,8,1,0
1988,59.680641037931785,39.218318652357894,23,2,0
1989,58.7702107336566,38.65961707922775,4,0,0
1990,61.44912869738141,41.168464346805784,5,0,0
1991,61.560314027076814,40.370752223023295,11,4,0
1992,57.992998340166295,37.99455074523337,2,0,0
1993,59.422125290394995,38.63847712889532,9,3,0
1994,60.19710966915002,39.10982800137597,9,0,0
1995,59.905837586176034,39.24335067456446,9,2,0
1996,58.875970523383344,39.43811762074207,1,0,0
1997,59.25337847708174,39.313628888229154,9,0,0
1998,61.62345392330975,42.19611415421075,2,0,0
1999,62.006732259204036,41.04393410837721,14,2,0
2000,58.92156443777967,39.2818226558426,0,0,0
2001,61.150852522502305,40.52595159456385,12,1,0
2002,60.997936774363204,40.944934549270464,22,3,0
2003,57.97216674530558,38.99495518874611,5,0,0
2004,58.34990419416648,39.1055401793107,1,0,0
2005,59.193804093047,39.76703196347031,8,0,0
2006,60.927326949405526,41.99975918463111,6,1,0
2007,59.527174235333824,39.567229540362376,11,0,0
2008,59.61975172249947,40.22736655579312,5,1,0
2009,58.33722264850502,39.56534409525359,3,0,0
2010,61.45054460627716,41.95765832837003,12,2,0
2011,60.65549238750138,41.257360681605455,4,2,0
2012,62.1752290983349,42.732160118134814,8,0,0
2013,59.971403956178825,40.309882469724016,15,1,0
2014,59.20736171035638,39.2580034523745,1,0,0
2015,60.27271380098959,39.417336321609696,8,0,0
2016,62.077900247768326,41.107571797807005,11,1,0
2017,60.600175970545294,41.26385552109197,6,0,0
2018,60.174735528517644,41.672982268872644,15,0,0
2019,59.44653902455355,40.41274103889548,6,0,0
