years,TMAX,TMIN,t90,t95,t100
1947,41.03150912106136,28.103648424543948,0,0,0
1948,59.1884519472634,41.34126225171308,14,4,0
1949,60.767563304275654,42.68638370001384,19,3,0
1950,57.43221807112213,39.27318112633183,3,0,0
1951,57.37866653894054,39.27003001564647,2,0,0
1952,60.201052590396756,41.82328805074708,22,3,0
1953,61.761025732258545,43.36051961736896,25,13,1
1954,60.700654642161474,43.04956376956376,25,5,0
1955,60.69600381353809,41.97726629534847,33,4,0
1956,60.54921490167384,42.49247232730839,12,2,0
1957,58.77625671132514,41.79181494304781,11,0,0
1958,57.96996537708869,40.55313061367857,2,0,0
1959,59.303400070249424,41.875091027693756,24,0,0
1960,58.02130860942332,41.34001108181437,11,2,0
1961,58.96235111920043,41.584145990995296,9,0,0
1962,58.43639141680239,40.713787399814855,13,0,0
1963,58.99365296803649,39.28791614777917,12,1,0
1964,60.812075674780495,41.48317188276204,29,2,0
1965,59.07146533831469,40.89435865504362,9,0,0
1966,58.84292237442924,40.03376919883768,15,4,0
1967,57.93341220423413,40.050780406807775,4,0,0
1968,59.78429789700284,41.21158304355024,20,0,0
1969,57.99939809049399,40.16066832710671,8,0,0
1970,58.82465785356197,40.79896254430501,11,3,0
1971,61.020394354503935,40.86282274802825,20,4,0
1972,57.047282726381034,39.51622084654872,10,0,0
1973,60.85657055273494,43.559253759938734,16,1,0
1974,59.39460356994605,40.91930676629306,10,3,0
1975,59.73676767676764,41.87218762972192,9,0,0
1976,58.973193685488745,38.521247999116845,10,2,0
1977,60.173181126331784,40.53108066971081,16,4,0
1978,58.061240487062435,38.74865296803653,9,0,0
1979,57.49912154816265,38.59169602087411,2,0,0
1980,58.60462204007288,39.4504022465088,20,2,0
1981,59.55230593607306,39.97428462709285,5,0,0
1982,58.40308980213085,39.118873668188726,2,0,0
1983,59.457290715372885,41.26663622526637,35,4,0
1984,59.22987249544628,40.33513964784458,13,1,0
1985,58.38417047184168,39.61619482496191,7,0,0
1986,60.10611872146117,41.40901065449008,8,1,0
1987,61.925327245053246,42.92283105022833,24,2,0
1988,60.875614754098386,40.006967213114756,43,21,4
1989,58.10481082844093,39.54408349641223,6,1,0
1990,61.451744944553155,43.10015764296589,8,1,0
1991,61.27819634703197,42.81862361382909,31,5,0
1992,57.91976212160641,40.999484994362064,1,0,0
1993,57.65868667101543,41.18793215916503,4,0,0
1994,59.822466840617494,40.82490758860625,9,1,0
1995,59.368688845401145,40.51413894324853,20,7,2
1996,57.1658697632058,38.1923139474369,7,0,0
1997,57.95191128506193,39.4908284409654,13,0,0
1998,62.68826484018265,44.56579147640793,10,1,0
1999,61.662802684378,41.519132420091346,22,2,1
2000,59.77617707125905,40.4671082408787,2,0,0
2001,60.863774733637726,41.626453576864535,16,0,0
2002,60.41528158295285,41.76429223744294,22,0,0
2003,58.7150684931507,39.41905631659056,9,0,0
2004,59.50645112325439,40.814473284760155,1,0,0
2005,60.82485955444861,42.09689774456899,22,2,0
2006,60.71075965130761,43.32953922789538,11,3,0
2007,60.26283520132834,42.0546886674969,8,0,0
2008,57.93914555389967,39.372578241430716,2,0,0
2009,57.54951432129512,39.687721046077186,4,0,0
2010,60.56518057285182,42.42699875467,15,0,0
2011,59.53266085512661,42.28284073612843,15,4,0
2012,63.524294861180145,44.64564773417233,30,8,2
2013,57.75656565656563,39.98956690189565,8,0,0
2014,56.52637055486372,38.40599695585999,0,0,0
2015,59.57127992251284,41.710372215303714,4,0,0
2016,60.965076999503225,43.89841033283656,8,0,0
2017,60.84414003044141,42.9304856787048,10,0,0
2018,59.053900650338996,41.706940639269405,16,1,0
2019,58.453566401722156,41.13865499254842,8,0,0
