years,TMAX,TMIN,t90,t95,t100
1947,31.95522388059701,13.06060606060606,0,0,0
1948,52.265027322404364,29.409836065573767,1,0,0
1949,52.62328767123286,29.495890410958904,0,0,0
1950,56.52191780821918,30.775342465753425,0,0,0
1951,54.31917808219178,28.175342465753427,0,0,0
1952,55.95491803278689,29.382513661202182,0,0,0
1953,56.64246575342465,30.58082191780822,0,0,0
1954,59.61917808219178,31.735616438356168,1,0,0
1955,56.28493150684932,28.97808219178082,0,0,0
1956,57.4344262295082,29.33606557377049,0,0,0
1957,54.88082191780822,29.79178082191781,0,0,0
1958,61.02328767123288,33.673972602739724,20,0,0
1959,56.27899543378993,29.675799086757984,2,0,0
1960,57.19125683060109,29.853825136612024,0,0,0
1961,55.85616438356164,28.790410958904108,0,0,0
1962,58.324657534246576,30.58630136986301,0,0,0
1963,60.02602739726027,32.52328767123288,0,0,0
1964,57.10109289617486,29.546448087431692,2,0,0
1965,55.558904109589044,29.650684931506852,0,0,0
1966,57.375342465753434,28.471232876712328,0,0,0
1967,57.084931506849315,30.27168949771689,0,0,0
1968,55.26775956284153,27.939890710382514,1,0,0
1969,55.12100456621004,29.109132420091324,0,0,0
1970,54.43424657534246,28.58493150684932,0,0,0
1971,54.6068493150685,28.976712328767125,1,0,0
1972,54.961748633879786,29.881147540983605,0,0,0
1973,53.602739726027394,29.234246575342464,0,0,0
1974,56.48904109589043,29.778082191780825,0,0,0
1975,56.228767123287675,29.171232876712327,0,0,0
1976,56.37431693989071,28.98770491803279,0,0,0
1977,58.47397260273973,30.5013698630137,0,0,0
1978,56.37671232876714,29.315068493150694,0,0,0
1979,55.664383561643845,28.45205479452055,2,0,0
1980,58.94535519125683,31.639344262295083,10,3,0
1981,60.398173515981725,32.505479452054786,2,0,0
1982,56.62237442922378,30.77990867579907,1,0,0
1983,57.35662100456622,30.782191780821904,2,0,0
1984,57.81238615664846,29.66211293260473,0,0,0
1985,57.64018264840178,28.59589041095889,2,0,0
1986,60.26940639269407,31.49497716894977,0,0,0
1987,58.584931506849344,32.356621004566215,2,0,0
1988,59.02550091074685,30.77003642987249,1,0,0
1989,57.69771689497716,30.74520547945204,1,0,0
1990,58.53196347031965,31.319178082191787,3,0,0
1991,58.91369863013698,30.973059360730602,1,0,0
1992,59.07923497267755,30.86065573770493,1,0,0
1993,55.49178082191778,30.063013698630115,0,0,0
1994,59.55456621004565,34.08310502283105,2,2,2
1995,57.39292237442925,33.145662100456626,0,0,0
1996,58.82900728597449,33.129326047358816,0,0,0
1997,57.996347031963474,32.47831050228311,0,0,0
1998,60.44634703196346,34.3796803652968,4,0,0
1999,61.34543378995433,34.86027397260274,0,0,0
2000,62.06193078324225,34.89640255009107,1,0,0
2001,61.77123287671233,34.28447488584474,1,0,0
2002,61.92146118721461,33.93470319634703,8,1,0
2003,61.57100456621005,34.49132420091324,9,0,0
2004,57.3787340619308,32.72030965391622,0,0,0
2005,57.510684931506795,35.714109589041115,0,0,0
2006,59.23479452054795,32.320502283105,2,0,0
2007,59.216164383561605,32.22136986301373,1,0,0
2008,61.93838797814211,29.958743169398893,14,4,0
2009,60.272648401826494,37.39319634703197,9,2,0
2010,58.393196347032,34.38237442922379,0,0,0
2011,58.50648401826479,31.84675799086759,0,0,0
2012,61.17167577413485,34.20173041894353,5,0,0
2013,57.351780821917814,31.80913242009129,0,0,0
2014,58.71945205479456,32.548036529680346,0,0,0
2015,58.91671232876704,34.31963470319633,0,0,0
2016,60.008834244080184,34.043169398907146,0,0,0
2017,60.084200913242036,34.70429223744293,0,0,0
2018,59.7172863666014,33.686366601435054,1,0,0
2019,57.770752016653645,32.23158990372104,0,0,0
