years,TMAX,TMIN,t90,t95,t100
1947,46.11194029850746,32.00746268656717,0,0,0
1948,63.02823315118397,42.82172131147541,15,3,0
1949,64.52589041095888,44.96232876712326,21,0,0
1950,61.02945205479454,41.835753424657504,3,0,0
1951,62.143131115459916,42.32228310502282,10,1,0
1952,64.26776606817587,48.10972872755659,33,8,0
1953,65.94408023483365,43.75342465753425,39,13,0
1954,64.41183953033268,43.65225048923679,24,4,1
1955,64.52742335290283,43.15476842791913,36,8,0
1956,63.57958626073381,43.059823054905046,11,0,0
1957,63.570058708414926,42.552038486627545,20,1,0
1958,60.284735812133036,40.324931506849296,3,0,0
1959,64.56764514024786,42.927919112850624,30,6,0
1960,61.60922456414261,41.289812646370024,6,0,0
1961,62.24403131115459,41.998630136986286,9,0,0
1962,61.72700587084152,41.321852576647046,14,1,0
1963,61.8851272015656,39.36332681017613,11,1,0
1964,63.87659380692169,41.83934426229509,29,1,0
1965,62.97278538812784,42.39059360730597,10,1,0
1966,61.040456621004545,41.077899543379004,18,3,0
1967,61.58867579908679,41.52840182648406,6,0,0
1968,62.011839708561,42.07067395264117,17,0,0
1969,61.79013698630135,41.91442922374425,9,0,0
1970,62.99228310502279,42.79059360730593,11,1,0
1971,63.051506849315096,42.126164383561616,7,1,0
1972,61.11024590163936,42.046038251366134,6,0,0
1973,63.79237442922375,44.35666666666667,12,0,0
1974,62.81232876712329,41.87511415525114,5,0,0
1975,63.27260273972602,42.61689497716896,11,1,0
1976,61.953551912568315,39.05601092896175,10,0,0
1977,62.836529680365295,41.0986301369863,15,2,0
1978,60.840182648401836,39.955936073059355,13,1,0
1979,61.35159817351598,40.505251141552506,0,0,0
1980,61.885928961748625,41.00227686703097,16,3,0
1981,61.70022831050227,40.57625570776256,4,0,0
1982,63.053424657534244,40.854566210045654,3,0,0
1983,62.97100456621008,42.452511415525095,30,6,1
1984,62.03460837887071,41.895719489981786,9,0,0
1985,62.24840182648402,41.703196347031934,4,0,0
1986,63.52511415525117,43.740639269406394,10,0,0
1987,64.82694063926942,43.50456621004565,21,0,0
1988,63.26183970856102,40.58515482695812,40,14,1
1989,61.04246575342465,41.18538812785389,6,0,0
1990,64.90045662100457,44.2470319634703,9,1,0
1991,65.63196347031958,44.996347031963474,27,4,0
1992,61.89253187613841,42.730418943533714,0,0,0
1993,62.1794520547945,43.130593607305975,16,0,0
1994,63.112785388127854,41.66392694063928,10,2,0
1995,62.251141552511385,41.68173515981736,18,2,0
1996,61.03142076502735,41.883879781420774,11,0,0
1997,61.35022831050226,42.1456621004566,7,1,0
1998,65.23881278538812,45.5837899543379,15,1,0
1999,65.15593607305937,43.286073059360746,33,3,0
2000,62.096994535519116,42.49408014571949,1,0,0
2001,63.83173515981735,44.38538812785388,9,0,0
2002,63.74657534246575,44.287671232876704,26,0,0
2003,60.71415525114155,41.765068493150686,1,0,0
2004,61.99476320582877,42.963342440801455,0,0,0
2005,62.62511415525113,43.10639269406393,13,1,0
2006,63.903196347031965,44.41666666666665,11,0,0
2007,64.35433789954337,43.78333333333332,23,1,0
2008,62.55669398907103,41.990437158469966,11,0,0
2009,62.28310502283106,42.13972602739727,2,0,0
2010,63.18127853881282,42.98196347031964,19,0,0
2011,63.30136986301366,44.503424657534254,21,4,0
2012,66.1669398907104,44.82718579234973,30,8,1
2013,61.81095890410961,43.23305936073058,9,0,0
2014,60.59365296803653,41.03721461187215,2,0,0
2015,63.08155251141552,43.327990867579906,7,0,0
2016,65.03142076502732,45.025956284153004,19,0,0
2017,64.56826484018265,44.9326484018265,7,0,0
2018,62.93767123287671,44.83219178082192,20,0,0
2019,63.99726775956284,44.121584699453564,23,0,0
