years,TMAX,TMIN,t90,t95,t100
1947,70.18656716417911,56.47761194029851,1,0,0
1948,78.90664845173045,63.97677595628414,67,0,0
1949,79.62876712328769,65.12374429223745,69,5,0
1950,81.38744292237443,66.1458904109589,71,4,0
1951,79.72123287671229,64.67305936073059,72,1,0
1952,80.1454918032787,63.57172131147541,74,0,0
1953,81.8769406392694,65.24977168949772,106,29,0
1954,82.93315068493149,64.79890410958906,115,16,2
1955,81.1137899543379,64.80917808219179,91,5,0
1956,80.96174863387978,64.31170309653915,95,0,0
1957,80.4457534246575,65.25602739726024,85,3,0
1958,78.49945205479452,63.875616438356154,92,5,0
1959,78.48945205479455,63.08643835616438,67,3,0
1960,78.5595628415301,63.22677595628418,74,5,0
1961,79.01863013698637,63.436712328767214,54,2,0
1962,81.41041095890407,64.04739726027397,117,19,4
1963,80.7501369863014,63.72328767123285,103,7,0
1964,80.5120218579235,63.43387978142074,99,13,0
1965,81.01095890410959,64.42027397260271,94,6,0
1966,79.14684931506855,62.2761643835616,70,3,0
1967,79.88547945205475,63.602191780821954,60,1,0
1968,78.37540983606556,62.89180327868853,50,0,0
1969,80.71232876712328,63.934794520547975,98,28,0
1970,79.43465753424664,62.94575342465753,67,3,0
1971,82.13589041095896,65.53369863013697,84,4,0
1972,80.66393442622953,64.36885245901645,81,1,0
1973,80.1152054794521,63.68410958904109,69,2,0
1974,80.57863013698629,63.9939726027398,78,0,0
1975,81.33917808219181,64.09260273972602,74,8,0
1976,78.8508196721311,62.12103825136614,67,2,0
1977,81.19726027397263,63.86301369863017,116,22,1
1978,79.33643835616434,62.709726027397274,92,4,0
1979,79.13712328767122,62.856164383561676,72,4,0
1980,80.74795081967216,63.584517304189404,102,13,0
1981,81.73287671232877,64.37739726027397,118,13,0
1982,80.62420091324202,63.6810502283105,109,12,0
1983,79.91986301369863,62.042009132420084,84,16,0
1984,80.76935336976321,63.53073770491803,95,4,0
1985,79.60365296803654,63.71484018264844,81,17,0
1986,81.17990867579913,64.5148401826484,106,13,0
1987,80.79566210045662,63.01894977168951,87,15,0
1988,81.61475409836065,62.70560109289619,98,18,2
1989,81.037899543379,63.045433789954345,118,26,0
1990,82.19680365296803,65.00296803652971,122,14,1
1991,80.70570776255711,65.12625570776255,97,16,0
1992,80.14367030965394,64.14571948998181,92,3,0
1993,80.01621004566209,63.369634703196354,87,9,0
1994,80.91735159817355,64.50867579908682,82,7,0
1995,80.87351598173511,63.87831050228314,101,16,0
1996,81.7299635701275,62.99430783242258,107,19,0
1997,79.91757990867579,62.5958904109589,101,26,0
1998,82.11552511415526,65.43356164383562,114,44,1
1999,83.22557077625574,63.0164383561644,95,19,0
2000,83.19489981785063,63.671675774134854,122,54,8
2001,81.22283105022831,63.41164383561644,100,26,0
2002,81.0771689497717,63.816438356164404,96,10,0
2003,80.31780821917809,63.31552511415526,88,4,0
2004,81.09193989071036,64.2370218579235,89,7,0
2005,82.46630136986303,64.17808219178083,113,44,3
2006,83.49703196347032,64.34287671232876,108,16,0
2007,80.65543378995436,64.27570776255708,88,2,0
2008,82.047131147541,63.50068306010928,88,5,0
2009,83.07442922374427,64.22972602739729,132,62,0
2010,81.08904109589041,63.13652968036526,104,25,1
2011,83.2989954337899,64.48159817351598,134,61,4
2012,83.59949908925319,66.2802367941712,109,38,3
2013,80.73470319634701,63.955022831050215,95,3,0
2014,79.49671232876713,63.165388127853916,91,4,0
2015,79.6280039138943,64.37881930854532,82,3,0
2016,81.89881602914384,66.44398907103825,107,2,0
2017,82.5635616438356,65.95634703196347,88,4,0
2018,79.96493150684927,65.04059360730585,91,1,0
2019,80.73743169398914,65.22568306010932,118,9,0
