years,TMAX,TMIN,t90,t95,t100
1947,46.849087893864,20.51907131011608,0,0,0
1948,63.060033394049775,32.638881299332105,14,0,0
1949,63.317882938978855,34.17308703473089,9,0,0
1950,64.71158156911582,34.628966376089664,2,0,0
1951,61.771083437110775,32.905516811955174,16,1,0
1952,64.25664431197218,34.27179996688193,26,2,0
1953,65.25783312577836,35.83576864535767,20,1,0
1954,67.80249619482501,36.75088418430885,25,6,2
1955,63.91603985056038,33.93026151930261,15,1,0
1956,65.41991499696421,34.942722305017355,12,1,0
1957,62.77454545454545,34.768019925280235,11,1,0
1958,64.24205064342057,35.193778884737796,16,0,0
1959,63.24181818181816,33.70138093261381,12,0,0
1960,63.24157973174368,33.3607054148038,35,0,0
1961,61.881423827314215,33.178882715458066,6,0,0
1962,64.53552611771791,32.538830347734425,17,2,0
1963,65.2021802398515,34.2926338501681,18,1,0
1964,62.58834244080141,32.19455053143577,14,0,0
1965,62.4174017763059,33.113021225349996,3,0,0
1966,64.4808251109621,33.348554869787755,16,0,0
1967,63.22441964428268,33.052648721141864,1,0,0
1968,63.06984727476532,32.49610862725616,10,0,0
1969,62.19271413517986,33.71939886597421,12,1,0
1970,62.578380751668405,32.926396206533205,7,0,0
1971,62.42991953252223,32.101399240029394,10,1,0
1972,62.95341530054654,32.56365292266932,7,0,0
1973,61.151250956045466,31.867464590204342,9,2,0
1974,63.590826844388545,32.40330623714184,10,0,0
1975,62.95336930953371,31.606802269268012,8,0,0
1976,63.849550146271454,32.426613125793445,9,2,0
1977,65.20761796042613,34.469608412896086,17,2,0
1978,62.220141730415705,32.14019859896572,18,0,0
1979,61.62506849315064,31.883798256537982,13,2,0
1980,63.9713156151681,33.91231992051665,21,1,0
1981,65.4627742120893,35.39849219273879,13,0,0
1982,62.28275696905837,32.74667337228976,10,2,0
1983,60.5916875818245,32.41597390433008,8,0,0
1984,59.776104883946026,31.84660616558518,1,0,0
1985,59.48826886919152,31.282673918882647,4,0,0
1986,62.22339175396184,33.59564464141822,2,0,0
1987,60.58490464679022,32.2693034291342,1,0,0
1988,61.27524978570658,31.968520750741124,1,0,0
1989,61.139268958724976,31.33718528964097,12,3,0
1990,61.98204136449097,32.60416218999013,11,2,0
1991,61.434867714209005,32.589788700868475,3,0,0
1992,61.56030572520445,32.95054176041999,1,0,0
1993,59.61706173336914,30.935692541856948,4,0,0
1994,63.20950801325094,33.111740979496844,7,0,0
1995,61.01252334940217,31.94225030747698,15,0,0
1996,62.246454968719384,31.955594882953672,4,0,0
1997,60.77960297693181,31.71420497206524,4,0,0
1998,62.508423285337535,33.28540751666661,10,2,0
1999,62.76821448771601,33.50791941689437,2,0,0
2000,63.127011127627064,33.992266880844916,11,0,0
2001,62.95605906371662,34.47990174361407,11,0,0
2002,62.53761064872089,32.882087483028485,17,0,0
2003,62.80226261359139,34.591398982149514,17,1,0
2004,60.96384779432179,33.92398833516913,2,0,0
2005,62.23131082007791,34.54981907995609,12,3,0
2006,62.17153259973283,34.48685453090272,5,0,0
2007,61.68131895772661,34.71038948963703,8,0,0
2008,60.874383741794674,32.77113238641125,8,1,0
2009,59.694089254208784,33.109892450834145,0,0,0
2010,61.256670913543864,34.18440603452599,3,0,0
2011,60.820913439645594,34.060254421202934,2,0,0
2012,64.49991905968254,35.99999866327171,14,4,0
2013,60.63897443702922,33.69820928183939,7,0,0
2014,61.06019263942546,33.88964519818302,1,0,0
2015,61.785783922207976,35.61385841031224,0,0,0
2016,62.83072605575217,35.411473477333544,1,0,0
2017,62.91864396457661,35.70410888145674,3,0,0
2018,62.182629294271294,34.63357218679671,9,0,0
2019,60.51793285157856,33.39126396471194,6,0,0
