years,TMAX,TMIN,t90,t95,t100
1947,40.514925373134325,26.432835820895523,0,0,0
1948,61.0437158469945,40.398451730418955,30,10,1
1949,61.31187214611875,40.67899543378994,21,1,0
1950,58.48082191780822,37.428310502283104,1,0,0
1951,56.38949771689493,37.718264840182684,7,0,0
1952,60.4708561020036,40.01229508196719,20,5,0
1953,62.73881278538815,40.847031963470286,36,9,0
1954,62.14474885844752,41.189041095890396,31,10,2
1955,61.165296803652936,39.70502283105022,44,18,3
1956,61.4813296903461,39.821948998178506,32,8,2
1957,59.244748858447494,40.4703196347032,24,9,2
1958,59.025570776255684,39.35799086757991,9,0,0
1959,58.51689497716898,40.11963470319637,20,1,0
1960,57.74954462659387,38.8952641165756,16,1,0
1961,58.40091324200915,39.37808219178083,12,0,0
1962,58.53333333333334,39.63378995433789,9,0,0
1963,60.161643835616424,40.442922374429216,19,4,0
1964,61.094717668488165,40.66848816029143,19,2,0
1965,59.33698630136988,39.900456621004565,11,5,0
1966,59.663926940639286,38.88401826484017,14,6,0
1967,59.663013698630145,39.06757990867579,8,1,0
1968,59.45673952641166,39.265027322404386,14,1,0
1969,57.47762557077626,39.108675799086754,5,0,0
1970,59.253881278538856,39.78630136986301,19,5,0
1971,59.60091324200914,40.39269406392693,13,3,0
1972,56.83424408014567,38.08196721311477,15,0,0
1973,59.90547945205481,43.07123287671235,18,0,0
1974,59.58767123287672,39.42739726027396,19,8,2
1975,59.401369863013706,39.67808219178081,21,1,0
1976,60.75956284153006,38.180327868852466,12,1,0
1977,61.384931506849306,40.472602739726035,29,12,4
1978,57.67945205479453,37.97671232876712,19,1,0
1979,57.673972602739724,37.81917808219178,10,2,0
1980,60.515027322404364,39.983606557377044,37,9,2
1981,62.00684931506849,41.375342465753434,8,2,0
1982,57.94383561643836,39.12602739726027,8,1,0
1983,59.454794520547935,40.732876712328775,52,21,8
1984,59.93715846994535,39.62431693989071,26,8,0
1985,58.43150684931507,37.942465753424656,24,4,1
1986,60.28082191780822,41.728767123287675,15,0,0
1987,62.94383561643836,43.094520547945216,23,7,0
1988,62.591530054644814,39.715846994535525,44,23,8
1989,59.302739726027404,37.624657534246566,11,7,0
1990,60.83424657534246,40.42465753424658,14,2,0
1991,60.15616438356165,40.13972602739726,17,0,0
1992,59.05874316939891,39.815573770491795,0,0,0
1993,56.016438356164386,38.38356164383561,1,0,0
1994,59.88767123287671,37.963013698630135,7,0,0
1995,58.72420091324202,38.58630136986301,23,4,1
1996,56.30191256830596,36.54052823315118,6,0,0
1997,58.245205479452046,38.65068493150685,12,1,0
1998,61.286301369862976,42.73242009132417,7,1,0
1999,61.3954337899543,38.92054794520549,14,4,0
2000,61.07149362477232,39.807377049180324,7,4,0
2001,60.96392694063925,40.79315068493153,20,3,0
2002,61.765296803652994,39.66438356164385,32,1,0
2003,60.3255707762557,39.03242009132422,17,8,1
2004,59.79098360655735,39.857468123861544,0,0,0
2005,61.810502283104995,41.237442922374456,26,5,0
2006,63.01232876712331,42.16484018264842,17,7,0
2007,60.68036529680366,40.96529680365296,14,0,0
2008,57.791438979963615,37.83652094717667,4,0,0
2009,58.86712328767122,38.90456621004568,7,1,0
2010,60.35890410958903,40.36484018264838,17,0,0
2011,61.204566210045684,40.74018264840186,29,9,0
2012,65.80373406193078,43.388433515482724,45,21,6
2013,58.99817351598172,39.11552511415525,23,9,1
2014,57.459817351598176,37.79086757990867,1,0,0
2015,60.854794520547905,41.78858447488582,5,0,0
2016,62.68123861566482,43.724043715846996,17,0,0
2017,62.78538812785393,42.76027397260272,27,3,0
2018,59.54885844748858,40.93059360730594,26,4,0
2019,58.69535519125682,39.85473588342442,11,1,0
