years,TMAX,TMIN,t90,t95,t100
1947,40.759535655058066,28.418739635157557,0,0,0
1948,58.26841916432081,39.838861290500624,7,4,0
1949,60.45885429638856,41.87594022415937,18,2,0
1950,56.9491075134911,38.70388819703886,2,0,0
1951,57.463611457036116,39.45607029196072,2,0,0
1952,59.6247200886545,41.184595959595974,23,5,0
1953,60.59229939010758,42.17248938276335,15,7,0
1954,58.896589711658144,40.84861576779385,10,2,0
1955,60.07773477663884,41.60044320975828,24,4,0
1956,57.84135204504055,40.344196058950175,5,0,0
1957,57.67359900373602,40.41574097135744,5,0,0
1958,57.28862183478621,39.373798256537945,1,0,0
1959,58.43302200083024,40.95740971357407,11,0,0
1960,57.13839211790029,39.77262377877131,2,0,0
1961,58.13773349937732,40.61154420921545,4,0,0
1962,57.49612702366127,39.44297218762975,4,0,0
1963,57.7898671647987,38.04294728102947,7,0,0
1964,59.08011536126293,39.930222994977065,16,0,0
1965,57.14539643005398,39.440900788709016,6,1,0
1966,57.29721716639526,39.22913593256059,10,1,0
1967,56.84250087811736,39.47825781524414,3,0,0
1968,58.07478632478628,40.28821633739665,5,0,0
1969,57.415960979659566,40.14466583644667,3,0,0
1970,57.937838660578365,40.542382731423814,3,0,0
1971,59.069638854296386,40.788454407084544,8,2,0
1972,56.024143070044715,39.596994535519144,5,0,0
1973,59.31198007471983,42.8030884184309,8,1,0
1974,57.66244084682445,40.2683686176837,9,0,0
1975,57.983437110834416,41.567222914072225,2,0,0
1976,57.3129657228018,38.47242921013417,4,0,0
1977,57.747272727272794,40.150236612702386,7,2,0
1978,56.14946035699459,37.875965130759674,6,1,0
1979,55.97649647156494,38.640614362806176,0,0,0
1980,56.25212369597615,38.980538996522604,2,0,0
1981,56.97601494396019,40.08203819012039,4,0,0
1982,57.38217102532174,39.741701951017035,2,0,0
1983,57.992382731423845,40.858667496886646,10,0,0
1984,57.58752276867035,40.013408676933295,4,0,0
1985,57.55704441677044,40.3352677459527,1,0,0
1986,58.139227895392324,41.425919468659174,4,0,0
1987,59.87820672478204,42.609063235090645,16,0,0
1988,59.05438676381303,40.40661671358393,38,11,1
1989,56.825969281859685,39.4467787463678,2,0,0
1990,59.54346201743464,42.39671647986717,2,1,0
1991,60.151340805313424,42.96414694894146,10,1,0
1992,56.38063484784796,40.413955761906635,1,0,0
1993,56.93020712924821,40.78679002884483,5,0,0
1994,58.33440942619026,40.3650365616119,5,0,0
1995,57.90950761567194,40.90211386786728,13,2,0
1996,56.697267441119884,39.68166532920634,6,0,0
1997,57.09179838426417,40.583596768528295,5,0,0
1998,62.112061910692034,44.918214662050296,7,1,0
1999,60.55293792965025,41.99253600280998,17,1,0
2000,58.223702811305294,40.655632118337046,1,0,0
2001,59.78204769579062,42.34128793983346,8,2,0
2002,59.306339254352885,41.45827362135581,19,2,0
2003,57.12045574288722,39.195236088112786,2,0,0
2004,57.824861431136156,40.439962233427686,0,0,0
2005,59.261816435057575,40.537919488150905,14,0,0
2006,60.12839312052628,42.42744913081789,10,2,0
2007,59.61342856536992,40.746391351060964,10,0,0
2008,57.949639190591384,39.12617195209978,3,0,0
2009,57.52973363774736,39.03637037463387,1,0,0
2010,59.8293778059169,42.02675415371628,9,0,0
2011,58.62348630776509,41.488654950564715,16,2,0
2012,62.186161081007995,43.064161251932475,21,5,0
2013,57.61430960055251,40.31440839244021,4,0,0
2014,55.88738496663147,37.6189946355015,1,0,0
2015,58.854294119122905,40.25099641226353,1,0,0
2016,60.872030815268495,42.46616575591986,10,0,0
2017,59.868065154024116,41.888752195293286,3,0,0
2018,58.20540425328096,41.06647716438813,10,0,0
2019,58.05081854620787,40.36378905702678,4,0,0
