years,TMAX,TMIN,t90,t95,t100
1947,40.97014925373134,27.55223880597015,0,0,0
1948,59.956284153005456,39.91803278688525,11,2,0
1949,61.72054794520548,42.33424657534247,15,0,0
1950,58.06575342465754,38.767123287671225,2,0,0
1951,58.50136986301371,39.458904109589035,4,1,0
1952,60.725409836065566,41.244535519125684,23,5,0
1953,62.93424657534246,41.77534246575343,37,10,0
1954,61.70958904109589,41.74246575342465,28,5,1
1955,62.19178082191781,41.11232876712329,40,9,1
1956,60.92896174863388,40.71857923497268,15,4,0
1957,59.232876712328775,40.586301369863016,7,0,0
1958,57.93150684931507,38.934246575342456,0,0,0
1959,60.29041095890411,41.23013698630137,12,0,0
1960,58.234972677595636,39.39890710382514,5,0,0
1961,59.12054794520548,40.66849315068493,3,0,0
1962,59.56438356164385,40.175342465753424,12,1,1
1963,59.82739726027398,37.890410958904106,7,1,0
1964,61.475409836065566,39.80327868852459,25,2,0
1965,59.594520547945216,40.717808219178075,6,0,0
1966,57.386301369863006,38.66849315068493,7,0,0
1967,57.65205479452055,38.31232876712329,3,0,0
1968,58.75956284153006,39.76229508196721,10,0,0
1969,58.75616438356165,39.98630136986301,11,0,0
1970,59.47671232876712,40.59178082191781,6,0,0
1971,60.7013698630137,40.405479452054784,10,2,0
1972,57.920765027322396,39.74863387978142,7,0,0
1973,61.18082191780822,42.5972602739726,9,0,0
1974,59.29041095890411,40.246575342465746,10,1,0
1975,59.512328767123286,41.55890410958904,4,0,0
1976,59.775956284153004,38.333333333333336,9,0,0
1977,59.786301369863004,40.50684931506849,16,2,0
1978,57.96712328767124,38.0986301369863,11,0,0
1979,57.41643835616439,38.890410958904106,0,0,0
1980,57.27322404371585,40.265027322404364,7,2,1
1981,57.64657534246575,40.97808219178082,1,0,0
1982,58.7068493150685,40.0958904109589,2,0,0
1983,61.767123287671225,43.03287671232878,43,10,0
1984,59.461748633879786,41.19945355191257,11,0,0
1985,60.33424657534246,41.18356164383562,8,0,0
1986,59.605479452054794,41.706849315068496,9,0,0
1987,61.72054794520548,41.989041095890414,15,1,0
1988,61.4344262295082,39.67213114754097,42,14,4
1989,58.96712328767124,39.12876712328767,11,1,0
1990,61.64109589041096,42.5972602739726,6,1,0
1991,62.18904109589041,42.936986301369856,21,1,0
1992,59.049180327868854,40.67213114754097,2,0,0
1993,59.45753424657535,41.232876712328775,12,0,0
1994,61.76438356164383,40.627397260273966,15,4,0
1995,60.63287671232878,40.38356164383561,26,4,0
1996,58.215846994535525,39.18306010928962,6,0,0
1997,57.59178082191781,39.605479452054794,6,0,0
1998,62.88767123287671,43.89041095890411,13,0,0
1999,61.909589041095884,40.97534246575343,24,4,0
2000,59.349726775956285,40.18306010928962,1,0,0
2001,61.115068493150694,42.060273972602744,4,0,0
2002,61.12054794520548,41.989041095890414,19,0,0
2003,58.35342465753425,39.18082191780822,2,0,0
2004,59.579234972677604,40.6448087431694,0,0,0
2005,60.69041095890412,40.824657534246576,16,1,0
2006,61.205479452054796,42.72602739726028,5,0,0
2007,61.49315068493151,41.654794520547945,24,0,0
2008,59.743169398907106,39.80054644808743,4,0,0
2009,59.45753424657535,40.23835616438356,4,0,0
2010,62.02739726027397,42.24109589041096,19,0,0
2011,61.205479452054796,42.210958904109596,31,7,0
2012,64.59562841530055,43.076502732240435,36,9,5
2013,59.39452054794521,40.50684931506849,7,0,0
2014,57.41643835616439,37.969863013698635,2,0,0
2015,60.42465753424658,41.052054794520544,0,0,0
2016,62.524590163934434,43.215846994535525,9,0,0
2017,62.43287671232878,43.136986301369866,7,0,0
2018,61.05205479452055,43.145205479452045,15,1,0
2019,60.56284153005465,42.23770491803279,12,0,0
