years,TMAX,TMIN,t90,t95,t100
1947,60.77985074626866,40.57462686567164,0,0,0
1948,76.701912568306,53.70100182149362,103,68,19
1949,76.1313763861709,54.720694716242654,94,40,6
1950,76.64817351598172,54.65290824092194,67,25,0
1951,78.595156555773,54.90404435746903,110,81,36
1952,78.82791764246682,55.34837691907364,123,82,39
1953,78.41978691019786,55.19721135029356,116,71,25
1954,80.12349967384209,56.21590563165904,124,97,47
1955,77.95612633181123,54.997983257229826,108,40,7
1956,79.43476775956277,55.590239829993955,134,95,44
1957,75.1350380517504,54.98977168949769,93,65,24
1958,74.5783333333333,53.896552511415535,97,60,16
1959,75.45884322678843,53.425814307458175,90,31,2
1960,75.23060109289612,53.69043715846996,103,52,4
1961,74.97917808219181,53.43436834094367,84,20,0
1962,76.22869240348682,54.14943960149436,84,46,11
1963,78.16709838107094,54.328119551681226,118,81,29
1964,76.49066070541477,53.63119721808243,93,65,25
1965,76.30552926525527,54.685155666251575,100,63,9
1966,74.81285180572853,52.85995018679951,76,29,2
1967,77.27205479452047,53.570441400304425,77,42,16
1968,74.17786885245896,52.54098360655739,68,20,1
1969,75.34828006088277,53.3508675799087,90,61,24
1970,75.4778082191781,53.06182648401826,89,51,12
1971,76.86366601435094,53.387553816046974,78,35,10
1972,76.93165604128723,53.00208712811169,114,50,8
1973,75.07095564253099,53.12203196347031,68,20,0
1974,76.49832572298331,53.13023592085239,75,43,10
1975,75.92355403348556,52.54676560121768,89,30,0
1976,75.6989873362824,51.5213700234192,70,29,5
1977,78.21772667971298,54.62597847358118,120,89,15
1978,75.92598390954555,53.14269949989128,103,75,37
1979,74.34535225048924,52.24456947162426,91,35,1
1980,78.58193468644288,54.142434296122815,120,96,58
1981,76.77221135029356,54.51883561643834,96,45,10
1982,76.30865949119374,54.19285714285714,100,44,10
1983,74.48992172211351,52.300293542074364,82,45,11
1984,77.22700364298723,53.97583268279989,108,71,17
1985,75.86115459882582,54.15993150684932,94,62,27
1986,76.76221461187224,55.31446510110889,94,38,14
1987,76.90654490106543,53.6278919330289,92,41,19
1988,77.74633532830255,53.15398126463703,99,62,21
1989,75.67644596651445,52.83588280060878,78,30,2
1990,78.05235920852355,55.18009132420092,104,60,15
1991,76.30283381762831,54.2569503251695,87,35,1
1992,75.85921510183799,53.92349726775957,71,15,0
1993,75.36295143212949,53.29645080946453,102,56,24
1994,76.45180030015649,54.16472235527033,91,49,8
1995,76.79387744675422,54.10992304499154,82,44,8
1996,77.4076435859223,54.02119842816565,93,45,12
1997,75.1324328639397,54.32429511128143,97,51,2
1998,78.61832743740283,57.384729539866505,128,98,49
1999,79.03253951527924,56.02709368257312,98,51,28
2000,77.09637690406133,55.59487980143715,105,65,39
2001,75.49183986239385,54.848027888710824,62,43,9
2002,75.62838484708948,54.283385038947145,92,36,0
2003,76.30784489840892,54.48705550291773,78,45,11
2004,75.62532182762419,55.32123971558633,64,10,0
2005,78.30819463714353,55.62061417477353,122,72,7
2006,80.0206883554265,56.57568233896996,118,68,36
2007,75.75485160218669,55.39012814946102,71,14,3
2008,78.03487670674266,54.32574244949483,103,52,11
2009,76.83393170128899,55.06559643553965,90,52,18
2010,76.8943810792762,55.498837331375704,105,64,20
2011,79.52947745404335,56.068006830465926,122,98,70
2012,79.64843280687789,56.92667374566537,115,63,31
2013,76.23016515816394,54.147749693688155,101,60,21
2014,76.21977415166977,54.334376269373436,88,45,6
2015,76.83018680531573,56.42630424772647,110,54,9
2016,78.14410336083431,57.54661288923589,102,49,11
2017,78.77397848637166,57.239415793714784,88,26,2
2018,76.78714113042477,55.65803988718774,102,75,19
2019,76.43880255427987,55.349568899394136,104,62,9
