years,TMAX,TMIN,t90,t95,t100
1947,68.99253731343283,49.29477611940298,0,0,0
1948,79.29316939890705,59.27062841530056,96,38,5
1949,79.56191780821915,60.93698630136985,88,22,0
1950,80.82615786040445,60.909928245270656,86,19,0
1951,80.33568166992823,59.981017612524454,99,37,9
1952,79.3492063492063,58.95161657559199,88,23,0
1953,79.72576647097192,60.311545988258324,97,19,0
1954,80.77188519243309,60.26901500326159,105,31,2
1955,79.55469015003264,60.54190476190478,74,5,0
1956,81.10001301066872,59.98718449128282,110,31,0
1957,79.46743313763862,61.14300065231574,81,34,0
1958,78.04213959556425,59.397504892367905,92,26,0
1959,77.72459230267455,59.115313111545994,75,2,0
1960,77.27476906062975,59.16204787926098,82,11,0
1961,77.71579908675801,59.1360730593608,55,0,0
1962,79.33972602739725,59.789041095890376,92,27,7
1963,79.26204827136331,59.32302674494456,99,25,0
1964,78.350052042675,59.32676294561543,80,23,0
1965,79.66082191780819,61.11827788649704,89,14,0
1966,77.30489236790609,58.8878016960209,65,3,0
1967,79.22426614481414,59.579908675799096,59,20,0
1968,77.07227426489727,58.528688524590166,51,2,0
1969,79.02077625570777,59.74730919765165,94,38,0
1970,77.70861056751467,58.64652641878668,75,12,0
1971,79.99726027397266,60.046705805609896,82,16,0
1972,79.17727036169656,59.22330210772835,85,5,0
1973,78.00447488584473,59.03963470319634,54,4,0
1974,79.04529680365302,59.653515981735175,63,11,0
1975,78.8263926940639,58.99214611872146,65,3,0
1976,77.31616575591985,56.94408014571946,71,9,0
1977,79.26263535551205,59.00667971298107,107,21,0
1978,77.48480104370516,57.923196347031926,95,18,0
1979,76.9924657534247,57.384458577951754,61,2,0
1980,79.27353304709865,59.110655737704896,109,46,7
1981,79.04241356816695,59.67462491846052,79,11,0
1982,78.8208741030659,59.64851598173515,106,27,0
1983,76.07005870841489,57.37661448140901,56,1,0
1984,77.76131928181107,59.66056791569086,52,4,0
1985,77.57681017612525,59.796330724070465,77,16,0
1986,78.94109589041096,60.947162426614476,78,21,0
1987,78.68268101761251,58.514921722113506,89,26,0
1988,78.94901444184231,58.31611046057767,81,18,1
1989,77.19683626875408,58.704288975864294,63,4,0
1990,80.02471950424007,60.85801696020872,105,21,1
1991,78.3722222222222,60.605707762557174,85,4,0
1992,78.20666363084398,59.462090163934384,71,2,0
1993,78.29202544031314,59.090459882583154,83,34,0
1994,79.24608610567515,60.362426614481414,76,8,0
1995,79.62121113285497,60.36505762122202,90,26,0
1996,79.29188893225773,60.09600789313902,84,14,0
1997,77.70232115677321,59.67351598173518,93,17,0
1998,80.70491519895627,62.05986953685584,115,59,4
1999,81.5070743639922,60.62745923026744,86,33,2
2000,80.7198369329517,60.647867334547605,104,49,13
2001,78.7256697108067,59.61435746901503,83,13,0
2002,78.7539117199391,60.337108066971034,83,6,0
2003,79.03732669157324,60.24515359070156,76,5,2
2004,79.18519898437927,61.38587514489159,86,9,0
2005,80.68682094921816,60.85916493704165,120,31,1
2006,80.58380517503798,61.050090632350866,93,8,0
2007,79.13222291407212,60.70804483188043,72,8,3
2008,80.44848612983854,60.18748965060443,103,21,0
2009,80.03247543932477,60.304017572990176,99,50,4
2010,78.66166913755957,59.35972286465439,93,29,0
2011,81.88454337899542,60.869330289193286,126,88,18
2012,81.79029946222575,62.01644982218752,89,28,3
2013,79.60482387475534,59.58015220700153,102,36,1
2014,78.55973581213307,59.38116438356165,82,15,0
2015,79.77059686888454,61.46360078277888,92,29,3
2016,81.06298790007806,62.646857923497286,97,29,0
2017,81.76286692759301,62.8491193737769,93,19,0
2018,79.58152315720808,61.662377690802316,107,27,0
2019,79.9673790007806,61.43874902419986,112,25,0
