years,TMAX,TMIN,t90,t95,t100
1947,45.08875266524522,29.062544420753373,0,0,0
1948,63.77304839968771,42.27019906323189,16,4,0
1949,65.06701456838442,44.34797238530116,21,0,0
1950,61.600396825396814,41.57830506631876,2,0,0
1951,62.33770167427701,41.7854490106545,9,1,0
1952,64.60734669095325,43.50500910746814,34,4,0
1953,66.07646879756469,43.656674277016734,38,10,1
1954,65.43479452054794,44.092876712328746,47,13,2
1955,64.33844748858448,42.79204718417049,36,3,0
1956,64.06751669702491,43.02008955676989,12,1,0
1957,62.727176560121784,42.615171776473154,14,0,0
1958,60.58412480974125,40.67892694063929,0,0,0
1959,63.86801369863018,42.78284627092845,20,0,0
1960,61.41455676988467,40.65122191863996,13,0,0
1961,62.09099764770996,41.58234398782342,13,0,0
1962,61.955536183755406,41.25775840597757,11,0,0
1963,62.14730731977304,38.795321710253226,14,0,0
1964,64.14536623061214,41.42828558812169,23,2,0
1965,63.0430478653767,42.05174101393279,7,0,0
1966,61.36853051058524,40.28056039850563,24,2,0
1967,61.56312577833124,40.77814445828144,8,0,0
1968,61.53014985924828,40.86083788706739,18,0,0
1969,60.52354503943543,40.0322083852221,6,0,0
1970,61.579164245191635,41.04806558738064,7,2,0
1971,62.415134910751384,41.6394714265947,5,1,0
1972,60.29127020520462,40.98933184302035,7,0,0
1973,63.187341912273425,43.74878787878788,6,0,0
1974,61.64187906461881,41.947685069876854,6,0,0
1975,62.446042617960494,42.54475024214753,11,0,0
1976,61.60791521775132,38.935305238174074,6,0,0
1977,61.71287671232878,40.65951293759513,17,3,0
1978,59.51878096028778,38.91906046769064,9,0,0
1979,59.664367649093705,39.10085581845857,2,0,0
1980,60.99981440083901,40.30766131257933,23,3,0
1981,61.033911719939155,40.74954753009547,7,0,0
1982,61.837846270928495,41.21651445966514,5,0,0
1983,62.51677321156769,42.72626331811264,38,6,0
1984,61.591630887327604,42.055438459536866,7,0,0
1985,61.328858447488535,41.26006849315069,3,0,0
1986,62.67939117199389,42.85190258751904,11,0,0
1987,64.37417808219178,42.910091324200906,13,0,0
1988,63.22431693989072,40.240042501517905,43,18,0
1989,60.235245606752464,40.32449840874498,8,0,0
1990,63.31242285872426,43.25099211290992,8,0,0
1991,63.40543794105441,43.870098242701026,19,0,0
1992,60.5168874537727,41.83083843903513,0,0,0
1993,59.82186522761866,41.607289331672895,3,0,0
1994,61.81681195516806,41.08054794520545,9,0,0
1995,61.687040265670454,41.22220008302202,22,2,0
1996,59.51498592482196,40.332826902908884,4,0,0
1997,59.94845163968451,40.9495115538951,3,1,0
1998,64.33507264425073,45.387041649370396,8,0,0
1999,63.99712328767122,42.68418430884185,19,2,0
2000,61.666211293260524,41.63622702434176,0,0,0
2001,63.575949271428726,43.63448191078329,6,0,0
2002,63.16742057029729,43.634924481910794,21,0,0
2003,60.974062011048346,41.44719928473353,4,0,0
2004,61.96001630427863,42.779935228705725,0,0,0
2005,62.49650509308054,43.12913593256061,9,0,0
2006,62.91044544496602,43.83343264041895,8,0,0
2007,63.905814733211976,43.109098891975606,23,0,0
2008,61.18669354325098,40.85415154062697,2,0,0
2009,60.813008270268604,41.654126832072016,2,0,0
2010,62.88396922711989,42.27171549911278,14,0,0
2011,62.773085955140715,43.90439986953687,22,5,0
2012,65.87597092115539,44.84925939270202,41,16,4
2013,60.977616310630026,42.271573586231106,11,1,0
2014,59.803695619449044,40.49281950925786,1,0,0
2015,62.75050497447759,43.005746308486,4,0,0
2016,64.20923907604237,44.778711043055324,3,0,0
2017,64.14689648251286,44.40678408349636,4,0,0
2018,62.32578654222493,43.550805359024594,12,0,0
2019,62.38410432918624,42.87497743604302,13,0,0
