years,TMAX,TMIN,t90,t95,t100
1947,47.11276037395441,31.687223224536673,0,0,0
1948,61.72805200264219,43.67750605496508,10,4,1
1949,64.91165888905617,46.3339715079441,24,9,0
1950,61.18298597521202,43.925613176777546,5,0,0
1951,62.76654109589039,45.06683789954337,3,0,0
1952,63.06064110070258,45.74540072859747,17,1,0
1953,64.56823059360731,46.59866438356166,22,9,1
1954,62.688401826484025,44.793538812785386,9,2,0
1955,62.460639269406364,44.95847031963471,23,9,0
1956,61.05262978142078,44.34918032786885,6,1,0
1957,62.9119227005871,45.36767286366601,13,3,0
1958,59.53978310502283,43.662488584474886,3,0,0
1959,62.923770384866245,45.5864611872146,14,0,0
1960,61.438810824876306,44.15677755759723,1,0,0
1961,61.97590797330516,44.840947408755625,11,0,0
1962,61.06003288948492,42.997574799629604,6,1,0
1963,61.72639620653315,43.016543730242375,13,6,0
1964,62.87611773472428,44.150004139758224,13,1,0
1965,62.069853434236926,44.21413768879526,9,0,0
1966,62.450351246926594,44.70453108535303,23,5,2
1967,60.79525667635252,43.713482772934846,2,0,0
1968,61.87386475091389,44.29941597564547,13,3,0
1969,61.57702042249985,44.81422550052687,9,0,0
1970,61.74264137688797,44.755416227608,9,0,0
1971,62.312033400389566,45.34304211769965,9,0,0
1972,61.2027230055919,44.0889681811813,13,0,0
1973,64.19142455717797,46.66815171130242,19,4,0
1974,62.78355434519821,44.93448834270754,11,0,0
1975,62.63268576172681,45.67833125778332,5,2,0
1976,61.87358866088379,43.61573299196253,7,0,0
1977,62.07027535630271,44.36767953507681,12,4,0
1978,60.73623080116228,43.03627231216272,4,1,0
1979,61.92565933305657,44.65663069046631,8,0,0
1980,62.15941391638114,44.05261983007885,24,4,1
1981,61.8787048567871,43.94008302200085,8,2,0
1982,62.073845302338476,44.14041511000415,9,2,0
1983,63.368542963885425,45.182117061021145,34,4,0
1984,62.30506982392226,44.56153612629023,8,2,0
1985,62.551164383561705,44.6030898021309,5,1,0
1986,62.66160578386612,44.44073612840738,6,2,0
1987,62.855447626954486,44.71590978275911,17,1,0
1988,62.612606943754436,44.12319092564993,32,7,0
1989,61.545155666251574,44.226146395461456,10,0,0
1990,65.20761578604045,46.79866492715805,6,0,0
1991,65.2765884876159,46.740568008855675,21,5,0
1992,61.46465888392124,44.63622150466414,5,0,0
1993,62.67886813338867,44.90671440431715,17,5,0
1994,62.8224948111249,44.44179465891795,11,1,0
1995,62.759558599695566,44.98785388127855,20,1,0
1996,60.915012143290795,44.39757134183363,2,0,0
1997,62.41774456897746,44.57381070983814,16,2,0
1998,65.1824353120244,48.16807893020222,9,0,0
1999,64.43235990037363,46.33718417047185,24,9,1
2000,61.487368217696144,44.24328807197659,7,0,0
2001,64.32738619067389,45.828709699737104,15,5,1
2002,64.57623910336234,46.588904109589045,30,9,0
2003,61.166330427563295,44.54721876297222,10,0,0
2004,62.42451564828613,45.71891869514821,3,0,0
2005,63.68355887643557,46.51356856233569,26,9,0
2006,64.95586550435866,47.64637608966379,14,5,0
2007,63.34483188044836,45.78264563442647,14,1,0
2008,63.56889799635703,45.427474195506974,12,4,0
2009,62.02974124809743,45.10914764079149,9,0,0
2010,64.68853881278538,47.76041856925418,40,6,2
2011,64.39852141769948,48.15750706675364,21,5,2
2012,65.33763769624427,48.95220205568568,25,8,1
2013,62.794928245270704,46.521227440747964,16,3,0
2014,61.98486627527723,45.049934768427924,7,0,0
2015,64.6180528375734,46.356800391389434,25,3,0
2016,65.57913739266196,47.647264506895645,28,7,0
2017,64.14354859752115,47.639530332681076,14,2,0
2018,63.331637312459144,47.49595564253102,29,4,0
2019,63.61751236013528,46.99120478792611,23,3,0
