years,TMAX,TMIN,t90,t95,t100
1947,67.65796019900498,45.86194029850746,0,0,0
1948,69.58583788706738,51.04280510018215,0,0,0
1949,70.05000000000003,51.45342465753421,10,1,0
1950,69.80643835616439,52.34287671232872,6,1,0
1951,70.08095890410956,52.39589041095889,3,1,0
1952,70.09535519125687,51.872540983606555,0,0,0
1953,72.15493150684928,52.08397260273971,6,3,1
1954,71.027397260274,53.16876712328768,2,0,0
1955,69.74260273972604,51.97328767123286,6,3,2
1956,71.68647540983609,51.732377049180286,10,4,0
1957,71.13369863013699,53.49671232876714,3,3,0
1958,74.0276712328767,54.322100456620944,12,5,2
1959,73.7981278538813,55.33315068493148,7,2,0
1960,72.42500000000003,53.13073770491802,10,0,0
1961,72.42511415525111,53.330867579908656,7,5,2
1962,69.97972602739729,52.457260273972594,3,0,0
1963,72.17095890410967,53.87972602739729,8,6,3
1964,70.80168488160294,52.04344262295084,7,0,0
1965,71.73972602739725,52.65844748858448,13,7,1
1966,73.47420091324202,53.769406392694044,13,3,0
1967,73.69589041095891,54.182191780821924,18,9,1
1968,74.00751366120218,53.66894353369764,11,4,0
1969,73.41552511415526,54.734931506849286,7,1,0
1970,74.48995433789953,53.48630136986301,17,5,2
1971,73.43424657534241,52.734703196347006,26,7,4
1972,73.84562841530051,53.75318761384335,12,4,0
1973,72.25205479452056,53.37671232876714,12,4,1
1974,72.7931506849315,53.55479452054794,7,1,0
1975,71.89315068493151,52.563013698630144,6,2,2
1976,75.40573770491805,54.91120218579235,14,8,0
1977,74.32465753424655,54.678082191780824,5,0,0
1978,73.88082191780822,54.32876712328767,15,5,3
1979,75.95205479452059,53.988584474885826,23,12,5
1980,76.20856102003648,54.21402550091072,13,1,0
1981,77.04748858447486,55.10867579908677,26,9,3
1982,74.4607305936073,54.490867579908674,20,7,2
1983,75.07214611872143,56.664840182648405,32,5,1
1984,76.54326047358838,56.15163934426234,22,9,2
1985,74.8127853881279,54.195433789954365,23,8,2
1986,75.65799086757997,55.13378995433792,6,2,0
1987,74.57077625570778,54.59406392694064,12,2,2
1988,75.50865209471766,55.04462659380689,10,6,2
1989,75.93242009132422,54.54383561643834,11,4,2
1990,76.75753424657535,54.78036529680366,24,6,2
1991,74.41689497716894,54.00547945205478,10,4,1
1992,76.31466302367944,56.34016393442626,17,2,0
1993,75.15433789954334,55.59178082191781,4,0,0
1994,74.78995433789952,54.78721461187212,15,6,0
1995,74.21095890410959,55.37488584474885,12,0,0
1996,75.27914389799638,55.5091074681239,16,2,0
1997,76.53561643835616,56.876255707762546,27,9,0
1998,73.9649771689498,55.14730593607304,18,6,1
1999,73.6934246575343,53.95721461187213,13,5,1
2000,74.67764116575592,55.54066484517306,10,1,0
2001,72.76073059360729,54.30027397260269,4,0,0
2002,73.26127853881285,54.15799086757981,5,2,1
2003,74.84831050228313,55.48205479452055,16,0,0
2004,74.40910746812385,55.333606557377074,14,5,2
2005,74.25799086757996,55.169452054794505,13,3,0
2006,75.09566210045666,55.21397260273972,21,3,0
2007,75.2483561643836,55.11872146118722,19,9,2
2008,75.9020036429873,55.75396174863389,24,13,0
2009,75.43598173515981,55.35415525114157,24,12,2
2010,73.21835616438358,54.32301369863011,14,5,2
2011,73.8431506849315,53.879086757990855,8,4,1
2012,74.40578324225865,55.74512750455371,11,1,0
2013,74.89086757990864,55.5726940639269,15,0,0
2014,76.99575342465755,57.95977168949776,19,6,2
2015,76.97826484018259,57.88511415525119,22,5,1
2016,74.82773224043716,56.97663934426232,11,4,1
2017,75.43926940639271,57.07086757990865,18,7,3
2018,74.90182648401823,57.133972602739746,12,2,1
2019,73.23861566484513,55.74526411657559,13,3,0
