years,TMAX,TMIN,t90,t95,t100
1947,68.28650544271127,43.7021565106797,0,0,0
1948,73.03620940397325,48.55280112227914,11,2,0
1949,72.47886999837569,49.069035049723,16,4,1
1950,73.22073358446201,50.44399530487381,10,2,1
1951,72.76920708832563,50.078597856382274,16,1,0
1952,72.27149466614006,49.58474348669467,14,0,0
1953,74.7392862170587,50.04695065605428,18,5,1
1954,73.87724129751525,51.45513668979421,16,1,0
1955,72.49798265901367,50.423193569228175,16,8,4
1956,74.17895435688509,50.6470006808746,21,4,0
1957,73.43116850277195,51.813735382095935,19,5,1
1958,75.97175155433291,52.76637395101271,29,8,2
1959,76.20093075153639,53.87215481626437,16,4,1
1960,74.71330203925109,51.94288453373873,20,5,0
1961,74.23874240028319,52.14114721276852,11,4,2
1962,72.48144467644828,51.06863612955184,6,0,0
1963,73.4777705679725,52.33133942161338,12,7,4
1964,72.57581196508892,51.01710277246743,11,0,0
1965,72.83283948522937,51.65022736804412,17,6,0
1966,74.35724336862839,52.58385975514933,13,2,0
1967,74.37694304253787,52.8725812634595,21,6,0
1968,74.74573815841173,52.41853750415901,17,4,0
1969,73.77089170683898,52.87417847095578,11,2,0
1970,74.57509084119108,52.159893042773504,17,3,1
1971,73.57888369358803,51.2574162625877,32,9,2
1972,74.78307260973605,52.15201100932181,18,6,0
1973,73.31823999462797,51.4467689267488,16,5,1
1974,73.92082681017615,51.965403188672724,12,1,0
1975,72.66145629484669,50.541805283757355,8,2,0
1976,75.43240794951859,52.586335545147044,19,7,0
1977,74.83802724672584,52.684409027045994,9,1,0
1978,74.5568997440915,52.863766746951676,18,7,3
1979,75.4662429492345,52.23893039407544,31,13,4
1980,75.87897361130246,52.9504808207436,21,3,0
1981,76.69594576186638,54.05698649322746,30,9,3
1982,73.75620419400634,52.558129964314496,19,7,1
1983,74.70436487028957,54.51099440513827,31,7,1
1984,76.62757611241219,54.52199453551914,26,10,2
1985,74.8774315068493,52.73608447488583,26,12,2
1986,74.98416193663977,53.486368881588476,4,1,0
1987,72.85087096693266,52.18309247829796,9,3,2
1988,74.77822501951601,53.56295912648366,10,5,1
1989,74.99733011012627,53.16549144315258,10,3,0
1990,74.94087154496508,53.23970383587224,18,3,1
1991,73.32614670068945,53.01416218999019,6,1,0
1992,74.65173175827707,54.51971543626562,18,1,0
1993,74.54270110880205,53.72160429949436,11,0,0
1994,74.25304621343851,52.72885550230667,16,3,0
1995,73.65012246938501,53.4006642072179,20,2,0
1996,74.65513261971542,53.75857512926992,24,4,0
1997,74.96818061586909,54.53373525046578,29,2,0
1998,72.18998113141353,52.34008722471142,26,11,1
1999,73.65920366150405,52.35828113365663,14,2,0
2000,74.04881005972048,53.59107762008405,17,3,0
2001,72.69465292314997,52.93723765606783,6,0,0
2002,73.23031700497019,52.738468890806075,8,2,1
2003,74.97805409308701,54.244609518046296,28,3,0
2004,74.16135029886122,53.64363411353115,18,4,0
2005,73.94541850679066,53.681414843740775,17,2,0
2006,74.94122452140662,53.66880955315857,39,6,1
2007,74.8705317871278,53.422764521682396,26,7,2
2008,75.62784352505568,54.003802206206124,30,6,1
2009,75.02386049091898,54.00533391230626,30,11,0
2010,73.01932603393597,52.79031008495834,22,8,2
2011,73.61458575610015,52.30984708682885,17,6,0
2012,75.63867631420538,54.293722172854054,39,10,0
2013,75.59978988502164,54.18389727642148,23,5,0
2014,77.76283749841471,56.38094231546313,34,8,0
2015,76.7724968378521,56.286237528230046,27,9,0
2016,75.58539567468189,55.572328654509725,27,4,1
2017,76.04942491246217,56.20991893828453,28,11,1
2018,75.40966814374946,55.957839785260646,19,6,2
2019,73.10232255391945,54.25208108388346,20,0,0
