years,TMAX,TMIN,t90,t95,t100
1947,50.67164179104478,32.02238805970149,0,0,0
1948,67.38433515482697,45.60883424408014,37,7,0
1949,68.76050228310503,47.897488584474885,39,1,0
1950,65.9440182648402,45.48748858447491,8,0,0
1951,66.3883105022831,45.296757990867576,31,3,0
1952,68.40778688524594,47.08219489981786,57,13,2
1953,69.77899543378996,47.240410958904114,54,19,3
1954,69.02351598173516,47.820547945205476,66,25,7
1955,68.4417808219178,46.979680365296815,54,12,0
1956,67.98975409836065,47.1518670309654,24,4,0
1957,67.81940639269408,47.597260273972594,33,4,0
1958,65.33698630136986,44.6755707762557,21,0,0
1959,68.88926940639271,47.105707762557074,55,9,0
1960,65.37955373406193,44.91507285974498,17,2,0
1961,65.87488584474887,45.35776255707762,18,0,0
1962,66.7751141552511,45.81712328767122,32,3,1
1963,66.93392694063928,43.79885844748858,16,1,0
1964,68.733970856102,45.79772313296907,44,4,1
1965,68.04684931506847,46.737123287671224,20,5,0
1966,65.6917808219178,44.94986301369863,36,11,2
1967,66.77885844748857,45.0751598173516,10,0,0
1968,66.87213114754101,45.851502732240455,41,6,0
1969,66.75360730593603,45.73479452054795,35,0,0
1970,67.5110502283105,46.74689497716894,24,2,0
1971,67.73260273972603,46.67958904109589,16,2,0
1972,66.27814207650275,46.4318306010929,20,0,0
1973,67.95447488584476,48.70187214611871,28,0,0
1974,66.37899543378995,47.124429223744286,3,0,0
1975,67.6810502283105,48.078310502283074,37,0,0
1976,66.4729052823315,44.36293260473588,11,2,0
1977,66.5541095890411,46.61484018264841,25,4,0
1978,65.15502283105022,45.9812785388128,33,2,0
1979,65.1,45.840639269406395,10,0,0
1980,66.6502732240437,46.170765027322396,56,19,2
1981,66.49109589041096,45.996347031963474,17,1,0
1982,66.56917808219178,45.954566210045655,16,0,0
1983,65.40547945205479,47.10958904109589,55,17,2
1984,65.8292349726776,46.71857923497268,19,0,0
1985,65.88630136986302,46.50821917808219,18,1,0
1986,67.3054794520548,47.83972602739726,22,1,0
1987,68.26164383561644,47.63150684931506,31,4,0
1988,68.46448087431693,45.62841530054646,52,23,3
1989,65.82602739726029,45.332876712328776,19,0,0
1990,69.34246575342465,48.45205479452055,34,9,0
1991,69.01506849315068,49.436986301369856,43,10,0
1992,66.29508196721312,47.05464480874317,11,0,0
1993,65.83835616438354,46.39178082191781,40,4,0
1994,66.86301369863014,46.32328767123288,25,4,0
1995,66.52465753424657,47.12054794520548,35,3,0
1996,65.06284153005464,44.80191256830601,15,0,0
1997,64.86438356164382,44.9406392694064,20,2,0
1998,68.59315068493149,49.22100456621002,21,1,0
1999,69.02602739726028,46.801369863013704,49,16,3
2000,66.24453551912568,45.868852459016374,10,0,0
2001,67.69931506849316,47.742694063926926,19,0,0
2002,67.59999999999997,49.01369863013699,45,12,0
2003,65.10776255707759,47.073972602739715,11,0,0
2004,66.64162112932607,48.34107468123863,7,0,0
2005,67.2575342465753,48.52557077625572,40,10,0
2006,67.30639269406389,48.569406392694034,25,3,0
2007,69.15570776255707,49.2936073059361,50,18,4
2008,66.5255009107468,46.80464480874322,35,1,0
2009,65.39589041095896,47.57762557077627,9,0,0
2010,67.83835616438357,48.43835616438354,61,13,1
2011,68.11575342465754,49.63242009132421,49,9,2
2012,70.69968123861568,50.15255009107468,52,22,7
2013,66.174200913242,47.384018264840186,20,1,0
2014,65.75456621004567,46.25159817351598,23,0,0
2015,67.68744292237442,48.67899543378997,22,0,0
2016,69.17281420765028,49.92304189435337,38,0,0
2017,69.1611872146119,49.770091324200926,22,2,0
2018,67.51506849315068,49.56210045662101,40,1,0
2019,68.6252276867031,49.116347905282325,56,11,0
