years,TMAX,TMIN,t90,t95,t100
1947,58.2313432835821,31.179104477611943,0,0,0
1948,75.23633879781421,45.07103825136612,99,56,11
1949,73.06712328767124,45.85616438356164,65,19,0
1950,75.7931506849315,44.13972602739726,62,20,2
1951,75.52191780821917,45.02191780821918,91,51,14
1952,75.34562841530055,46.025956284153004,94,46,6
1953,77.09452054794521,46.44931506849315,108,61,21
1954,76.44246575342466,46.83424657534246,88,35,4
1955,74.02191780821917,46.01369863013698,60,17,0
1956,76.59836065573771,46.05327868852459,119,47,2
1957,72.66712328767123,46.698630136986296,68,27,4
1958,72.1123287671233,46.31095890410959,88,39,9
1959,73.81917808219178,45.66027397260274,81,20,2
1960,73.23497267759562,45.786885245901644,84,31,6
1961,72.18219178082192,44.81232876712329,56,5,1
1962,74.44246575342466,46.145205479452045,77,31,0
1963,75.30410958904109,46.15616438356165,76,22,0
1964,74.23633879781421,46.35382513661202,87,40,6
1965,75.50958904109591,48.0027397260274,87,30,1
1966,74.30684931506849,47.1068493150685,69,37,8
1967,73.24931506849316,45.249315068493146,36,7,0
1968,70.69945355191257,43.96448087431694,36,7,2
1969,73.16986301369863,46.65753424657535,75,50,9
1970,74.03835616438356,45.049315068493144,76,39,12
1971,73.81369863013698,46.728767123287675,55,18,3
1972,72.7896174863388,46.44808743169399,30,12,2
1973,72.06849315068494,46.613698630136994,50,15,1
1974,73.32602739726029,48.441095890410956,64,23,4
1975,73.22739726027397,45.43287671232878,39,10,4
1976,72.57377049180326,45.407103825136616,40,14,0
1977,75.27397260273973,48.48493150684931,84,26,5
1978,71.87945205479453,47.50410958904109,83,37,11
1979,72.82739726027397,47.23561643835617,77,28,5
1980,74.45081967213116,48.295081967213115,87,51,12
1981,73.53972602739726,49.02739726027397,51,21,7
1982,72.9068493150685,47.14794520547945,70,15,2
1983,71.9150684931507,45.59178082191781,77,28,5
1984,73.07377049180326,46.513661202185794,65,16,1
1985,73.20821917808219,46.901369863013706,80,35,4
1986,73.85753424657534,48.717808219178075,58,21,7
1987,72.82739726027397,46.82739726027398,57,26,3
1988,74.24316939890709,46.32513661202186,75,28,1
1989,75.44109589041096,46.43013698630136,95,40,8
1990,75.41369863013699,48.09315068493151,81,46,16
1991,74.0191780821918,48.05205479452055,80,20,0
1992,74.09836065573771,47.82513661202186,61,24,3
1993,74.1178082191781,46.534246575342465,82,35,1
1994,76.4876712328767,48.16986301369864,89,50,18
1995,75.1945205479452,47.512328767123286,84,36,9
1996,75.2377049180328,46.505464480874316,68,32,9
1997,71.67671232876712,46.08767123287672,73,26,0
1998,75.62191780821918,48.46301369863014,93,56,19
1999,74.92054794520548,47.45753424657535,75,27,3
2000,74.7622950819672,47.76775956284153,99,49,10
2001,74.63835616438357,48.50684931506849,88,51,13
2002,73.9068493150685,47.36438356164385,87,24,2
2003,76.13150684931506,47.816438356164376,77,36,15
2004,72.95355191256829,48.47814207650274,59,25,4
2005,74.63561643835617,48.03561643835617,80,21,3
2006,76.82739726027397,48.846575342465755,96,53,14
2007,72.91780821917807,47.53972602739726,39,6,0
2008,75.35792349726776,46.830601092896174,67,31,8
2009,75.95342465753424,46.87397260273973,85,48,8
2010,74.60273972602741,47.893150684931506,77,33,2
2011,77.70958904109591,48.14794520547945,126,95,39
2012,77.81693989071039,50.18715846994535,109,57,14
2013,74.94109589041096,47.941095890410956,89,37,7
2014,74.32054794520549,47.87260273972603,79,30,4
2015,74.23150684931507,49.3958904109589,72,22,0
2016,76.37158469945355,50.489071038251375,74,41,9
2017,76.63013698630138,50.17260273972602,75,30,4
2018,75.56164383561644,49.41506849315069,95,54,16
2019,74.77459016393442,49.150273224043715,91,40,13
